codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A005,30/06/2019,00,26.0,27.3,25.1,48,52,43,14.2,14.5,13.8,972.3,972.3,971.6,1.1,92,2.6,-3.60,0.0
A005,30/06/2019,01,23.3,26.0,23.3,61,61,48,15.4,15.4,14.1,972.7,972.7,972.3,0.2,136,4.1,-3.60,0.0
A005,30/06/2019,02,22.4,24.2,21.9,67,71,57,16.0,16.5,15.2,972.8,972.8,972.7,0.4,199,2.4,-3.60,0.0
A005,30/06/2019,03,22.8,23.0,22.2,63,67,63,15.5,16.0,15.5,972.7,972.9,972.7,0.1,146,2.3,-3.60,0.0
A005,30/06/2019,04,21.8,22.9,21.3,69,72,63,15.9,16.1,15.4,972.4,972.7,972.4,0.6,157,1.7,-3.60,0.0
A005,30/06/2019,05,21.9,22.7,21.5,68,70,63,15.7,15.9,15.3,972.0,972.4,972.0,0.2,153,1.9,-3.60,0.0
A005,30/06/2019,06,20.6,21.9,19.9,75,78,67,15.9,16.0,15.6,971.7,972.0,971.7,0.0,120,1.4,-3.60,0.0
A005,30/06/2019,07,19.4,21.8,19.3,79,80,67,15.6,15.9,15.3,971.7,971.7,971.6,0.4,125,3.0,-3.59,0.0
A005,30/06/2019,08,23.0,23.2,19.1,61,80,60,15.1,15.8,15.0,972.0,972.0,971.7,2.0,105,5.2,-3.60,0.0
A005,30/06/2019,09,19.6,23.1,19.5,77,77,61,15.3,15.4,14.6,972.5,972.5,972.0,0.2,175,5.2,-3.60,0.0
A005,30/06/2019,10,22.1,22.2,19.4,66,77,66,15.5,15.5,15.3,973.4,973.4,972.6,1.9,104,4.5,17.54,0.0
A005,30/06/2019,11,24.8,24.8,22.1,55,66,55,15.2,15.6,15.1,974.1,974.1,973.4,1.6,118,5.0,442.4,0.0
A005,30/06/2019,12,26.9,27.0,24.8,48,55,48,15.1,15.7,14.9,974.7,974.7,974.1,2.7,94,5.8,1191.,0.0
A005,30/06/2019,13,28.7,29.0,26.7,42,49,42,14.7,15.6,14.5,975.0,975.0,974.7,3.2,76,6.7,1912.,0.0
A005,30/06/2019,14,30.5,30.5,28.4,39,44,39,14.9,15.6,14.2,974.7,975.0,974.7,4.9,59,9.1,2447.,0.0
A005,30/06/2019,15,31.0,31.4,29.4,37,40,36,14.4,15.2,14.1,974.0,974.7,974.0,3.5,71,10.0,2754.,0.0
A005,30/06/2019,16,31.2,32.3,30.4,36,38,35,14.2,15.3,14.1,973.1,974.0,973.1,3.0,29,7.9,2935.,0.0
A005,30/06/2019,17,31.4,32.6,30.7,31,36,31,12.4,15.2,12.4,972.2,973.1,972.2,1.8,13,6.7,2510.,0.0
A005,30/06/2019,18,31.9,32.2,30.6,33,37,31,13.8,14.5,12.9,971.2,972.2,971.1,2.1,54,5.6,1595.,0.0
A005,30/06/2019,19,32.0,32.4,31.1,31,34,31,12.9,14.0,12.7,970.7,971.2,970.7,2.6,133,5.6,1565.,0.0
A005,30/06/2019,20,31.3,32.8,31.3,33,34,31,13.3,13.8,12.6,970.7,970.7,970.6,2.2,126,4.8,1044.,0.0
A005,30/06/2019,21,29.1,31.3,29.1,39,39,33,13.9,14.0,13.1,971.2,971.2,970.7,0.2,119,4.8,222.3,0.0
A005,30/06/2019,22,27.4,29.1,27.4,42,43,39,13.5,14.2,13.4,971.6,971.6,971.2,0.7,122,2.2,-3.59,0.0
A005,30/06/2019,23,26.5,27.4,26.3,45,46,42,13.4,13.7,13.3,972.1,972.1,971.5,0.2,134,1.7,-3.60,0.0
A005,01/07/2019,21,29.5,32.3,29.5,37,37,28,13.5,13.5,11.4,970.0,970.1,969.8,1.2,145,2.9,229.3,0.0
A005,01/07/2019,17,32.6,33.3,31.7,29,31,27,12.2,13.0,11.8,971.2,972.4,971.2,0.9,258,5.1,2682.,0.0
A005,01/07/2019,09,19.0,19.3,18.6,76,78,75,14.7,14.9,14.6,972.6,972.6,972.1,0.7,202,2.0,-3.60,0.0
A005,01/07/2019,08,18.7,20.9,18.7,78,78,66,14.8,14.9,14.3,972.1,972.1,971.6,0.7,199,2.2,-3.60,0.0
A005,01/07/2019,23,27.0,28.4,27.0,41,41,37,12.6,12.9,12.4,970.7,970.7,970.4,1.5,150,3.0,-3.60,0.0
A005,01/07/2019,16,32.7,33.2,31.2,29,33,29,12.4,14.0,11.2,972.4,973.6,972.4,1.3,68,6.0,2836.,0.0
A005,01/07/2019,07,20.8,21.5,20.3,67,72,66,14.4,15.1,14.4,971.6,971.6,971.4,1.3,158,2.4,-3.60,0.0
A005,01/07/2019,06,20.5,21.1,18.8,71,82,69,15.1,15.7,15.0,971.6,971.7,971.5,0.8,133,2.4,-3.60,0.0
