codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A009,30/06/2019,00,25.7,26.1,25.4,50,54,49,14.5,15.4,14.4,980.4,980.4,979.7,1.6,65,5.4,-3.54,0.0
A009,30/06/2019,01,24.9,26.2,24.9,54,54,48,14.9,14.9,14.1,980.8,980.8,980.5,1.3,71,3.0,-3.54,0.0
A009,30/06/2019,02,24.2,24.9,24.2,58,58,54,15.4,15.5,14.8,981.0,981.0,980.8,1.4,76,2.5,-3.54,0.0
A009,30/06/2019,03,25.2,25.2,24.1,54,59,54,15.3,15.5,15.3,981.0,981.1,981.0,1.7,84,3.2,-3.35,0.0
A009,30/06/2019,04,24.5,25.5,24.5,57,58,53,15.5,15.6,15.3,980.6,981.0,980.6,1.9,67,3.4,-3.54,0.0
A009,30/06/2019,05,24.8,24.8,24.4,56,58,56,15.5,15.6,15.5,980.4,980.6,980.4,2.5,69,4.5,-3.54,0.0
A009,30/06/2019,06,24.3,24.8,24.1,58,60,56,15.5,15.8,15.5,980.1,980.4,980.1,1.8,73,4.5,-3.54,0.0
A009,30/06/2019,07,25.3,25.3,24.3,52,58,52,14.9,15.6,14.9,980.0,980.1,979.9,2.0,74,4.5,-3.54,0.0
A009,30/06/2019,08,24.8,25.6,24.8,55,55,52,15.2,15.2,14.8,980.2,980.3,980.0,2.8,67,6.0,-3.54,0.0
A009,30/06/2019,09,24.2,24.8,24.0,57,58,55,15.2,15.3,15.2,980.8,980.8,980.2,2.6,66,5.1,-3.54,0.0
A009,30/06/2019,10,24.7,25.1,24.2,57,57,54,15.6,15.6,15.0,981.6,981.6,980.8,2.6,75,7.0,15.46,0.0
A009,30/06/2019,11,26.5,26.5,24.7,50,57,50,15.2,15.7,15.2,982.3,982.3,981.6,3.3,84,6.5,103.7,0.0
A009,30/06/2019,12,28.5,28.6,26.5,43,50,43,14.8,15.2,14.6,982.8,982.8,982.3,4.9,95,9.6,1069.,0.0
A009,30/06/2019,13,30.2,30.2,28.4,41,43,40,15.3,15.4,14.6,982.8,983.0,982.8,4.5,97,9.8,1936.,0.0
A009,30/06/2019,14,32.1,32.1,29.9,36,42,36,15.3,15.7,15.0,982.5,982.9,982.5,3.4,95,8.1,2407.,0.0
