codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A010,30/06/2019,00,22.6,23.5,22.3,64,67,61,15.6,16.1,15.5,981.5,981.6,981.0,0.0,121,1.4,-3.60,0.0
A010,30/06/2019,01,20.9,22.8,20.9,73,73,63,15.9,16.0,15.3,981.9,981.9,981.5,0.0,70,1.2,-3.60,0.0
A010,30/06/2019,02,20.3,21.2,20.3,71,73,67,15.0,15.8,14.9,982.0,982.0,981.9,0.0,118,2.0,-3.60,0.0
A010,30/06/2019,03,19.5,20.3,19.4,75,76,71,14.9,15.3,14.9,982.3,982.3,982.0,0.0,92,0.0,-3.60,0.0
A010,30/06/2019,04,18.6,19.7,18.6,79,79,74,14.8,15.0,14.6,981.8,982.3,981.8,0.0,97,0.9,-3.60,0.0
A010,30/06/2019,05,18.1,18.9,17.9,79,81,77,14.4,14.9,14.4,981.5,981.9,981.5,0.0,86,0.9,-3.60,0.0
A010,30/06/2019,06,17.4,18.3,17.4,80,80,77,13.9,14.4,13.9,981.3,981.5,981.2,0.0,83,0.0,-3.60,0.0
A010,30/06/2019,07,18.8,18.8,17.2,73,81,73,13.9,14.2,13.7,981.5,981.6,981.3,0.0,148,2.0,-3.60,0.0
A010,30/06/2019,08,17.4,19.5,17.4,80,80,70,13.9,14.1,13.4,981.9,981.9,981.4,0.0,337,2.9,-3.60,0.0
A010,30/06/2019,09,16.4,17.5,16.4,82,82,80,13.3,14.1,13.3,982.7,982.7,981.9,0.0,58,1.6,-3.60,0.0
A010,30/06/2019,10,16.1,16.4,16.0,85,85,82,13.5,13.5,13.1,983.5,983.5,982.7,0.0,52,1.6,14.14,0.0
A010,30/06/2019,11,20.1,20.1,16.1,71,85,71,14.5,14.5,13.5,984.4,984.4,983.5,0.0,33,1.2,325.8,0.0
A010,30/06/2019,12,24.6,24.9,20.1,50,71,49,13.6,15.3,13.2,985.0,985.0,984.4,0.2,112,2.1,1264.,0.0
A010,30/06/2019,13,27.1,27.3,24.6,44,51,43,13.7,14.2,13.1,985.1,985.1,985.0,0.5,96,4.0,1870.,0.0
A010,30/06/2019,14,28.3,29.0,26.5,41,45,40,13.6,14.3,13.0,984.6,985.1,984.6,1.8,65,7.4,2299.,0.0
A010,30/06/2019,15,30.4,30.8,27.9,34,42,33,12.6,14.2,12.6,983.5,984.6,983.5,1.6,112,7.0,2558.,0.0
A010,30/06/2019,16,32.5,32.5,29.7,29,35,29,12.2,13.2,11.9,982.4,983.5,982.4,1.1,88,6.7,2780.,0.0
A010,30/06/2019,17,31.4,32.5,30.5,30,32,29,11.6,12.5,11.6,981.2,982.4,981.2,1.1,82,8.0,2324.,0.0
A010,30/06/2019,18,32.3,32.9,31.3,28,30,27,11.6,12.1,11.1,980.1,981.2,980.1,1.4,147,5.7,2102.,0.0
A010,30/06/2019,19,31.7,32.4,31.1,28,29,26,11.1,11.8,10.5,979.7,980.1,979.6,2.2,143,5.4,1430.,0.0
A010,30/06/2019,20,30.9,32.4,30.9,30,30,27,11.3,11.7,10.9,979.7,979.7,979.6,0.4,108,5.4,458.0,0.0
A010,30/06/2019,21,28.7,30.9,28.7,37,37,30,12.8,12.8,11.2,980.1,980.1,979.7,0.0,193,3.5,78.21,0.0
A010,30/06/2019,22,26.1,28.7,25.4,47,52,37,14.0,15.1,12.8,980.5,980.5,980.1,0.0,165,0.0,-3.60,0.0
A010,30/06/2019,23,23.0,26.8,23.0,66,66,44,16.4,16.4,13.5,981.2,981.2,980.5,0.0,10,0.0,-3.60,0.0
A010,01/07/2019,08,15.9,16.2,15.7,85,86,84,13.4,13.5,13.3,981.6,981.6,981.3,0.0,87,0.0,-3.60,0.0
A010,01/07/2019,22,24.5,28.8,24.5,55,55,33,14.9,14.9,10.9,979.5,979.5,979.1,0.0,15,0.0,-3.60,0.0
A010,01/07/2019,20,31.6,33.0,31.6,25,26,23,9.4,9.9,9.0,979.0,979.1,978.9,0.0,171,2.8,499.4,0.0
A010,01/07/2019,16,32.0,32.7,30.2,27,32,27,10.8,12.1,10.5,981.8,983.0,981.8,0.9,136,7.9,2698.,0.0
A010,01/07/2019,07,16.2,16.7,16.1,84,87,84,13.6,14.4,13.5,981.3,981.3,981.1,0.0,59,0.0,-3.60,0.0
A010,01/07/2019,23,23.2,24.5,23.1,60,60,55,15.0,15.2,14.4,979.8,979.8,979.5,0.0,190,0.0,-3.60,0.0
A010,01/07/2019,15,30.8,30.9,28.9,31,35,31,11.8,12.4,11.4,983.0,983.9,983.0,1.3,119,6.5,2600.,0.0
A010,01/07/2019,06,16.6,17.2,16.5,87,87,86,14.3,15.0,14.3,981.1,981.3,981.1,0.0,59,0.0,-3.60,0.0
A010,01/07/2019,05,17.2,19.3,17.2,87,87,76,14.9,15.1,14.4,981.3,981.8,981.3,0.0,86,0.0,-3.60,0.0
A010,01/07/2019,19,32.5,33.2,32.0,24,25,23,9.3,10.1,8.9,979.1,979.5,979.1,0.4,155,4.6,1633.,0.0
A010,01/07/2019,14,29.8,30.1,27.4,33,41,33,11.9,13.4,11.6,983.9,984.7,983.9,1.9,111,5.6,2317.,0.0
A010,01/07/2019,04,19.3,19.5,18.6,76,80,76,14.9,15.5,14.9,981.8,982.1,981.8,0.0,190,0.0,-3.60,0.0
