codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A018,30/06/2019,00,22.3,23.7,22.3,70,71,63,16.5,16.8,16.3,984.6,984.6,984.3,0.0,59,0.0,-3.60,0.0
A018,30/06/2019,01,22.4,22.9,21.5,70,74,68,16.6,17.3,16.2,985.3,985.3,984.6,0.1,190,3.7,-3.60,0.0
A018,30/06/2019,02,22.4,22.7,21.5,67,73,67,16.0,16.6,16.0,985.2,985.3,985.2,0.2,171,2.1,-3.60,0.0
A018,30/06/2019,03,20.6,22.4,20.6,78,78,67,16.7,16.7,15.9,985.1,985.2,985.1,1.4,203,2.5,-3.60,0.0
A018,30/06/2019,04,20.3,20.6,20.2,79,81,78,16.5,16.9,16.5,985.0,985.2,985.0,0.0,198,2.1,-3.60,0.0
A018,30/06/2019,05,19.1,20.3,19.1,82,84,79,15.9,16.9,15.9,984.6,985.0,984.6,0.0,130,1.5,-3.60,0.0
A018,30/06/2019,06,19.1,20.0,18.8,84,87,82,16.3,17.4,15.9,984.3,984.7,984.2,0.1,96,2.1,-3.60,0.0
A018,30/06/2019,07,20.5,21.1,19.1,74,85,72,15.8,16.8,15.7,984.2,984.3,984.1,0.8,150,2.9,-3.60,0.0
A018,30/06/2019,08,18.9,20.7,18.6,80,83,73,15.4,15.9,15.0,984.9,984.9,984.2,1.3,17,4.4,-3.60,0.0
A018,30/06/2019,09,17.7,19.3,17.7,83,83,78,14.8,15.4,14.6,985.6,985.6,984.9,0.0,331,2.9,-3.60,0.0
A018,30/06/2019,10,18.5,18.5,16.8,82,87,82,15.4,15.4,14.3,986.5,986.5,985.6,0.3,149,1.6,35.91,0.0
A018,30/06/2019,11,22.6,23.0,18.5,65,82,63,15.6,16.1,15.3,987.3,987.3,986.5,0.6,121,3.1,544.0,0.0
A018,30/06/2019,12,26.6,26.6,22.6,51,65,51,15.7,16.0,15.4,987.8,987.8,987.3,2.4,116,4.4,1290.,0.0
A018,30/06/2019,13,29.0,29.0,26.6,42,51,42,14.7,15.7,14.0,987.8,987.9,987.7,4.1,78,8.1,1958.,0.0
A018,30/06/2019,14,29.9,30.3,28.8,38,42,37,13.9,15.0,13.8,987.4,987.8,987.4,4.4,96,8.1,2396.,0.0
A018,30/06/2019,15,31.0,31.3,29.6,35,38,34,13.8,14.4,13.3,986.6,987.4,986.6,4.0,73,7.7,2587.,0.0
A018,30/06/2019,16,32.0,32.1,30.9,33,36,33,13.8,14.5,13.3,985.6,986.6,985.6,3.5,85,7.1,2617.,0.0
A018,30/06/2019,17,31.7,32.9,31.0,32,34,32,13.0,14.2,13.0,984.6,985.6,984.6,2.7,112,7.0,1983.,0.0
A018,30/06/2019,18,32.8,33.2,31.7,31,32,27,13.3,13.4,11.6,983.6,984.6,983.6,2.1,99,6.4,2205.,0.0
A018,30/06/2019,19,32.2,33.2,32.0,31,33,29,12.7,14.0,12.4,983.2,983.6,983.1,2.9,148,5.3,1726.,0.0
A018,30/06/2019,20,31.4,32.3,31.1,33,34,30,13.4,13.8,12.5,983.3,983.3,983.1,2.6,125,6.0,931.5,0.0
A018,30/06/2019,21,28.9,31.4,28.9,42,42,33,14.7,14.7,13.1,983.7,983.7,983.3,1.1,168,4.5,244.1,0.0
A018,30/06/2019,22,25.3,28.9,25.3,56,56,42,15.8,16.0,14.7,984.0,984.0,983.7,0.0,192,2.5,-3.52,0.0
A018,30/06/2019,23,22.8,25.3,22.8,67,67,56,16.3,16.3,15.9,984.6,984.6,984.0,0.0,205,0.0,-3.60,0.0
A018,01/07/2019,08,18.2,18.4,17.7,89,89,85,16.3,16.5,15.3,984.7,984.7,984.4,0.0,181,1.0,-3.60,0.0
A018,01/07/2019,07,18.1,18.5,18.0,87,87,84,15.8,16.3,15.3,984.4,984.4,984.1,0.0,165,1.5,-3.60,0.0
A018,01/07/2019,23,22.4,24.7,22.4,63,63,54,15.1,15.1,14.4,983.2,983.2,983.0,0.0,203,1.6,-3.60,0.0
A018,01/07/2019,16,33.4,33.5,32.0,30,32,28,13.3,14.0,11.6,984.9,986.0,984.9,2.1,113,7.3,2605.,0.0
A018,01/07/2019,22,24.7,28.9,24.7,54,54,39,14.8,14.8,13.3,983.0,983.0,982.7,0.3,220,1.7,-3.60,0.0
A018,01/07/2019,20,32.0,33.2,32.0,30,30,28,12.2,12.5,11.7,982.6,982.6,982.5,2.6,159,5.6,1051.,0.0
A018,01/07/2019,15,32.4,32.8,30.7,31,38,29,13.2,14.7,12.0,986.0,987.0,986.0,3.5,89,7.5,2585.,0.0
A018,01/07/2019,06,18.3,18.7,18.2,85,86,84,15.8,16.2,15.5,984.1,984.5,984.1,0.4,215,1.5,-3.60,0.0
A018,01/07/2019,05,18.4,19.5,18.4,84,86,81,15.7,16.9,15.7,984.5,985.0,984.4,0.0,161,2.2,-3.60,0.0
A018,01/07/2019,19,32.7,33.6,32.5,28,29,27,11.6,12.6,11.6,982.6,982.9,982.5,3.5,151,6.7,1702.,0.0
A018,01/07/2019,14,30.8,30.8,28.6,38,43,38,14.9,15.2,14.3,986.9,987.5,986.9,2.7,138,6.4,2392.,0.0
A018,01/07/2019,04,19.2,20.2,19.1,81,82,77,15.9,16.3,15.7,984.9,985.2,984.8,0.1,119,1.9,-3.60,0.0
A018,01/07/2019,03,20.0,20.8,19.4,77,80,75,15.9,16.4,15.4,985.2,985.3,985.1,0.6,211,1.7,-3.60,0.0
A018,01/07/2019,13,28.7,28.8,25.9,42,56,42,14.7,16.5,14.3,987.5,987.6,987.5,3.1,132,6.3,1964.,0.0
A018,01/07/2019,02,20.7,21.5,20.5,75,75,70,16.1,16.1,15.7,985.2,985.2,985.1,0.0,185,1.4,-3.60,0.0
A018,01/07/2019,01,21.4,22.2,21.0,71,71,67,15.8,16.0,15.5,985.1,985.1,984.9,0.2,210,1.8,-3.60,0.0
A018,01/07/2019,21,28.9,32.1,28.9,38,38,30,13.3,13.3,12.0,982.7,982.7,982.5,0.2,164,5.0,277.0,0.0
