codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A019,30/06/2019,00,21.3,22.9,21.3,74,74,66,16.5,17.0,16.1,981.9,981.9,981.6,0.0,255,0.0,-3.54,0.0
A019,30/06/2019,01,20.0,21.3,20.0,80,80,74,16.4,16.7,16.3,982.1,982.1,981.9,0.0,265,0.0,-3.54,0.0
A019,30/06/2019,02,19.8,20.2,19.6,82,82,80,16.7,16.7,16.3,982.2,982.2,982.0,0.0,351,0.0,-3.54,0.0
A019,30/06/2019,03,19.8,20.0,19.5,83,86,81,16.8,17.2,16.7,982.2,982.2,982.1,0.0,326,0.0,-3.54,0.0
A019,30/06/2019,04,18.8,19.8,18.8,85,86,82,16.3,16.8,16.1,982.0,982.2,982.0,0.0,235,0.0,-3.54,0.0
A019,30/06/2019,05,18.5,19.0,18.2,86,87,84,16.2,16.4,15.8,981.6,982.0,981.6,0.0,195,0.0,-3.54,0.0
A019,30/06/2019,06,17.6,18.7,17.5,88,89,84,15.7,16.2,15.4,981.2,981.6,981.2,0.0,248,0.0,-3.54,0.0
A019,30/06/2019,07,17.3,17.7,17.2,90,91,88,15.6,15.9,15.4,981.4,981.4,981.2,0.0,322,0.0,-3.54,0.0
A019,30/06/2019,08,18.4,18.8,17.2,85,91,84,15.8,16.5,15.5,981.9,981.9,981.4,0.0,75,0.0,-3.54,0.0
A019,30/06/2019,09,17.4,18.6,17.0,90,90,84,15.8,16.0,15.1,982.6,982.6,981.9,0.0,250,0.0,-3.54,0.0
A019,30/06/2019,10,17.7,17.7,16.9,88,91,87,15.7,15.8,14.9,983.3,983.3,982.6,0.0,28,0.0,51.29,0.0
A019,30/06/2019,11,23.5,23.5,17.7,64,90,64,16.4,17.5,15.7,984.2,984.2,983.3,0.9,98,2.4,618.6,0.0
A019,30/06/2019,12,26.3,26.4,23.5,50,64,50,15.2,16.5,14.9,984.8,984.8,984.2,2.4,109,5.7,1292.,0.0
A019,30/06/2019,13,28.2,28.3,26.3,45,51,45,15.1,15.8,14.9,984.6,984.8,984.6,3.1,106,7.0,2129.,0.0
A019,30/06/2019,14,29.8,30.1,27.9,40,45,40,14.7,15.6,14.4,984.2,984.6,984.2,3.5,111,8.6,2610.,0.0
