codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A021,30/06/2019,00,21.6,22.3,21.6,80,81,78,18.1,18.4,18.0,986.0,986.0,985.4,0.0,308,0.0,-3.54,0.0
A021,30/06/2019,01,20.6,21.6,20.6,82,82,80,17.5,18.3,17.5,986.4,986.4,986.0,0.0,128,0.0,-3.54,0.0
A021,30/06/2019,02,20.2,20.6,20.1,84,85,82,17.5,17.8,17.4,986.5,986.5,986.3,0.0,262,0.0,-3.42,0.0
A021,30/06/2019,03,20.1,20.3,19.8,86,86,84,17.7,17.7,17.2,986.9,986.9,986.5,0.0,13,0.0,-3.27,0.0
A021,30/06/2019,04,19.8,20.4,19.8,86,86,84,17.3,17.7,17.3,986.5,987.0,986.5,0.0,264,0.4,-3.27,0.0
A021,30/06/2019,05,19.2,19.9,19.2,87,87,85,16.9,17.4,16.9,986.0,986.5,986.0,0.0,266,0.3,-3.53,0.0
A021,30/06/2019,06,18.7,19.3,18.7,88,88,86,16.6,17.0,16.6,985.5,986.0,985.5,0.0,347,0.0,-3.54,0.0
A021,30/06/2019,07,18.3,18.7,18.2,89,89,88,16.5,16.6,16.3,985.6,985.6,985.4,0.0,209,0.0,-2.96,0.0
A021,30/06/2019,08,18.1,18.4,18.1,90,90,89,16.4,16.7,16.3,985.9,985.9,985.5,0.0,266,0.0,-3.24,0.0
A021,30/06/2019,09,17.4,18.1,17.4,92,92,90,16.0,16.4,15.9,986.7,986.7,985.9,0.0,146,0.0,-3.54,0.0
A021,30/06/2019,10,18.8,18.8,17.4,89,92,89,16.9,16.9,16.0,987.0,987.0,986.7,0.0,22,0.3,64.09,0.0
A021,30/06/2019,11,24.6,24.6,18.8,68,89,68,18.2,18.4,16.9,987.5,987.5,987.0,0.0,143,0.0,653.0,0.0
A021,30/06/2019,12,28.6,28.6,24.5,54,68,53,18.3,19.3,17.9,987.8,987.8,987.5,1.8,104,7.8,1453.,0.0
A021,30/06/2019,13,29.9,30.3,28.7,47,54,47,17.4,18.4,17.3,987.8,987.9,987.7,4.6,108,9.4,2151.,0.0
A021,30/06/2019,14,31.4,31.5,29.8,43,48,42,17.2,18.1,16.7,987.4,987.8,987.4,4.0,102,10.0,2665.,0.0
A021,30/06/2019,15,32.3,32.5,31.1,40,43,39,16.8,17.8,16.4,986.7,987.4,986.7,3.6,108,9.2,2975.,0.0
A021,30/06/2019,16,33.2,33.3,32.1,38,42,38,17.0,18.1,16.6,986.0,986.7,986.0,2.9,94,9.1,3049.,0.0
A021,30/06/2019,17,33.9,34.0,32.7,35,40,35,16.3,17.6,16.0,985.1,986.0,985.1,2.2,109,8.6,2948.,0.0
A021,30/06/2019,18,33.7,34.1,32.2,34,39,34,15.7,17.3,15.5,984.2,985.1,984.2,2.0,90,6.5,2201.,0.0
A021,30/06/2019,19,33.5,33.9,32.9,35,37,34,15.8,16.3,15.2,983.8,984.2,983.8,1.6,94,5.9,1899.,0.0
A021,30/06/2019,20,32.4,33.5,32.4,38,39,35,16.4,16.6,15.7,984.2,984.2,983.8,1.0,99,5.5,1139.,0.0
A021,30/06/2019,21,28.8,32.4,28.8,53,53,36,18.1,18.2,15.5,984.5,984.5,984.2,0.0,80,4.1,261.1,0.0
A021,30/06/2019,22,24.6,28.8,24.6,71,71,53,19.0,19.7,18.1,984.8,984.8,984.5,0.0,287,0.0,-2.25,0.0
A021,30/06/2019,23,22.9,24.7,22.9,77,77,71,18.7,19.1,18.7,985.5,985.5,984.8,0.0,293,0.0,-3.54,0.0
A021,01/07/2019,09,18.2,18.5,18.1,91,92,90,16.8,17.0,16.6,986.3,986.3,985.6,0.0,290,0.0,-3.41,0.0
A021,01/07/2019,22,25.1,29.4,25.1,72,72,51,19.7,19.8,18.7,984.4,984.4,984.0,0.0,304,0.7,-1.98,0.0
A021,01/07/2019,18,33.3,34.2,32.5,37,38,34,16.4,17.0,15.6,983.8,984.7,983.8,1.5,136,7.6,2185.,0.0
A021,01/07/2019,10,18.9,18.9,18.2,92,92,91,17.5,17.5,16.7,986.9,987.0,986.3,0.0,217,0.0,39.59,0.0
A021,01/07/2019,23,22.9,25.1,22.9,79,79,72,19.0,19.7,18.9,985.0,985.0,984.4,0.0,324,0.0,-3.54,0.0
A021,01/07/2019,17,33.1,34.0,32.0,38,40,35,16.9,17.4,15.4,984.7,985.8,984.7,2.4,98,7.5,2144.,0.0
A021,01/07/2019,08,18.5,19.4,18.5,90,90,89,16.9,17.5,16.9,985.6,985.6,985.3,0.0,20,0.0,-3.53,0.0
A021,01/07/2019,07,19.4,20.0,19.1,89,90,86,17.5,17.9,17.2,985.3,985.6,985.3,0.0,292,0.0,-3.53,0.0
A021,01/07/2019,21,29.4,32.7,29.4,51,51,37,18.2,18.3,16.2,984.0,984.0,983.6,0.0,75,4.6,212.2,0.0
A021,01/07/2019,16,33.5,33.6,31.8,36,40,35,16.6,17.5,15.8,985.8,986.8,985.8,2.8,147,7.5,2830.,0.0
A021,01/07/2019,06,20.0,20.8,19.4,86,89,85,17.7,18.4,17.4,985.5,985.8,985.5,0.0,186,3.1,-1.98,0.0
A021,01/07/2019,05,19.6,20.5,19.5,88,88,86,17.6,18.0,17.5,985.8,986.4,985.8,0.0,221,0.0,-3.47,0.0
A021,01/07/2019,15,33.1,33.3,30.3,40,43,37,17.6,17.9,15.3,986.8,987.6,986.8,2.2,128,9.1,2968.,0.0
A021,01/07/2019,04,20.4,20.7,19.9,86,88,85,18.0,18.2,17.6,986.3,986.7,986.3,0.0,295,1.5,-2.45,0.0
A021,01/07/2019,03,20.2,20.5,19.9,85,87,84,17.6,17.8,17.5,986.7,986.8,986.7,0.0,307,0.0,-3.53,0.0
A021,01/07/2019,20,32.7,33.9,32.4,37,39,35,16.2,16.9,14.9,983.6,983.6,983.5,1.3,108,5.5,1036.,0.0
A021,01/07/2019,14,31.7,32.1,30.9,43,47,42,17.4,18.4,17.4,987.6,988.2,987.6,3.4,104,9.1,2641.,0.0
A021,01/07/2019,02,20.3,21.3,20.3,85,85,82,17.7,18.2,17.6,986.8,986.8,986.7,0.0,210,0.0,-3.54,0.0
A021,01/07/2019,01,21.3,22.3,21.3,82,82,79,18.1,18.8,18.0,986.7,986.7,986.2,0.0,291,0.0,-3.48,0.0
