codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A031,30/06/2019,00,23.3,25.0,23.3,69,72,62,17.4,17.8,17.1,988.8,988.8,988.2,0.0,127,0.9,-3.60,0.0
A031,30/06/2019,01,22.6,23.3,22.6,74,74,69,17.7,17.8,17.3,989.2,989.2,988.8,0.0,139,0.9,-3.60,0.0
A031,30/06/2019,02,21.6,22.6,21.4,78,79,74,17.6,18.2,17.3,989.4,989.4,989.2,0.1,143,1.3,-3.60,0.0
A031,30/06/2019,03,21.6,21.8,21.3,73,78,73,16.6,17.6,16.6,989.4,989.4,989.3,0.0,137,1.7,-3.60,0.0
A031,30/06/2019,04,21.6,21.6,21.2,75,76,73,16.9,16.9,16.6,989.2,989.4,989.2,0.0,155,1.4,-3.60,0.0
A031,30/06/2019,05,20.6,21.6,19.9,81,83,75,17.2,17.3,16.8,988.8,989.2,988.8,0.0,184,1.6,-3.60,0.0
A031,30/06/2019,06,19.3,20.6,19.2,86,86,81,16.9,17.2,16.7,988.3,988.8,988.3,0.0,135,1.7,-3.60,0.0
A031,30/06/2019,07,20.0,20.1,19.2,83,87,82,16.9,17.2,16.8,988.4,988.4,988.3,0.0,166,0.0,-3.60,0.0
A031,30/06/2019,08,19.0,20.0,18.9,88,89,83,17.0,17.2,16.7,988.6,988.6,988.4,0.0,165,0.0,-3.60,0.0
A031,30/06/2019,09,19.4,20.0,19.0,86,88,84,17.0,17.3,16.8,989.0,989.0,988.6,0.5,179,2.2,-3.60,0.0
A031,30/06/2019,10,19.3,20.6,19.2,83,86,77,16.4,17.2,16.2,989.9,989.9,989.0,0.2,142,2.2,10.06,0.0
A031,30/06/2019,11,22.1,22.1,19.3,75,83,73,17.5,17.5,16.1,990.6,990.6,989.9,2.3,126,3.4,432.8,0.0
A031,30/06/2019,12,27.3,27.3,22.1,54,75,54,17.0,17.9,16.8,991.3,991.3,990.6,3.5,118,5.6,1202.,0.0
