codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A032,30/06/2019,00,23.4,23.8,22.5,52,57,51,12.9,13.6,12.9,953.4,953.4,952.9,1.8,55,2.8,0.000,0.0
A032,30/06/2019,01,23.2,23.6,23.1,50,52,50,12.1,12.9,12.1,953.6,953.6,953.3,2.4,52,4.0,0.000,0.0
A032,30/06/2019,02,22.9,23.4,22.0,48,51,47,11.4,12.1,11.4,953.6,953.6,953.5,1.3,26,4.4,0.000,0.0
A032,30/06/2019,03,21.3,23.0,20.8,56,57,48,12.1,12.3,11.4,953.8,953.9,953.6,1.6,17,2.9,0.000,0.0
A032,30/06/2019,04,21.3,22.1,20.8,55,58,53,12.1,12.3,12.0,953.5,953.8,953.5,1.7,24,3.7,0.000,0.0
A032,30/06/2019,05,21.0,21.6,20.4,56,59,54,12.0,12.2,11.9,953.3,953.5,953.3,1.5,69,4.2,0.000,0.0
A032,30/06/2019,06,19.9,21.4,19.6,61,62,55,12.3,12.3,12.0,952.8,953.3,952.8,2.5,33,4.2,0.000,0.0
A032,30/06/2019,07,20.2,20.4,19.6,61,63,60,12.5,12.5,12.1,952.7,952.8,952.7,2.3,43,4.4,0.000,0.0
A032,30/06/2019,08,19.9,20.3,19.8,63,63,60,12.6,12.6,12.4,953.1,953.1,952.7,2.3,48,3.4,0.000,0.0
A032,30/06/2019,09,19.3,20.3,19.3,66,66,61,12.9,12.9,12.5,953.7,953.7,953.1,1.9,36,3.5,0.000,0.0
A032,30/06/2019,10,20.7,20.7,19.2,62,67,62,13.2,13.3,12.9,954.7,954.7,953.7,1.7,55,2.9,60.04,0.0
A032,30/06/2019,11,22.8,23.0,20.5,54,63,54,13.0,13.7,13.0,955.5,955.5,954.7,1.6,97,3.2,614.0,0.0
A032,30/06/2019,12,24.4,24.6,22.8,50,55,50,13.2,13.7,13.0,955.9,955.9,955.5,2.8,100,6.2,1386.,0.0
A032,30/06/2019,13,25.3,25.4,24.1,48,51,48,13.4,13.8,13.1,956.2,956.3,955.9,3.6,118,6.7,2042.,0.0
A032,30/06/2019,14,27.0,27.0,25.0,44,49,43,13.7,13.8,13.1,955.7,956.2,955.7,2.8,118,7.4,2503.,0.0
A032,30/06/2019,15,28.2,28.6,27.0,37,44,37,12.3,13.8,12.3,954.6,955.7,954.6,3.7,130,6.6,2709.,0.0
A032,30/06/2019,16,29.6,29.7,27.7,33,40,32,11.5,13.5,11.4,953.6,954.6,953.6,2.6,105,6.6,2790.,0.0
A032,30/06/2019,17,29.5,30.7,29.1,31,33,30,10.5,11.8,10.5,952.4,953.6,952.4,1.4,190,6.5,2686.,0.0
