codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A038,30/06/2019,00,22.3,24.1,22.3,55,55,48,12.9,13.0,12.5,933.6,933.6,933.2,2.5,85,4.6,0.000,0.0
A038,30/06/2019,01,22.5,22.9,22.0,54,57,53,12.8,13.0,12.8,933.9,933.9,933.6,2.7,106,4.3,0.000,0.0
A038,30/06/2019,02,21.9,22.6,21.7,57,58,54,13.1,13.1,12.9,933.7,933.9,933.7,2.3,107,4.3,0.000,0.0
A038,30/06/2019,03,22.4,22.5,21.8,56,58,55,13.1,13.1,12.9,933.6,933.7,933.6,3.5,105,4.9,0.000,0.0
A038,30/06/2019,04,21.3,22.5,21.1,59,60,55,13.0,13.1,13.0,933.5,933.6,933.5,2.6,123,5.3,0.000,0.0
A038,30/06/2019,05,20.5,21.3,20.3,62,63,59,13.0,13.0,13.0,933.3,933.5,933.3,2.0,118,3.9,0.000,0.0
A038,30/06/2019,06,20.3,20.6,20.1,63,64,62,13.0,13.1,13.0,933.1,933.3,933.1,3.3,91,4.8,0.000,0.0
A038,30/06/2019,07,19.7,20.7,19.6,68,68,62,13.5,13.5,13.0,933.1,933.2,933.1,3.7,90,6.0,0.000,0.0
A038,30/06/2019,08,19.0,20.1,18.8,70,70,66,13.4,13.6,13.2,933.4,933.5,933.1,3.4,88,6.4,0.000,0.0
A038,30/06/2019,09,18.7,19.2,18.7,73,73,70,13.8,13.8,13.5,934.1,934.1,933.4,3.8,80,7.2,0.000,0.0
A038,30/06/2019,10,19.1,19.1,18.2,73,75,73,14.1,14.1,13.7,934.7,934.7,934.1,4.2,89,7.4,55.39,0.0
A038,30/06/2019,11,20.9,20.9,19.1,68,73,67,14.6,14.7,14.1,935.4,935.4,934.7,4.7,93,7.3,655.2,0.0
A038,30/06/2019,12,23.1,23.2,20.8,61,68,61,15.0,15.5,14.5,935.9,935.9,935.4,6.6,89,10.8,1465.,0.0
A038,30/06/2019,13,25.0,25.1,22.5,55,62,54,15.2,15.5,14.8,935.9,936.1,935.9,6.3,88,11.1,2151.,0.0
A038,30/06/2019,14,26.2,26.6,24.8,50,55,49,14.9,15.7,14.5,935.8,936.0,935.8,5.1,106,10.4,2653.,0.0
