codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A039,30/06/2019,00,22.7,23.0,22.3,68,72,66,16.5,17.0,16.1,989.0,989.0,988.5,0.8,141,1.9,-3.54,0.0
A039,30/06/2019,01,20.7,22.7,20.7,76,76,66,16.4,16.8,16.1,989.5,989.5,989.0,0.1,199,1.8,-3.54,0.0
A039,30/06/2019,02,19.5,20.8,19.4,82,82,76,16.4,16.6,16.2,989.3,989.5,989.3,1.2,223,1.6,-3.54,0.0
A039,30/06/2019,03,20.8,20.8,19.5,76,82,76,16.3,16.5,16.1,989.3,989.3,989.3,1.5,194,2.8,-3.54,0.0
A039,30/06/2019,04,19.2,20.9,19.2,82,82,75,16.1,16.3,16.0,989.0,989.3,989.0,0.7,182,2.8,-3.54,0.0
A039,30/06/2019,05,19.4,19.8,19.0,80,83,78,15.9,16.1,15.9,988.8,989.0,988.8,0.8,180,2.1,-3.54,0.0
A039,30/06/2019,06,20.2,20.2,18.9,77,82,77,16.1,16.1,15.7,988.3,988.8,988.3,1.7,158,3.3,-3.54,0.0
A039,30/06/2019,07,20.9,20.9,20.1,72,77,72,15.6,16.0,15.6,988.1,988.3,988.0,1.8,160,3.4,-3.54,0.0
A039,30/06/2019,08,20.2,21.0,20.2,74,74,71,15.5,15.6,15.4,988.6,988.6,988.1,1.7,151,3.4,-3.54,0.0
A039,30/06/2019,09,21.7,21.8,20.2,67,74,67,15.2,15.6,15.2,989.6,989.6,988.6,1.9,129,4.7,-3.54,0.0
A039,30/06/2019,10,20.9,21.7,20.7,71,71,67,15.5,15.5,15.2,990.3,990.3,989.6,2.1,154,4.7,17.96,0.0
A039,30/06/2019,11,24.0,24.0,20.9,58,71,58,15.3,15.7,15.2,991.0,991.0,990.2,2.9,157,5.9,480.5,0.0
A039,30/06/2019,12,26.2,26.2,24.0,49,58,49,14.8,15.4,14.5,991.6,991.6,991.0,4.2,154,8.2,1269.,0.0
A039,30/06/2019,13,28.8,28.8,26.2,43,49,42,15.0,15.5,14.7,991.5,991.7,991.5,3.5,142,8.2,1904.,0.0
A039,30/06/2019,14,30.7,30.9,28.8,37,43,37,14.4,15.6,14.3,991.3,991.5,991.3,3.5,115,8.0,2386.,0.0
A039,30/06/2019,15,31.1,31.6,30.4,35,37,35,14.1,14.5,13.8,990.6,991.3,990.6,3.0,129,8.7,2740.,0.0
A039,30/06/2019,16,32.2,32.6,31.1,33,36,32,13.7,14.5,13.3,989.9,990.7,989.8,3.0,124,7.0,2836.,0.0
A039,30/06/2019,17,33.0,33.5,31.9,31,33,29,13.8,14.1,12.9,988.7,989.9,988.7,2.5,118,7.5,2789.,0.0
A039,30/06/2019,18,31.5,33.5,31.5,34,34,29,13.5,13.9,12.3,987.8,988.7,987.8,1.5,143,12.3,2068.,0.0
A039,30/06/2019,19,30.9,33.3,30.7,36,36,29,13.8,13.8,12.3,987.4,987.8,987.4,1.5,134,6.7,1342.,0.0
A039,30/06/2019,20,31.9,32.6,30.9,31,36,29,12.4,14.3,12.3,987.4,987.4,987.4,1.9,154,6.0,1054.,0.0
A039,30/06/2019,21,28.7,32.2,28.7,47,47,31,16.3,16.3,12.7,987.8,987.8,987.4,0.8,169,4.4,267.8,0.0
A039,30/06/2019,22,24.2,28.7,24.2,62,63,46,16.6,16.8,15.5,988.3,988.3,987.8,0.3,195,1.5,-2.97,0.0
A039,30/06/2019,23,22.0,24.3,22.0,74,74,62,17.2,17.4,16.6,988.9,988.9,988.3,0.7,171,1.4,-3.54,0.0
A039,01/07/2019,10,20.1,20.4,19.8,72,73,71,14.9,15.0,14.8,990.0,990.0,989.1,2.1,159,4.6,10.13,0.0
A039,01/07/2019,09,19.9,19.9,18.4,73,81,73,15.0,15.4,14.9,989.1,989.1,988.7,1.6,172,3.2,-3.54,0.0
A039,01/07/2019,18,33.8,34.2,33.0,26,28,26,11.6,12.4,10.9,987.1,988.0,987.1,1.9,144,5.9,2311.,0.0
A039,01/07/2019,23,23.0,24.4,22.8,64,66,60,15.8,16.8,15.7,987.4,987.4,987.0,0.8,190,2.1,-3.54,0.0
A039,01/07/2019,22,24.4,29.1,24.4,61,61,43,16.4,16.5,14.8,987.0,987.0,986.7,0.8,192,1.4,-3.05,0.0
A039,01/07/2019,17,33.4,33.8,32.8,28,29,26,12.3,12.6,11.2,988.0,989.2,988.0,2.8,176,7.5,2712.,0.0
A039,01/07/2019,08,18.9,20.2,18.5,80,81,73,15.3,15.3,14.9,988.7,988.7,988.4,1.3,173,3.1,-3.54,0.0
A039,01/07/2019,07,19.4,19.4,18.4,76,83,76,15.1,15.6,15.1,988.4,988.4,988.1,0.8,142,1.8,-3.54,0.0
A039,01/07/2019,21,29.1,33.2,29.1,43,43,27,15.2,15.2,11.5,986.7,986.7,986.6,0.3,210,3.0,269.6,0.0
A039,01/07/2019,16,33.2,33.4,32.2,29,31,27,12.6,13.3,11.8,989.2,990.2,989.2,3.2,149,7.3,2850.,0.0
A039,01/07/2019,06,18.4,19.4,18.4,82,82,77,15.2,15.4,15.0,988.1,988.4,988.1,0.8,201,1.7,-3.54,0.0
A039,01/07/2019,05,18.9,19.7,18.8,80,81,76,15.3,15.7,15.3,988.3,988.9,988.3,0.8,212,1.8,-3.54,0.0
A039,01/07/2019,15,32.6,32.6,30.8,31,34,30,13.5,13.6,12.7,990.2,991.1,990.2,3.1,131,8.7,2741.,0.0
A039,01/07/2019,04,19.7,19.9,19.3,77,80,76,15.5,15.8,15.4,988.9,989.5,988.9,1.0,167,1.8,-3.54,0.0
A039,01/07/2019,03,19.7,21.2,19.7,78,78,71,15.8,16.0,15.6,989.5,989.7,989.5,0.8,191,1.5,-3.54,0.0
A039,01/07/2019,20,32.9,33.7,32.7,28,29,25,12.0,12.2,10.8,986.6,986.8,986.6,1.2,139,4.0,1032.,0.0
A039,01/07/2019,14,30.8,31.3,30.1,34,40,33,13.1,15.4,13.0,991.1,991.5,991.1,3.9,149,9.4,2390.,0.0
A039,01/07/2019,02,20.8,21.1,20.2,72,78,72,15.6,16.4,15.5,989.7,989.7,989.6,0.7,178,1.5,-3.54,0.0
A039,01/07/2019,01,20.9,21.4,20.5,75,78,73,16.4,16.7,16.1,989.6,989.6,989.2,0.7,174,1.9,-3.54,0.0
A039,01/07/2019,13,30.1,30.1,27.5,40,46,39,15.0,15.2,13.9,991.4,991.4,991.3,3.8,161,8.2,1908.,0.0
A039,01/07/2019,00,21.3,22.0,21.0,76,77,74,16.8,17.2,16.6,989.2,989.2,988.9,0.8,194,1.8,-3.54,0.0
A039,01/07/2019,19,33.2,33.9,33.0,26,28,26,10.8,12.2,10.8,986.8,987.1,986.8,1.8,199,5.2,1749.,0.0
A039,01/07/2019,12,27.5,27.5,24.1,46,57,46,14.7,15.5,14.6,991.4,991.4,990.8,2.9,165,5.9,1240.,0.0
A039,01/07/2019,11,24.1,24.1,20.2,57,72,57,15.0,15.4,14.7,990.8,990.8,990.0,2.3,163,5.3,444.8,0.0
A039,02/07/2019,18,33.7,34.0,32.9,24,27,24,10.6,12.3,10.1,984.2,985.0,984.1,2.7,47,7.2,2329.,0.0
A039,02/07/2019,17,33.0,34.2,32.9,26,28,24,10.8,12.3,10.2,985.0,986.1,985.0,4.1,100,9.2,2727.,0.0
A039,02/07/2019,16,33.3,33.8,32.4,26,28,24,11.0,12.5,10.0,986.1,987.2,986.1,2.4,82,7.8,2860.,0.0
A039,02/07/2019,15,33.4,33.4,31.6,28,31,25,12.2,12.7,10.1,987.2,988.0,987.2,2.5,176,6.4,2757.,0.0
A039,02/07/2019,14,32.2,32.2,29.9,30,38,30,12.6,13.8,12.5,988.0,988.7,988.0,2.4,148,6.9,2411.,0.0
A039,02/07/2019,13,30.0,30.0,25.7,38,49,38,14.0,14.9,13.3,988.6,988.7,988.5,2.3,146,5.8,1912.,0.0
A039,02/07/2019,12,25.7,25.7,22.7,49,61,49,14.3,15.2,13.9,988.6,988.7,988.2,2.2,157,5.5,1238.,0.0
A039,02/07/2019,11,22.8,22.8,16.8,60,87,60,14.6,15.5,14.3,988.2,988.2,987.0,2.0,147,4.4,400.6,0.0
A039,02/07/2019,10,16.8,17.1,16.8,86,87,84,14.4,14.6,14.2,987.0,987.0,986.5,0.6,166,1.4,9.131,0.0
A039,02/07/2019,09,16.9,18.5,16.9,84,84,78,14.2,14.7,14.1,986.5,986.5,986.4,0.7,181,2.0,-3.54,0.0
A039,02/07/2019,08,18.1,18.3,17.7,80,84,80,14.6,15.2,14.6,986.4,986.5,986.3,1.2,160,2.3,-3.54,0.0
A039,02/07/2019,07,18.1,18.3,17.8,83,84,82,15.2,15.3,15.0,986.4,986.6,986.4,1.3,188,2.2,-3.54,0.0
A039,02/07/2019,06,18.1,18.9,17.9,83,85,82,15.2,16.1,15.0,986.6,987.1,986.6,1.3,193,2.2,-3.54,0.0
A039,02/07/2019,05,17.9,19.1,17.9,84,84,81,15.1,15.8,15.1,987.1,987.5,987.1,0.6,220,1.9,-3.54,0.0
A039,02/07/2019,04,19.1,21.6,18.8,81,81,67,15.7,15.9,14.9,987.4,987.8,987.4,0.5,255,2.8,-3.54,0.0
A039,02/07/2019,03,21.6,22.1,20.7,67,70,63,15.2,15.5,14.6,987.8,987.8,987.7,0.9,15,2.0,-3.54,0.0
A039,02/07/2019,02,21.6,22.5,21.6,65,68,62,14.7,15.6,14.7,987.8,987.9,987.8,0.7,191,2.0,-3.54,0.0
A039,02/07/2019,01,22.0,23.3,21.7,65,71,61,15.2,16.2,15.0,987.9,987.9,987.7,0.8,165,2.7,-3.54,0.0
A039,02/07/2019,00,22.0,23.0,21.9,69,70,64,16.1,16.8,15.8,987.7,987.7,987.4,0.7,167,2.0,-3.54,0.0
