codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A040,30/06/2019,00,19.5,20.4,19.5,72,72,69,14.3,14.5,14.3,926.8,926.8,926.4,2.2,72,2.9,-3.54,0.0
A040,30/06/2019,01,18.5,19.5,18.2,75,76,72,14.0,14.4,13.9,927.1,927.1,926.7,2.9,65,4.2,-3.54,0.0
A040,30/06/2019,02,17.0,18.8,17.0,80,80,74,13.6,14.1,13.5,927.1,927.1,927.0,2.6,57,3.9,-3.54,0.0
A040,30/06/2019,03,16.9,17.5,16.8,80,81,79,13.4,13.9,13.4,926.8,927.1,926.8,2.5,55,3.5,-3.54,0.0
A040,30/06/2019,04,16.8,16.9,15.8,83,85,80,13.9,13.9,13.0,926.6,926.8,926.5,3.6,58,5.4,-3.54,0.0
A040,30/06/2019,05,16.4,18.3,15.9,82,83,74,13.3,14.0,12.7,926.3,926.7,926.3,3.2,61,5.7,-3.54,0.0
A040,30/06/2019,06,15.9,16.4,14.9,83,86,82,13.1,13.2,12.4,926.2,926.3,926.1,3.1,82,4.3,-3.54,0.0
A040,30/06/2019,07,14.4,16.4,14.4,87,87,82,12.3,13.3,12.3,926.4,926.4,926.2,2.5,94,4.6,-3.54,0.0
A040,30/06/2019,08,14.7,15.2,14.4,87,88,85,12.5,12.8,12.4,926.7,926.7,926.4,2.7,93,4.0,-3.54,0.0
A040,30/06/2019,09,14.5,15.0,14.5,89,89,87,12.6,12.8,12.6,927.3,927.3,926.7,2.8,86,4.1,-3.54,0.0
A040,30/06/2019,10,16.0,16.0,14.3,86,90,86,13.7,13.7,12.5,927.8,927.8,927.3,3.5,83,5.4,97.61,0.0
A040,30/06/2019,11,19.6,19.6,16.0,73,86,73,14.6,14.7,13.7,928.2,928.3,927.8,5.4,86,8.5,751.5,0.0
A040,30/06/2019,12,22.6,22.7,19.6,56,73,56,13.3,14.6,13.2,928.6,928.7,928.2,7.2,88,11.1,1558.,0.0
A040,30/06/2019,13,24.2,24.6,22.5,44,56,44,11.2,13.6,11.1,928.7,928.7,928.6,7.6,93,12.2,2257.,0.0
A040,30/06/2019,14,26.7,26.8,24.1,37,44,37,10.8,12.0,10.6,928.3,928.7,928.3,5.6,98,12.3,2726.,0.0
A040,30/06/2019,15,27.4,27.4,25.9,34,40,33,10.1,11.7,9.2,927.7,928.4,927.7,5.3,96,9.7,2970.,0.0
A040,30/06/2019,16,28.4,29.1,27.0,32,36,31,10.3,11.2,9.5,926.7,927.8,926.5,4.3,89,10.1,2993.,0.0
A040,30/06/2019,17,28.9,29.7,27.6,31,34,29,9.9,10.8,9.6,925.7,926.7,925.7,3.9,78,8.3,2770.,0.0
A040,30/06/2019,18,29.6,29.9,28.4,30,32,28,10.0,10.6,9.1,924.9,925.7,924.9,3.6,94,7.4,2313.,0.0
A040,30/06/2019,19,29.2,29.8,28.8,31,31,29,10.3,10.4,9.4,924.6,924.9,924.5,3.8,91,7.4,1690.,0.0
A040,30/06/2019,20,28.0,29.3,28.0,33,33,31,10.1,10.5,9.8,924.9,924.9,924.6,3.2,95,6.8,947.1,0.0
A040,30/06/2019,21,24.8,28.0,24.8,43,43,33,11.2,11.2,10.0,925.2,925.2,924.9,2.9,116,6.7,216.7,0.0
A040,30/06/2019,22,21.8,24.8,21.6,53,54,43,12.0,12.0,11.2,925.7,925.7,925.2,2.0,122,3.6,-3.54,0.0
A040,30/06/2019,23,19.7,21.8,19.7,60,60,53,11.7,11.9,11.7,926.4,926.4,925.7,2.9,133,3.9,-3.54,0.0
A040,01/07/2019,22,21.3,24.8,21.3,52,52,40,10.9,11.4,10.4,924.9,924.9,924.4,2.0,120,3.6,-3.54,0.0
A040,01/07/2019,18,29.6,30.2,28.8,30,31,29,9.9,10.5,9.6,924.4,925.2,924.4,3.5,137,7.3,2317.,0.0
A040,01/07/2019,10,16.0,16.0,13.2,79,87,79,12.4,12.4,10.9,927.4,927.4,926.5,2.4,94,3.3,97.18,0.0
A040,01/07/2019,09,13.4,14.5,13.4,85,85,82,11.1,11.6,11.1,926.5,926.5,926.2,2.1,88,3.3,-3.54,0.0
A040,01/07/2019,17,29.6,30.2,28.6,30,33,30,10.0,11.0,10.0,925.2,926.3,925.2,3.6,99,8.5,2783.,0.0
A040,01/07/2019,08,14.2,15.7,14.2,82,82,76,11.2,11.8,11.2,926.2,926.2,926.0,2.4,88,3.7,-3.54,0.0
A040,01/07/2019,07,15.6,16.1,14.5,76,78,73,11.3,11.4,10.6,926.0,926.0,925.9,2.3,92,4.5,-3.54,0.0
A040,01/07/2019,21,24.8,28.5,24.8,40,40,31,10.4,10.4,9.2,924.4,924.4,924.1,2.9,122,6.9,223.8,0.0
A040,01/07/2019,16,29.1,29.7,28.0,32,34,31,10.8,11.0,9.9,926.2,927.4,926.2,4.2,72,9.7,2996.,0.0
A040,01/07/2019,06,14.8,16.4,14.8,77,77,71,10.7,11.3,10.7,925.9,926.0,925.9,2.5,93,4.1,-3.54,0.0
A040,01/07/2019,05,15.6,16.0,14.9,74,77,73,10.8,11.3,10.8,925.9,926.4,925.9,2.3,87,3.6,-3.54,0.0
A040,01/07/2019,15,28.8,28.8,27.2,33,40,33,11.0,12.4,10.8,927.4,928.3,927.4,4.5,86,9.3,2971.,0.0
A040,01/07/2019,04,15.0,16.1,14.9,77,78,73,11.0,11.4,10.9,926.4,926.9,926.4,2.4,94,3.5,-3.54,0.0
A040,01/07/2019,03,15.8,17.0,15.1,75,77,70,11.4,11.6,10.9,926.8,927.0,926.8,2.3,94,3.8,-3.54,0.0
A040,01/07/2019,02,16.5,17.3,16.5,72,72,69,11.4,11.7,11.4,927.0,927.0,927.0,2.4,83,2.9,-3.53,0.0
A040,01/07/2019,01,17.4,19.2,17.4,69,69,61,11.5,11.6,11.4,927.0,927.0,926.7,2.2,92,2.6,-3.54,0.0
A040,01/07/2019,20,28.5,29.8,28.4,31,31,29,9.7,10.3,9.3,924.1,924.1,923.9,4.7,133,6.6,961.0,0.0
A040,01/07/2019,14,27.3,27.8,25.7,39,46,38,12.1,13.5,12.0,928.3,928.8,928.3,4.8,85,8.7,2713.,0.0
A040,01/07/2019,13,25.9,25.9,23.6,46,52,46,13.4,13.9,13.0,928.8,928.9,928.7,5.2,92,8.8,2245.,0.0
A040,01/07/2019,00,19.2,19.7,19.1,62,62,60,11.6,11.7,11.5,926.7,926.7,926.4,1.9,115,3.3,-3.54,0.0
A040,01/07/2019,23,21.3,21.6,20.2,55,57,52,11.7,11.8,11.0,925.4,925.4,924.9,0.9,104,2.6,-3.54,0.0
A040,01/07/2019,19,29.8,30.4,29.1,29,31,28,10.1,10.9,9.5,924.0,924.4,924.0,3.1,136,,1696.,0.0
