codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A041,30/06/2019,00,23.0,24.0,22.6,70,76,65,17.2,18.4,16.9,991.3,991.3,990.5,0.8,154,1.6,-3.60,0.0
A041,30/06/2019,01,21.6,23.2,21.5,72,73,65,16.3,17.1,15.7,991.8,991.8,991.3,0.6,222,1.9,-3.60,0.0
A041,30/06/2019,02,20.0,21.7,19.8,77,77,71,15.8,16.7,15.3,991.9,992.0,991.7,0.4,44,1.7,-3.60,0.0
A041,30/06/2019,03,19.8,20.8,19.3,82,83,77,16.5,17.7,15.6,992.0,992.2,991.8,0.3,347,4.0,-3.60,0.0
A041,30/06/2019,04,19.5,20.5,19.5,83,83,78,16.5,17.0,16.3,991.4,992.0,991.4,1.0,212,1.4,-3.60,0.0
A041,30/06/2019,05,18.9,19.5,18.6,86,86,80,16.5,16.6,15.7,991.0,991.4,991.0,0.2,133,1.5,-3.60,0.0
A041,30/06/2019,06,19.3,19.5,17.7,83,88,82,16.4,16.6,15.0,991.0,991.2,990.9,1.9,181,5.2,-3.59,0.0
A041,30/06/2019,07,19.4,20.0,19.3,79,83,78,15.8,16.5,15.7,990.8,991.0,990.8,1.0,199,3.0,-3.56,0.0
A041,30/06/2019,08,19.1,19.5,18.7,86,86,79,16.8,16.8,15.8,990.9,990.9,990.8,0.9,215,1.3,-3.28,0.0
A041,30/06/2019,09,17.7,19.2,17.5,85,88,83,15.1,16.8,15.0,991.6,991.6,990.9,1.2,61,1.7,-3.60,0.0
A041,30/06/2019,10,18.6,18.6,17.4,86,90,85,16.2,16.4,15.0,992.0,992.0,991.6,0.9,208,1.7,32.40,0.0
A041,30/06/2019,11,22.9,22.9,18.6,70,86,68,17.1,17.9,16.1,992.7,992.7,992.0,0.8,138,1.7,501.8,0.0
A041,30/06/2019,12,27.2,27.2,22.9,53,70,53,17.0,17.4,16.5,993.2,993.2,992.7,2.6,98,4.3,1281.,0.0
A041,30/06/2019,13,30.6,30.6,27.2,40,54,40,15.5,17.3,15.1,993.2,993.3,993.1,4.9,84,8.5,1989.,0.0
A041,30/06/2019,14,32.1,32.8,30.4,34,42,33,14.2,16.1,14.1,992.9,993.2,992.9,3.8,87,7.2,2512.,0.0
A041,30/06/2019,15,33.6,33.9,32.2,28,34,28,12.7,14.9,12.3,992.2,992.9,992.2,4.7,99,9.0,2808.,0.0
A041,30/06/2019,16,34.5,34.5,33.0,26,30,24,12.3,13.5,11.1,991.4,992.2,991.4,4.3,88,9.0,2902.,0.0
A041,30/06/2019,17,33.8,34.8,33.4,28,29,23,12.6,13.4,10.5,990.3,991.4,990.3,2.9,106,7.8,2723.,0.0
