codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A043,30/06/2019,00,23.3,24.6,23.3,64,64,59,16.1,16.1,15.9,965.4,965.4,964.7,1.3,160,3.0,-3.54,////
A043,30/06/2019,01,23.1,23.3,22.9,65,66,64,16.1,16.2,16.0,965.8,965.8,965.4,1.0,123,2.4,-3.48,////
A043,30/06/2019,02,22.6,23.1,21.8,67,70,65,16.2,16.3,15.9,965.8,965.9,965.8,1.4,104,3.2,-3.54,////
A043,30/06/2019,03,22.0,22.9,22.0,69,69,65,16.1,16.3,15.9,965.7,965.9,965.7,0.9,128,3.2,-3.54,////
A043,30/06/2019,04,21.2,22.0,21.1,72,73,69,16.0,16.1,15.9,965.5,965.7,965.5,1.1,145,2.0,-3.53,////
A043,30/06/2019,05,20.7,21.3,20.7,74,74,72,15.8,16.0,15.8,965.0,965.5,965.0,1.2,161,2.0,-3.53,////
A043,30/06/2019,06,20.4,20.7,19.6,75,79,74,15.9,16.2,15.6,964.4,965.0,964.3,1.3,166,3.5,-3.53,////
A043,30/06/2019,07,18.9,20.6,18.1,82,84,74,15.7,16.1,14.8,964.5,964.5,964.3,1.1,116,2.0,-3.53,////
A043,30/06/2019,08,19.2,19.6,18.9,80,82,79,15.7,16.1,15.7,965.0,965.0,964.5,1.9,165,3.0,-3.23,////
A043,30/06/2019,09,19.5,19.6,19.0,79,81,79,15.8,15.8,15.6,965.7,965.7,965.0,1.3,155,3.0,-3.51,////
A043,30/06/2019,10,20.2,20.2,18.9,77,82,77,16.1,16.1,15.6,966.1,966.1,965.7,1.6,134,3.3,105.5,////
A043,30/06/2019,11,23.9,24.0,20.2,61,77,61,16.0,16.6,16.0,966.7,966.7,966.1,2.7,119,5.5,756.6,////
A043,30/06/2019,12,27.0,27.0,23.9,48,62,48,15.0,16.4,14.6,967.2,967.2,966.7,3.7,107,7.9,1543.,////
A043,30/06/2019,13,29.1,29.1,26.5,42,49,42,14.8,15.2,14.2,967.0,967.2,967.0,4.3,96,7.8,2210.,////
A043,30/06/2019,14,29.2,30.1,28.1,38,43,36,13.4,14.9,12.8,966.7,967.0,966.7,4.7,119,9.4,2683.,////
A043,30/06/2019,15,30.5,31.0,29.0,35,39,34,13.2,14.2,13.0,965.9,966.7,965.9,3.9,113,8.8,2941.,////
A043,30/06/2019,16,31.4,31.8,30.3,34,36,33,13.8,14.2,12.9,964.9,965.9,964.9,3.9,114,8.7,2983.,////
A043,30/06/2019,17,32.6,32.6,30.8,33,34,32,14.3,14.5,12.9,963.8,964.9,963.8,3.6,110,8.2,2960.,////
A043,30/06/2019,18,32.1,33.2,30.4,33,36,32,13.8,14.9,12.8,963.4,963.8,963.4,3.7,78,7.0,1949.,////
A043,30/06/2019,19,31.2,32.8,30.6,33,35,31,13.1,14.1,12.7,963.0,963.4,963.0,2.5,99,6.5,1738.,////
A043,30/06/2019,20,30.9,31.9,30.9,34,34,32,13.3,13.8,12.7,963.2,963.2,963.0,2.6,82,6.7,1007.,////
A043,30/06/2019,21,28.3,31.0,28.3,43,43,33,14.5,14.5,12.9,963.5,963.5,963.2,1.6,108,4.1,261.3,////
A043,30/06/2019,22,26.7,28.3,26.3,49,50,43,15.0,15.2,14.4,964.0,964.0,963.5,1.4,133,2.8,-3.37,////
A043,30/06/2019,23,25.1,26.7,25.1,55,55,49,15.6,15.6,14.9,964.7,964.7,964.0,1.2,157,2.6,-3.54,////
A043,01/07/2019,10,21.4,21.4,19.7,72,80,72,16.0,16.2,15.9,966.1,966.1,965.3,1.4,157,2.5,91.93,0.0
A043,01/07/2019,09,19.7,21.2,19.4,80,80,72,16.2,16.2,15.7,965.3,965.3,964.6,0.9,162,1.8,-3.52,0.0
A043,01/07/2019,18,32.6,33.3,31.4,31,34,31,13.5,14.3,12.6,962.8,963.6,962.8,2.9,122,6.4,2275.,0.0
A043,01/07/2019,23,25.9,27.3,25.8,53,53,47,15.5,15.5,14.9,964.1,964.1,963.4,1.2,110,2.2,-3.54,0.0
A043,01/07/2019,22,27.3,28.6,27.3,47,47,41,14.9,15.1,14.3,963.4,963.4,962.7,1.4,98,2.3,-3.40,0.0
A043,01/07/2019,17,32.2,33.0,30.9,33,35,32,13.7,15.0,13.4,963.6,964.7,963.5,3.0,124,8.7,2865.,0.0
A043,01/07/2019,08,20.9,21.0,20.4,74,77,73,16.1,16.3,15.9,964.6,964.6,964.3,1.4,169,1.8,-3.34,0.0
A043,01/07/2019,07,20.9,22.3,20.7,74,76,68,16.0,16.3,15.9,964.4,964.4,964.2,1.0,198,2.5,-3.54,0.0
A043,01/07/2019,21,28.6,31.3,28.6,41,41,33,14.3,14.3,13.1,962.7,962.7,962.5,1.4,100,5.4,253.7,0.0
A043,01/07/2019,16,31.9,32.1,30.5,34,37,32,13.9,14.6,12.8,964.7,965.9,964.7,3.7,105,9.0,2977.,0.0
A043,01/07/2019,06,22.3,23.0,22.1,69,70,66,16.2,16.4,16.2,964.2,964.6,964.2,1.8,148,2.8,-3.33,0.0
A043,01/07/2019,05,23.1,23.2,22.1,66,70,65,16.4,16.6,16.2,964.6,965.1,964.6,1.2,144,2.5,-3.00,0.0
A043,01/07/2019,15,31.5,31.7,29.6,35,42,35,14.2,16.0,13.9,965.9,966.9,965.8,3.8,98,8.8,2944.,0.0
A043,01/07/2019,04,22.8,23.2,21.6,67,72,65,16.4,16.6,16.1,965.1,965.4,965.1,1.5,112,2.5,-3.53,0.0
A043,01/07/2019,03,23.0,24.3,22.8,65,66,60,16.2,16.3,16.0,965.4,965.5,965.3,1.2,216,2.3,-3.54,0.0
A043,01/07/2019,20,31.2,32.4,31.2,34,34,31,13.4,14.0,12.9,962.5,962.5,962.4,2.6,119,6.3,1042.,0.0
A043,01/07/2019,14,29.9,30.2,28.0,41,46,40,15.1,16.2,15.0,966.9,967.5,966.9,4.4,100,8.8,2676.,0.0
A043,01/07/2019,02,24.3,25.3,24.3,60,60,56,16.1,16.1,15.7,965.5,965.6,965.4,1.0,224,3.4,-3.23,0.0
A043,01/07/2019,01,25.2,25.8,25.2,57,57,52,16.1,16.2,15.2,965.5,965.5,965.2,1.5,178,2.4,-1.98,0.0
A043,01/07/2019,13,29.3,29.3,27.1,45,49,45,16.1,16.3,15.2,967.4,967.5,967.3,3.5,101,8.9,2208.,0.0
A043,01/07/2019,00,25.3,25.7,24.9,55,57,53,15.6,15.9,15.3,965.2,965.2,964.7,1.1,164,2.5,-2.59,0.0
A043,01/07/2019,19,32.2,33.1,30.8,31,34,30,13.0,14.0,12.8,962.5,962.8,962.5,2.7,90,6.4,1580.,0.0
A043,01/07/2019,12,27.3,27.4,25.8,49,56,48,15.7,16.6,15.2,967.4,967.4,966.8,4.0,108,9.0,1541.,0.0
A043,01/07/2019,11,25.8,25.8,21.3,55,72,55,16.2,17.8,16.0,966.8,966.8,966.0,2.3,124,5.1,731.8,0.0
A043,02/07/2019,18,32.5,33.3,32.2,27,27,24,10.8,11.2,9.5,961.0,961.5,961.0,2.5,119,7.0,2351.,0.0
A043,02/07/2019,17,32.8,33.4,31.6,26,30,25,10.9,13.1,10.2,961.5,962.5,961.5,2.7,98,7.3,2700.,0.0
A043,02/07/2019,16,32.5,32.9,31.2,29,34,26,12.3,14.0,10.9,962.5,963.5,962.5,3.8,67,8.6,2825.,0.0
A043,02/07/2019,15,31.6,32.1,30.4,33,36,32,13.5,14.2,12.7,963.5,964.3,963.5,4.2,71,8.6,2906.,0.0
A043,02/07/2019,14,30.6,30.9,28.7,35,42,34,13.5,14.9,13.0,964.3,964.9,964.3,4.1,78,8.6,2684.,0.0
A043,02/07/2019,13,28.7,29.6,27.5,41,45,40,14.0,15.0,14.0,964.9,965.1,964.9,4.2,77,8.6,2205.,0.0
A043,02/07/2019,12,27.6,27.6,22.9,45,69,44,14.4,16.9,13.4,965.0,965.0,964.7,3.1,88,5.6,1539.,0.0
A043,02/07/2019,11,22.9,22.9,20.4,69,74,66,16.9,17.0,15.5,964.8,964.8,964.0,1.4,168,2.9,755.8,0.0
A043,02/07/2019,10,20.4,20.4,18.1,74,84,74,15.5,15.7,15.2,964.0,964.0,963.5,1.4,147,2.5,105.7,0.0
A043,02/07/2019,09,18.1,20.5,17.5,84,87,73,15.4,16.0,14.2,963.5,963.5,962.9,1.3,152,2.2,-3.54,0.0
A043,02/07/2019,08,20.2,20.8,20.0,73,75,71,15.3,15.4,15.2,962.9,963.0,962.9,1.4,159,2.4,-3.53,0.0
A043,02/07/2019,07,20.7,21.0,19.4,71,80,70,15.3,15.9,15.2,962.9,963.1,962.9,1.4,137,8.0,-3.54,0.0
A043,02/07/2019,06,19.3,21.1,18.8,80,81,71,15.8,15.9,15.2,963.0,963.2,962.7,2.0,141,8.0,-3.41,0.0
A043,02/07/2019,05,20.9,21.2,19.8,73,78,70,15.8,16.1,15.4,963.1,963.8,963.1,1.1,189,2.0,-3.52,0.0
A043,02/07/2019,04,21.1,21.8,20.5,71,74,68,15.5,15.8,15.5,963.8,964.4,963.8,1.0,223,2.1,-3.54,0.0
A043,02/07/2019,03,21.8,23.6,21.8,68,68,61,15.6,15.7,15.2,964.4,964.7,964.3,1.5,220,2.7,-3.54,0.0
A043,02/07/2019,02,23.4,23.4,22.5,62,66,62,15.6,15.9,15.6,964.7,964.8,964.6,1.7,183,2.8,-3.51,0.0
A043,02/07/2019,01,22.8,24.2,22.8,64,64,59,15.7,16.0,15.6,964.8,964.8,964.5,1.8,171,2.8,-3.53,0.0
A043,02/07/2019,00,23.7,25.9,23.7,62,62,53,16.0,16.0,15.5,964.5,964.5,964.1,0.9,163,2.5,-3.54,0.0
A043,02/07/2019,23,25.6,27.8,24.8,45,49,37,12.9,13.3,11.7,962.5,962.5,961.8,1.1,156,2.1,-3.54,0.0
A043,02/07/2019,22,27.4,29.4,27.2,38,40,34,11.9,12.8,11.6,961.8,961.8,961.4,1.1,151,1.8,-3.46,0.0
A043,02/07/2019,21,29.5,32.0,29.5,34,34,27,11.8,11.9,10.7,961.4,961.4,961.0,1.0,114,3.4,249.5,0.0
A043,02/07/2019,20,32.0,32.7,32.0,27,28,26,10.9,11.5,10.4,961.0,961.0,960.9,1.4,102,5.7,1008.,0.0
A043,02/07/2019,19,32.5,33.1,32.0,27,27,25,11.0,11.4,10.2,960.9,961.0,960.9,2.9,101,6.8,1823.,0.0
A043,03/07/2019,10,20.1,20.1,19.7,68,69,65,13.9,13.9,13.4,963.5,963.5,963.1,1.3,176,2.4,55.98,0.0
A043,03/07/2019,09,19.9,20.0,19.2,66,72,66,13.4,14.0,13.4,963.1,963.1,962.8,1.8,171,2.5,-3.25,0.0
A043,03/07/2019,08,19.2,20.2,19.2,72,72,66,14.0,14.1,13.7,962.8,962.8,962.3,1.7,164,2.5,-3.53,0.0
A043,03/07/2019,07,20.1,21.1,19.9,68,70,62,14.0,14.4,13.7,962.3,962.4,962.1,0.7,132,1.5,-3.50,0.0
A043,03/07/2019,06,21.1,21.4,20.9,62,64,60,13.6,13.9,13.3,962.3,962.6,962.3,1.0,313,2.1,-3.38,0.0
A043,03/07/2019,05,21.4,22.4,20.8,61,64,55,13.6,13.8,12.6,962.6,963.1,962.6,1.6,342,2.9,-3.08,0.0
A043,03/07/2019,04,21.0,21.9,20.4,61,68,57,13.2,14.4,12.9,963.1,963.5,963.1,0.7,14,2.1,-3.34,0.0
A043,03/07/2019,03,20.9,21.7,18.2,64,78,59,13.8,15.1,13.2,963.5,963.8,963.3,1.6,332,8.0,-3.47,0.0
A043,03/07/2019,02,21.3,22.8,20.8,61,67,57,13.5,14.3,13.4,963.4,963.4,963.2,1.3,171,2.5,-3.54,0.0
A043,03/07/2019,01,22.4,23.4,21.6,57,60,53,13.5,14.2,13.3,963.2,963.2,962.9,1.6,182,2.3,-3.54,0.0
A043,03/07/2019,00,23.3,25.6,23.3,55,55,45,13.6,13.7,12.5,962.9,962.9,962.5,0.6,119,1.5,-3.54,0.0
A043,03/07/2019,23,25.5,26.7,25.5,55,55,50,15.7,16.0,15.3,963.5,963.5,962.9,1.3,350,2.2,-3.54,0.0
A043,03/07/2019,22,26.6,28.2,26.6,50,50,45,15.4,15.4,14.9,962.9,962.9,962.4,1.7,345,2.8,-3.33,0.0
A043,03/07/2019,21,28.2,30.8,28.2,45,45,37,15.0,15.1,14.4,962.4,962.4,962.1,2.3,1,4.7,134.6,0.0
A043,03/07/2019,20,30.8,33.3,30.7,38,39,30,14.7,15.2,13.0,962.1,962.1,961.8,2.6,19,5.1,978.6,0.0
A043,03/07/2019,19,33.4,33.4,31.2,31,35,31,13.9,14.6,13.4,961.9,961.9,961.8,1.5,339,5.0,1401.,0.0
A043,03/07/2019,18,32.8,33.6,31.8,32,34,29,13.7,14.7,12.6,961.9,962.5,961.9,1.9,80,5.9,2355.,0.0
A043,03/07/2019,17,32.5,33.4,31.4,32,34,31,13.6,14.9,12.8,962.5,963.3,962.5,3.1,62,6.1,2766.,0.0
A043,03/07/2019,16,32.6,33.0,31.0,34,37,33,14.6,15.2,13.8,963.3,964.1,963.3,3.0,73,8.3,2870.,0.0
A043,03/07/2019,15,32.0,32.1,30.4,35,41,34,14.5,15.9,14.1,964.1,964.6,964.1,4.9,57,8.3,2876.,0.0
A043,03/07/2019,14,30.4,31.2,29.6,41,43,39,15.8,16.8,15.2,964.6,964.7,964.6,4.9,62,7.4,2780.,0.0
A043,03/07/2019,13,30.7,30.7,27.0,43,50,42,16.8,16.8,15.5,964.6,964.7,964.5,2.4,64,5.3,2302.,0.0
A043,03/07/2019,12,27.1,27.1,22.0,50,65,50,15.7,16.4,14.9,964.7,964.7,964.3,1.4,81,2.5,1191.,0.0
A043,03/07/2019,11,22.0,22.1,20.1,64,69,63,14.9,15.1,13.9,964.3,964.3,963.5,1.0,155,2.3,414.9,0.0
A043,04/07/2019,23,26.2,26.9,26.0,60,61,56,17.9,17.9,17.5,963.6,963.6,963.1,1.2,153,3.0,-3.54,0.0
A043,04/07/2019,22,26.9,29.2,26.9,56,56,48,17.5,17.5,17.1,963.3,963.3,963.1,1.7,168,3.4,-3.30,0.0
A043,04/07/2019,21,29.2,32.2,29.2,48,48,36,17.2,17.3,15.3,963.1,963.2,962.7,1.0,168,4.9,155.5,0.0
A043,04/07/2019,20,32.2,33.3,32.1,36,36,33,15.2,15.5,14.4,962.7,962.7,962.5,2.0,113,7.7,1069.,0.0
A043,04/07/2019,19,33.1,34.0,32.1,33,35,30,14.8,15.2,13.9,962.6,962.7,962.6,2.2,74,6.0,1617.,0.0
A043,04/07/2019,18,33.1,33.7,31.3,33,39,32,14.6,16.4,14.0,962.7,963.1,962.7,2.1,127,5.6,1911.,0.0
A043,04/07/2019,17,32.0,33.8,30.0,39,47,33,16.3,18.1,15.8,963.1,964.4,963.1,1.9,177,7.2,2208.,0.0
A043,04/07/2019,16,33.8,33.9,32.4,34,38,32,15.6,16.5,14.0,964.4,964.9,964.4,2.2,144,6.9,3156.,0.0
A043,04/07/2019,15,33.2,33.2,30.9,37,45,35,16.6,18.1,15.1,964.9,965.8,964.9,2.2,117,6.4,3229.,0.0
A043,04/07/2019,14,31.3,31.8,29.8,40,51,40,16.2,18.9,16.2,965.8,966.1,965.8,2.6,67,5.5,2264.,0.0
A043,04/07/2019,13,30.2,30.4,27.5,50,62,50,18.6,20.0,18.4,966.1,966.2,966.0,1.1,345,3.0,1890.,0.0
A043,04/07/2019,12,27.5,27.6,24.4,60,73,60,19.1,19.7,19.0,966.0,966.0,965.4,0.5,37,1.3,831.5,0.0
A043,04/07/2019,11,24.5,24.5,21.4,74,81,73,19.4,19.4,18.0,965.4,965.4,964.5,0.7,162,2.1,704.6,0.0
A043,04/07/2019,10,21.4,21.4,19.3,81,86,81,18.0,18.1,16.7,964.5,964.5,964.2,1.2,196,2.5,100.1,0.0
A043,04/07/2019,09,19.7,20.5,19.3,85,86,81,17.2,17.2,16.6,964.2,964.2,963.7,1.1,153,1.8,-3.52,0.0
A043,04/07/2019,08,20.4,21.5,20.3,81,82,77,17.1,17.4,17.0,963.7,963.7,963.4,0.9,139,2.0,-3.53,0.0
A043,04/07/2019,07,21.5,21.7,21.0,77,78,75,17.3,17.4,17.0,963.4,963.4,963.2,1.5,281,3.0,-3.54,0.0
A043,04/07/2019,06,21.7,22.1,21.6,75,76,74,17.1,17.3,16.9,963.2,963.5,963.2,2.0,310,2.7,-3.53,0.0
A043,04/07/2019,05,21.8,22.1,21.5,74,75,72,17.0,17.0,16.6,963.5,964.0,963.5,0.8,358,1.2,-3.38,0.0
A043,04/07/2019,04,22.0,22.8,22.0,73,73,69,16.9,17.2,16.5,964.0,964.3,964.0,0.3,14,2.4,-3.19,0.0
A043,04/07/2019,03,22.4,22.5,21.7,72,74,71,17.1,17.2,16.5,964.3,964.4,964.3,0.9,6,1.7,-3.53,0.0
A043,04/07/2019,02,22.5,23.8,22.5,70,70,62,16.9,16.9,15.9,964.3,964.3,964.0,0.5,113,1.6,-3.53,0.0
A043,04/07/2019,01,23.8,25.6,23.8,62,62,54,15.9,16.0,15.4,964.0,964.1,964.0,1.2,25,1.8,-3.54,0.0
A043,04/07/2019,00,25.6,25.7,25.1,54,57,53,15.5,16.2,15.3,964.0,964.0,963.5,1.3,351,2.1,-3.54,0.0
A043,05/07/2019,23,24.4,25.5,24.4,81,81,74,21.0,21.8,20.1,965.9,965.9,965.4,0.7,74,3.0,-0.87,0.0
A043,05/07/2019,22,25.2,26.1,25.0,81,83,78,21.6,22.2,21.5,965.4,965.5,965.1,1.3,195,3.6,-0.77,0.0
A043,05/07/2019,21,26.1,28.6,26.0,79,79,62,22.1,22.8,20.8,965.3,965.3,964.9,1.6,215,2.9,231.0,0.0
A043,05/07/2019,20,27.2,27.7,26.5,73,80,67,21.9,22.9,20.9,965.2,965.2,965.0,1.4,226,4.3,623.9,0.0
A043,05/07/2019,19,26.4,27.5,23.3,80,81,63,22.7,22.8,17.6,965.0,966.0,965.0,1.4,201,17.9,590.7,0.2
A043,05/07/2019,18,27.4,27.4,25.8,70,82,69,21.4,22.8,20.9,965.5,965.6,965.1,2.3,238,6.7,1131.,0.0
A043,05/07/2019,17,26.2,32.7,21.6,76,87,40,21.5,22.4,16.9,965.5,966.9,965.5,2.3,259,15.7,830.6,0.0
A043,05/07/2019,16,32.4,34.1,30.4,41,48,37,17.4,19.1,16.9,966.1,966.9,966.1,3.7,307,8.0,2496.,0.0
A043,05/07/2019,15,33.9,34.0,31.3,37,45,36,17.2,18.7,16.4,966.9,967.4,966.9,1.3,337,5.0,2707.,0.0
A043,05/07/2019,14,31.8,33.0,30.7,45,51,43,18.3,19.8,17.9,967.4,967.9,967.4,2.1,348,4.1,2458.,0.0
A043,05/07/2019,13,30.7,30.9,28.2,51,59,50,19.2,20.1,19.0,967.9,968.0,967.9,2.5,335,4.5,2104.,0.0
A043,05/07/2019,12,28.3,28.5,25.5,58,68,57,19.2,19.5,18.7,968.0,968.0,967.6,1.7,307,3.1,1467.,0.0
A043,05/07/2019,11,25.5,25.5,21.5,68,80,68,19.1,19.4,17.7,967.6,967.6,966.7,0.6,242,1.4,708.6,0.0
