codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A044,30/06/2019,22,28.9,31.1,28.9,53,53,45,18.3,18.4,17.6,995.7,995.7,995.3,1.3,70,2.5,-0.61,0.0
A044,30/06/2019,21,31.1,32.7,31.1,44,44,39,17.6,17.6,16.7,995.4,995.4,995.0,1.2,86,4.0,233.1,0.0
A044,30/06/2019,01,26.1,27.1,26.0,60,60,56,17.8,17.9,17.4,997.4,997.4,996.8,1.1,94,3.0,-3.53,0.0
A044,30/06/2019,02,25.1,26.1,25.1,64,64,60,17.8,17.9,17.7,997.8,997.8,997.4,1.3,94,2.0,-3.53,0.0
A044,30/06/2019,03,23.2,25.2,23.2,74,74,64,18.2,18.2,17.8,997.8,997.9,997.8,0.2,298,1.9,-3.54,0.0
A044,30/06/2019,12,28.6,,,53,,,18.1,,,998.6,,,2.0,134,,751.2,0.0
A044,30/06/2019,13,31.5,32.1,28.5,38,54,38,15.6,18.5,15.6,998.5,998.6,998.5,3.5,120,8.0,2096.,0.0
A044,30/06/2019,14,32.7,32.9,31.1,38,40,37,16.4,16.8,15.6,998.3,998.5,998.3,4.1,113,9.6,2678.,0.0
A044,30/06/2019,15,33.2,33.6,32.1,38,39,37,17.1,17.1,15.9,997.4,998.3,997.4,3.6,115,9.5,2944.,0.0
A044,30/06/2019,16,32.3,34.1,32.2,40,40,36,17.0,17.5,16.6,996.6,997.4,996.6,3.2,106,7.5,2617.,0.0
A044,30/06/2019,17,33.8,34.7,32.3,36,40,34,16.7,17.1,16.1,995.7,996.6,995.7,3.5,89,7.8,2559.,0.0
A044,30/06/2019,18,33.7,35.5,32.9,36,38,33,16.4,17.0,15.5,995.0,995.7,995.0,3.5,94,9.0,2019.,0.0
A044,30/06/2019,20,32.0,34.4,32.0,40,40,35,16.7,17.2,16.0,995.0,995.0,994.8,1.8,102,5.9,779.7,0.0
A044,30/06/2019,19,34.1,34.9,32.8,36,39,33,16.8,16.9,15.7,994.8,995.0,994.6,2.5,116,6.4,1542.,0.0
A044,30/06/2019,00,27.1,28.0,27.1,57,57,52,17.8,17.8,17.2,996.8,996.8,996.1,1.1,95,1.9,-3.54,0.0
A044,30/06/2019,23,27.5,29.0,27.5,58,58,53,18.5,18.6,18.3,996.4,996.4,995.7,1.2,82,2.6,-3.54,0.0
A044,01/07/2019,12,27.9,,,60,,,19.5,,,998.6,,,1.5,202,,714.4,0.0
A044,01/07/2019,13,30.7,31.7,27.9,50,60,47,19.0,19.9,18.7,998.8,998.8,998.6,2.1,131,4.1,2127.,0.0
A044,01/07/2019,14,32.4,32.7,30.7,44,50,42,18.5,19.4,17.7,998.3,998.9,998.3,2.5,91,7.0,2643.,0.0
A044,01/07/2019,15,34.0,34.7,32.4,37,44,35,17.2,18.7,16.4,997.5,998.3,997.5,2.4,147,6.9,2859.,0.0
