codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A048,13/10/2019,21,26.7,28.4,26.7,86,86,78,24.3,24.5,24.1,986.0,986.0,985.8,2.2,272,4.1,212.5,0.0
A048,13/10/2019,17,28.0,28.3,27.2,76,80,74,23.5,24.2,23.1,987.0,987.9,987.0,4.1,275,5.2,1705.,0.0
A048,13/10/2019,18,28.7,28.8,27.9,76,80,75,24.0,24.5,23.6,986.3,987.0,986.3,3.9,290,5.8,1427.,0.0
A048,13/10/2019,19,28.9,29.4,28.5,75,79,73,24.1,24.6,23.7,985.9,986.3,985.9,3.3,282,5.9,1468.,0.0
A048,13/10/2019,20,28.4,29.2,28.3,79,80,74,24.4,24.8,23.9,985.9,986.0,985.7,2.8,281,5.7,1021.,0.0
A048,13/10/2019,22,25.8,26.7,25.8,91,91,86,24.2,24.3,24.1,986.4,986.4,986.0,1.3,275,3.1,-1.35,0.0
A048,13/10/2019,23,24.9,25.8,24.9,95,95,91,24.0,24.1,23.8,986.2,986.4,986.1,0.6,260,2.6,-3.60,0.0
A048,13/10/2019,14,25.7,,,86,,,23.1,,,990.0,,,2.3,312,,662.0,0.4
A048,13/10/2019,15,26.2,26.5,25.7,83,86,81,23.1,23.7,22.4,989.2,990.0,989.2,2.2,293,4.0,1216.,0.0
A048,13/10/2019,16,27.3,27.4,26.2,79,85,77,23.3,23.9,22.8,987.9,989.2,987.9,2.5,299,4.3,1808.,0.0
A048,14/10/2019,05,22.7,23.0,22.6,99,99,99,22.5,22.7,22.4,985.8,986.4,985.8,0.8,109,3.1,-3.33,0.0
A048,14/10/2019,21,23.7,25.3,23.7,91,91,79,22.2,22.4,21.4,986.2,986.3,986.0,2.1,189,3.5,117.5,0.0
A048,14/10/2019,07,22.6,22.6,22.3,99,99,99,22.4,22.5,22.1,986.4,986.4,986.0,0.5,23,2.9,-1.74,0.0
A048,14/10/2019,08,22.0,22.6,21.9,99,99,99,21.8,22.4,21.7,986.8,986.8,986.3,1.7,205,2.1,-2.25,0.0
A048,14/10/2019,09,21.8,22.0,21.8,99,99,99,21.6,21.9,21.6,987.6,987.6,986.8,1.4,179,2.6,1.142,0.0
A048,14/10/2019,10,22.6,22.6,21.8,99,99,99,22.4,22.4,21.6,988.2,988.2,987.6,1.7,169,2.5,248.2,0.0
A048,14/10/2019,11,24.5,24.5,22.6,97,99,97,24.0,24.3,22.4,989.0,989.0,988.2,2.0,167,3.3,967.7,0.2
A048,14/10/2019,12,26.5,26.5,24.4,85,98,84,23.8,24.6,23.6,989.7,989.7,989.0,0.7,289,3.3,1228.,0.0
A048,14/10/2019,13,28.8,28.8,26.5,73,85,71,23.4,24.2,22.6,989.7,989.8,989.7,1.4,332,2.5,1973.,0.0
A048,14/10/2019,14,29.5,30.4,28.7,71,73,66,23.6,24.0,22.7,989.6,989.7,989.6,4.6,307,7.1,2462.,0.0
A048,14/10/2019,15,30.9,30.9,28.6,66,73,66,23.8,24.2,22.8,988.9,989.6,988.8,5.2,299,7.2,2178.,0.0
A048,14/10/2019,16,31.1,31.7,30.0,64,69,63,23.6,24.5,23.3,987.4,988.9,987.4,5.3,303,7.7,2638.,0.0
A048,14/10/2019,17,32.1,32.1,30.8,60,67,60,23.3,24.5,23.0,986.3,987.4,986.3,3.7,309,7.7,2686.,0.0
A048,14/10/2019,18,32.4,33.1,32.0,61,63,55,23.9,24.3,22.3,985.9,986.3,985.8,3.1,355,6.5,2673.,0.0
A048,14/10/2019,06,22.4,22.8,22.4,99,99,99,22.2,22.6,22.2,986.0,986.1,985.7,1.8,4,2.9,-3.07,0.0
A048,14/10/2019,19,24.4,32.4,24.3,84,84,57,21.5,22.4,20.6,985.7,986.7,985.7,3.9,189,14.9,320.7,0.0
A048,14/10/2019,20,25.3,25.3,24.4,80,85,80,21.6,22.2,21.4,986.1,986.1,985.6,2.3,191,5.5,197.9,0.0
A048,14/10/2019,22,23.6,23.7,23.5,91,93,90,22.1,22.3,22.0,987.2,987.2,986.2,1.9,183,3.6,-1.87,0.0
A048,14/10/2019,00,24.4,24.9,24.4,95,96,94,23.5,24.1,23.5,986.7,986.7,986.2,2.2,221,2.8,-3.60,0.0
A048,14/10/2019,01,24.0,24.6,24.0,96,96,95,23.3,23.7,23.3,987.1,987.2,986.7,0.5,340,2.8,-3.60,0.0
A048,14/10/2019,02,23.6,24.2,23.6,97,98,96,23.1,23.7,23.0,987.3,987.4,987.1,1.5,248,2.0,-3.58,0.0
A048,14/10/2019,23,23.9,23.9,23.5,91,93,90,22.3,22.4,22.1,987.6,987.6,987.2,1.8,181,3.6,-3.35,0.0
A048,14/10/2019,03,23.3,23.8,23.2,98,98,96,22.9,23.3,22.7,986.9,987.3,986.9,1.0,159,2.0,-3.56,0.0
A048,14/10/2019,04,23.0,23.3,22.7,99,99,98,22.7,22.9,22.5,986.4,986.9,986.4,2.3,160,3.1,-3.41,0.0
A048,15/10/2019,22,23.3,23.4,22.8,93,98,92,22.0,22.8,22.0,986.7,987.0,986.7,1.3,26,5.8,-1.20,0.4
A048,15/10/2019,01,23.2,23.7,23.2,95,95,93,22.4,22.5,22.2,988.6,988.6,988.0,,,,-3.60,0.0
A048,15/10/2019,23,22.9,23.4,22.9,95,96,92,22.1,22.4,21.9,987.5,987.5,986.6,3.2,202,4.3,-2.12,0.0
A048,15/10/2019,06,21.8,22.5,21.8,98,98,97,21.4,22.1,21.4,986.7,987.0,986.6,0.7,94,1.8,-3.41,0.0
A048,15/10/2019,02,23.0,23.3,22.9,96,96,95,22.4,22.6,22.2,987.9,988.6,987.9,,,,-3.60,0.0
A048,15/10/2019,03,22.7,23.0,22.5,97,97,96,22.2,22.3,21.9,987.8,988.0,987.7,,,,-3.59,0.0
A048,15/10/2019,07,21.8,21.9,21.5,98,98,98,21.5,21.7,21.3,986.7,986.8,986.6,2.6,172,3.1,-3.55,0.0
A048,15/10/2019,04,22.6,22.7,22.5,97,97,97,22.1,22.2,22.0,987.5,987.8,987.5,,,,-3.47,0.0
A048,15/10/2019,05,22.3,22.8,22.2,98,98,96,21.9,22.2,21.6,987.0,987.5,987.0,0.9,134,,-3.55,0.0
A048,15/10/2019,08,21.8,21.8,21.6,98,98,98,21.5,21.5,21.3,987.1,987.1,986.7,1.9,155,3.1,-3.02,0.0
A048,15/10/2019,09,21.6,21.8,21.6,98,98,98,21.3,21.6,21.3,988.1,988.1,987.1,2.1,148,3.1,1.766,0.0
A048,15/10/2019,10,23.0,23.0,21.6,96,98,96,22.3,22.4,21.3,988.9,988.9,988.1,0.8,64,2.9,263.4,0.0
A048,15/10/2019,11,24.3,24.4,22.9,93,96,92,23.1,23.2,22.1,990.2,990.2,988.9,2.0,20,2.9,866.8,0.0
A048,15/10/2019,12,27.4,27.4,24.3,78,94,77,23.2,23.4,22.4,990.5,990.5,990.2,,,2.8,1613.,0.0
A048,15/10/2019,13,27.3,27.7,26.7,77,79,75,22.8,23.3,22.3,990.8,990.8,990.5,1.4,237,3.3,1458.,0.0
A048,15/10/2019,14,29.4,29.7,27.3,70,79,67,23.5,23.9,22.5,990.8,991.0,990.6,3.1,340,5.6,2631.,0.0
A048,15/10/2019,21,22.8,22.9,21.9,98,98,97,22.4,22.5,21.5,987.0,988.7,986.7,2.2,282,11.2,1.307,4.8
A048,15/10/2019,15,30.0,30.4,28.7,68,74,68,23.5,24.3,22.9,989.7,990.8,989.7,3.2,5,6.1,2798.,0.0
A048,15/10/2019,16,30.8,31.5,29.9,65,73,62,23.4,25.0,22.8,988.5,989.7,988.5,2.2,6,6.4,3676.,0.0
A048,15/10/2019,17,32.6,32.6,30.8,58,65,55,23.4,24.1,21.9,987.1,988.5,987.1,1.9,8,5.5,3412.,0.0
A048,15/10/2019,18,32.3,33.5,32.0,56,60,53,22.3,23.6,22.1,986.1,987.1,986.1,1.9,336,6.7,2682.,0.0
A048,15/10/2019,00,23.5,24.0,23.5,93,93,90,22.3,22.4,22.2,988.0,988.0,987.6,2.4,144,3.4,-3.59,0.0
A048,15/10/2019,19,32.5,33.3,32.3,56,59,53,22.6,23.5,22.3,986.0,986.1,985.7,2.3,129,6.0,1789.,0.0
A048,15/10/2019,20,22.0,32.5,21.8,98,98,55,21.6,23.7,20.9,988.6,988.6,985.7,6.8,42,20.8,299.5,27.6
A048,16/10/2019,11,23.4,23.4,22.8,90,94,89,21.7,22.1,21.4,990.8,990.8,989.2,1.2,63,3.8,578.7,0.0
A048,16/10/2019,12,25.8,25.8,23.4,85,92,81,23.0,23.0,21.4,991.1,991.1,990.8,1.2,351,2.8,1696.,0.2
A048,16/10/2019,21,24.0,24.8,24.0,88,89,82,21.8,22.5,21.6,987.3,987.4,987.1,1.5,220,2.8,185.3,0.0
A048,16/10/2019,13,26.6,26.8,25.5,82,85,79,23.3,23.7,22.1,991.5,991.6,991.1,3.6,15,6.8,1711.,0.0
A048,16/10/2019,14,28.9,29.1,26.6,75,84,71,24.1,24.2,22.6,991.2,991.5,991.1,4.5,35,6.5,2294.,0.0
A048,16/10/2019,15,29.5,29.7,28.3,69,76,68,23.2,24.1,22.8,990.5,991.2,990.5,1.7,47,6.5,1760.,0.0
A048,16/10/2019,16,23.2,29.5,22.5,91,94,67,21.6,23.3,20.4,990.5,991.3,990.5,5.0,149,13.2,489.8,4.0
A048,16/10/2019,17,23.4,23.6,23.1,90,91,86,21.6,21.9,20.9,989.1,990.5,989.1,0.7,88,7.2,413.3,1.0
A048,16/10/2019,18,24.9,24.9,23.4,80,90,79,21.2,22.5,20.8,988.0,989.1,988.0,2.3,190,4.6,1176.,0.0
A048,16/10/2019,19,25.7,25.9,24.8,79,83,73,21.7,21.8,20.6,987.6,988.1,987.6,1.5,29,3.9,1399.,0.0
A048,16/10/2019,20,24.8,25.7,24.8,84,84,75,21.8,21.9,20.5,987.2,987.6,986.8,1.9,192,5.3,476.5,0.0
A048,16/10/2019,00,22.0,22.9,22.0,94,96,93,21.0,22.1,20.9,988.6,988.6,987.5,1.8,162,5.7,-2.50,0.0
A048,16/10/2019,22,22.7,24.0,22.7,90,91,87,21.0,21.9,21.0,987.3,987.5,987.2,2.4,193,3.3,-0.91,0.0
A048,16/10/2019,23,22.3,22.7,22.1,94,94,90,21.2,21.3,20.8,988.2,988.2,987.3,2.0,194,3.3,-3.60,0.0
A048,16/10/2019,01,22.4,22.4,21.9,95,95,93,21.5,21.5,20.8,988.2,988.6,988.2,2.0,149,4.3,-2.56,0.0
A048,16/10/2019,02,22.2,22.4,22.1,97,97,95,21.6,21.7,21.5,987.8,988.3,987.8,1.0,154,2.8,-3.36,0.0
A048,16/10/2019,07,21.7,21.9,21.6,98,98,98,21.4,21.6,21.4,987.6,987.9,987.6,1.6,300,2.0,-2.87,0.0
A048,16/10/2019,03,21.9,22.3,21.9,97,97,96,21.4,21.7,21.4,988.2,988.2,987.8,1.2,325,1.9,-3.47,0.0
A048,16/10/2019,04,21.8,22.0,21.8,97,98,97,21.3,21.6,21.3,987.8,988.2,987.8,2.3,20,4.2,-2.75,0.0
A048,16/10/2019,05,21.8,21.8,21.7,98,98,97,21.4,21.4,21.3,988.1,988.2,987.8,0.4,237,4.2,-3.40,0.0
A048,16/10/2019,06,21.6,21.8,21.4,98,98,97,21.4,21.5,21.0,987.9,988.2,987.8,1.3,231,2.0,-2.85,0.0
A048,16/10/2019,08,21.7,21.7,21.5,96,98,96,21.1,21.4,21.1,988.0,988.0,987.6,2.1,172,2.6,-2.84,0.0
A048,16/10/2019,09,21.6,21.7,21.5,97,98,96,21.2,21.3,21.1,988.2,988.4,988.0,1.4,228,2.9,0.399,0.0
A048,16/10/2019,10,22.8,22.8,21.6,92,97,92,21.5,21.7,21.2,989.2,989.2,988.2,1.0,32,3.1,276.5,0.0
A048,17/10/2019,03,21.3,21.8,21.3,98,98,96,21.0,21.1,20.7,988.9,989.4,988.9,,,,-3.58,0.0
A048,17/10/2019,04,21.3,21.4,21.1,98,98,98,21.0,21.0,20.8,988.4,988.9,988.4,,,,-3.50,0.0
A048,17/10/2019,05,21.2,21.4,20.9,98,98,97,20.7,21.0,20.5,988.2,988.4,988.2,2.0,211,,-3.25,0.0
A048,17/10/2019,06,20.9,21.2,20.8,98,98,97,20.6,20.8,20.3,988.1,988.2,987.8,1.3,121,2.6,-3.49,0.0
A048,17/10/2019,07,20.7,21.0,20.6,98,98,98,20.4,20.7,20.3,988.4,988.4,988.0,1.4,147,2.1,-3.29,0.0
A048,17/10/2019,08,20.7,20.8,20.6,99,99,98,20.4,20.5,20.3,988.7,988.7,988.4,1.1,343,1.8,-3.47,0.0
A048,17/10/2019,09,20.4,20.7,20.4,99,99,98,20.2,20.5,20.1,989.3,989.3,988.6,0.8,161,1.5,3.246,0.0
A048,17/10/2019,10,21.9,21.9,20.3,96,99,96,21.2,21.3,20.1,989.8,989.8,989.3,1.1,77,1.7,318.6,0.0
A048,17/10/2019,11,24.6,24.7,21.9,85,97,84,21.8,22.0,21.3,990.6,990.6,989.8,0.5,208,2.3,1053.,0.0
A048,17/10/2019,12,26.8,26.8,24.4,78,86,73,22.5,22.9,21.1,990.9,990.9,990.6,2.4,21,3.5,1969.,0.0
A048,17/10/2019,13,29.0,29.0,26.8,67,78,66,22.2,22.9,21.2,990.9,990.9,990.8,2.6,21,4.5,2669.,0.0
A048,17/10/2019,14,30.2,30.3,28.7,68,70,65,23.8,23.8,21.9,990.7,990.9,990.7,2.7,31,5.2,2261.,0.2
A048,17/10/2019,15,31.2,31.6,29.7,65,70,62,23.8,24.5,22.7,990.1,990.7,990.1,2.9,3,6.1,3384.,0.0
A048,17/10/2019,16,32.0,32.3,30.9,63,67,58,24.2,24.4,22.4,988.7,990.1,988.7,3.9,9,6.6,3773.,0.0
A048,17/10/2019,17,32.0,33.0,31.0,59,63,55,23.0,24.1,21.9,987.6,988.7,987.6,3.3,326,6.4,2782.,0.0
A048,17/10/2019,18,32.8,33.4,31.7,54,62,52,22.4,24.0,22.0,986.7,987.6,986.7,2.0,38,5.9,2789.,0.0
A048,17/10/2019,19,27.3,33.7,27.2,71,71,54,21.5,23.7,20.7,987.0,987.1,986.4,6.6,139,10.4,1100.,0.0
A048,17/10/2019,20,27.0,27.6,27.0,71,76,70,21.3,22.4,21.3,986.9,987.1,986.6,4.7,140,10.2,593.9,0.0
A048,17/10/2019,21,25.6,27.0,25.6,80,80,71,21.8,22.1,21.1,987.2,987.5,986.8,2.1,165,6.5,187.9,0.0
A048,17/10/2019,22,24.4,25.6,24.2,88,89,80,22.3,22.4,21.8,988.1,988.1,987.2,1.8,197,3.9,-2.26,0.0
A048,17/10/2019,00,22.6,22.7,22.1,92,94,92,21.3,21.4,21.0,989.0,989.0,988.2,1.7,161,3.0,-3.60,0.0
A048,17/10/2019,23,23.8,24.4,23.7,93,93,88,22.5,22.5,22.2,988.6,988.6,988.0,2.3,221,4.6,-3.60,0.0
A048,17/10/2019,01,22.0,22.6,21.8,96,97,92,21.4,21.5,21.0,989.7,989.7,989.0,,,,-3.60,0.0
A048,17/10/2019,02,21.8,22.1,21.8,96,96,95,21.1,21.5,21.1,989.4,989.7,989.4,,,,-3.59,0.0
A048,18/10/2019,00,23.7,23.9,23.7,91,93,91,22.1,22.5,22.1,988.9,988.9,988.5,1.7,209,3.9,-3.60,0.0
A048,18/10/2019,01,23.4,23.8,23.4,91,93,91,21.9,22.2,21.9,989.2,989.4,988.9,3.3,224,4.6,-3.60,0.0
A048,18/10/2019,02,22.9,23.4,22.8,94,94,91,21.8,22.0,21.7,989.1,989.3,989.0,1.4,177,4.4,-3.60,0.0
A048,18/10/2019,23,24.7,24.9,24.4,93,94,91,23.4,23.5,23.2,987.4,987.6,987.4,0.5,324,4.3,-3.59,0.0
A048,18/10/2019,03,22.5,22.9,22.4,95,96,93,21.6,21.8,21.5,988.4,989.1,988.4,1.0,219,3.2,-3.60,0.0
A048,18/10/2019,07,20.9,21.7,20.9,98,98,98,20.7,21.4,20.7,987.4,987.4,987.2,1.0,64,1.3,-3.51,0.0
A048,18/10/2019,04,22.2,22.5,21.9,96,97,95,21.5,21.8,21.3,987.5,988.4,987.5,1.0,150,1.8,-3.60,0.0
A048,18/10/2019,05,21.7,22.2,21.5,97,98,96,21.3,21.6,21.0,987.2,987.6,987.2,1.1,121,2.2,-3.59,0.0
A048,18/10/2019,06,21.6,21.9,21.6,98,98,97,21.2,21.5,21.2,987.4,987.5,987.2,0.4,271,2.1,-3.59,0.0
A048,18/10/2019,08,21.2,21.3,20.8,99,99,98,21.0,21.0,20.6,988.1,988.1,987.4,1.4,42,1.9,-3.36,0.0
A048,18/10/2019,09,21.2,21.3,20.9,99,99,99,21.0,21.1,20.7,989.0,989.0,988.1,0.6,335,1.9,2.437,0.0
A048,18/10/2019,10,22.3,22.3,21.1,99,99,99,22.1,22.1,20.9,989.8,989.8,989.0,0.6,266,3.7,291.1,0.0
A048,18/10/2019,11,24.7,24.7,22.2,88,99,88,22.6,22.9,21.9,990.4,990.4,989.8,1.1,185,3.0,1128.,0.0
A048,18/10/2019,12,26.1,26.2,24.7,84,88,80,23.2,23.2,22.1,991.2,991.2,990.4,1.7,172,3.4,1633.,0.0
A048,18/10/2019,13,27.0,27.1,25.8,78,85,78,22.9,23.3,22.5,991.4,991.4,991.2,0.9,117,3.6,1011.,0.0
A048,18/10/2019,14,28.3,28.3,26.9,74,80,74,23.1,23.6,22.7,991.2,991.5,991.2,,,3.6,1565.,0.0
A048,18/10/2019,15,30.2,30.3,28.3,66,75,65,23.2,24.2,22.5,990.0,991.2,990.0,2.6,360,,2655.,0.0
A048,18/10/2019,16,30.8,31.5,29.7,67,70,62,23.8,24.5,22.6,989.0,990.0,989.0,3.4,351,5.5,2919.,0.0
A048,18/10/2019,17,31.3,31.9,30.0,62,70,61,23.2,24.7,22.9,988.1,989.1,988.1,2.6,15,5.7,2903.,0.0
A048,18/10/2019,18,26.6,31.3,26.6,83,83,62,23.5,24.2,22.9,988.1,988.1,987.7,3.0,209,7.4,569.2,0.0
A048,18/10/2019,19,26.4,26.6,25.9,85,88,82,23.6,24.3,23.0,988.3,988.4,987.4,2.4,202,4.7,505.9,0.8
A048,18/10/2019,20,26.4,26.5,26.2,85,88,84,23.7,24.4,23.5,987.0,988.3,987.0,1.5,156,4.1,501.1,0.0
A048,18/10/2019,21,25.6,26.4,25.6,91,92,85,24.0,24.3,23.6,987.0,987.1,986.7,2.4,175,3.1,178.5,0.0
A048,18/10/2019,22,24.9,25.6,24.9,92,92,91,23.5,24.0,23.5,987.4,987.4,986.9,3.2,174,4.7,-2.56,0.0
A048,19/10/2019,00,23.9,24.7,23.8,96,96,92,23.3,23.6,23.1,988.0,988.0,987.4,1.6,164,2.1,-3.59,0.0
A048,19/10/2019,22,28.3,29.7,28.3,79,79,71,24.3,24.9,23.9,986.2,986.2,985.8,1.0,280,1.7,-1.91,0.0
A048,19/10/2019,01,24.1,24.1,23.7,95,96,95,23.2,23.4,23.1,988.2,988.4,988.0,1.5,190,2.7,-3.60,0.0
A048,19/10/2019,02,23.4,24.1,23.4,97,97,95,22.9,23.2,22.8,988.0,988.2,988.0,1.7,271,2.7,-3.60,0.0
A048,19/10/2019,23,27.1,28.3,26.8,83,88,79,23.9,24.8,23.7,986.4,986.4,986.2,0.4,249,1.7,-3.60,0.0
A048,19/10/2019,03,23.2,23.4,23.2,97,98,97,22.7,22.9,22.7,987.8,988.1,987.8,1.5,311,2.7,-3.57,0.0
A048,19/10/2019,07,22.0,22.4,21.9,99,99,98,21.8,22.1,21.7,987.2,987.3,987.1,2.0,141,2.4,-2.88,0.0
A048,19/10/2019,04,22.8,23.2,22.8,98,98,96,22.4,22.8,22.4,987.5,987.8,987.5,1.8,338,3.3,-3.46,0.0
A048,19/10/2019,05,22.9,22.9,22.5,98,98,98,22.7,22.7,22.1,987.0,987.5,987.0,0.8,296,2.8,-3.59,0.0
