codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A049,05/07/2019,23,25.6,27.2,25.5,86,89,73,23.0,23.7,22.0,988.2,988.2,987.6,1.2,43,1.8,-3.60,0.0
A049,05/07/2019,22,26.7,27.6,25.7,78,88,74,22.5,24.2,22.2,987.6,987.7,987.5,1.4,297,2.8,0.617,0.0
A049,05/07/2019,18,34.8,35.2,33.5,41,45,39,19.4,20.3,18.9,987.3,987.9,987.3,1.4,112,5.5,1896.,0.0
A049,05/07/2019,17,34.2,34.9,32.8,42,50,41,19.5,21.2,19.4,987.9,988.8,987.9,2.3,212,4.7,1969.,0.0
A049,05/07/2019,21,27.6,29.0,27.5,77,81,67,23.1,25.2,22.1,987.5,987.5,987.3,1.8,306,3.8,141.9,0.0
A049,05/07/2019,16,33.5,34.3,32.5,46,49,45,20.3,21.0,19.8,988.8,989.7,988.8,2.2,240,5.7,1660.,0.0
A049,05/07/2019,15,33.8,,,46,,,20.7,,,989.7,,,1.6,263,,1365.,0.0
A049,05/07/2019,20,29.0,30.2,28.0,72,82,53,23.4,25.4,19.9,987.4,987.4,987.0,1.6,321,9.9,235.2,0.2
A049,05/07/2019,19,29.8,35.9,28.3,54,68,38,19.6,21.8,18.7,987.2,987.6,987.0,5.8,139,13.0,2043.,3.6
A049,06/07/2019,19,33.8,35.0,33.0,43,45,40,19.5,19.8,19.1,986.2,986.3,986.0,3.4,223,7.0,1421.,0.0
A049,06/07/2019,03,22.3,23.4,22.3,98,98,92,22.0,22.3,21.5,989.2,989.5,989.2,1.1,270,1.5,-3.60,0.0
A049,06/07/2019,02,22.9,24.2,22.8,93,95,88,21.7,22.3,21.7,989.5,989.5,989.0,0.9,322,2.4,-3.60,0.0
A049,06/07/2019,18,34.5,35.1,33.3,41,46,41,19.4,20.8,19.4,986.3,987.2,986.3,3.2,213,7.1,2369.,0.0
A049,06/07/2019,01,24.1,24.7,23.9,88,95,88,22.1,23.3,22.0,989.1,989.1,988.8,0.3,248,1.5,-3.60,0.0
A049,06/07/2019,00,24.7,25.7,24.7,91,92,85,23.1,24.1,22.7,988.8,988.8,988.2,0.6,8,1.9,-3.26,0.0
A049,06/07/2019,17,34.1,34.7,32.6,45,50,42,20.3,21.0,20.0,987.2,988.4,987.2,2.0,283,7.0,2176.,0.0
A049,06/07/2019,16,33.9,34.0,31.7,47,53,46,21.0,21.3,20.2,988.4,989.4,988.4,3.8,300,7.0,2384.,0.0
A049,06/07/2019,15,32.8,33.8,31.7,51,56,49,21.2,22.6,20.8,989.4,990.0,989.3,3.1,278,7.1,2742.,0.0
A049,06/07/2019,14,32.9,32.9,30.9,53,60,53,22.1,22.9,21.5,990.0,990.2,989.9,2.7,297,6.0,2304.,0.0
