codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A050,12/07/2019,23,21.5,25.9,21.5,73,74,53,16.5,16.7,15.5,977.3,977.3,976.7,1.4,33,2.7,-3.60,0.0
A050,12/07/2019,22,25.8,26.8,24.1,53,67,52,15.6,17.7,15.6,976.7,976.7,976.2,2.0,16,2.9,-2.91,0.0
A050,12/07/2019,21,26.9,32.7,26.9,52,52,34,16.2,16.6,14.6,976.2,976.2,975.8,1.6,43,3.8,207.7,0.4
A050,13/07/2019,18,34.2,34.6,33.6,,,,,,,976.2,976.9,976.2,2.8,100,7.4,2431.,0.0
A050,13/07/2019,15,32.8,33.2,31.4,34,39,33,14.9,16.2,14.5,979.0,979.7,979.0,3.8,96,9.5,3007.,0.0
A050,13/07/2019,21,28.2,32.7,28.2,46,46,32,15.5,15.6,13.7,976.1,976.1,975.9,1.7,64,5.2,217.9,0.0
A050,13/07/2019,08,16.4,16.9,16.0,89,93,89,14.6,15.1,14.5,977.4,977.5,977.1,1.4,149,1.9,-3.59,0.0
A050,13/07/2019,01,21.3,21.8,20.9,79,86,74,17.5,18.5,17.0,978.2,978.2,977.7,1.4,206,3.1,-2.76,0.0
A050,13/07/2019,23,21.2,23.1,21.2,76,76,65,16.7,17.1,16.2,976.7,976.7,976.2,1.7,19,2.5,-3.60,0.0
A050,13/07/2019,11,23.7,23.7,17.8,54,82,54,14.0,15.4,13.9,979.7,979.8,978.9,2.0,85,4.2,663.2,0.0
A050,13/07/2019,12,28.0,28.1,23.7,47,55,47,15.6,15.9,13.8,980.1,980.1,979.7,3.0,102,6.5,1469.,0.0
A050,13/07/2019,03,18.4,19.5,18.2,86,88,83,16.0,16.8,16.0,978.1,978.2,978.1,1.0,67,1.5,-3.60,0.0
A050,13/07/2019,16,33.7,33.9,32.6,,35,30,,15.3,13.9,978.0,979.0,977.9,3.8,108,9.4,3052.,0.0
A050,13/07/2019,00,21.1,21.6,20.6,86,86,72,18.6,18.6,16.4,977.7,977.7,977.3,0.4,96,1.7,-3.00,0.0
A050,13/07/2019,19,33.7,34.3,33.6,,,,,,,975.7,976.2,975.7,3.0,75,6.8,1793.,0.0
A050,13/07/2019,13,30.4,30.7,28.0,43,48,42,16.3,17.2,15.5,980.1,980.3,980.1,3.6,86,7.4,2179.,0.0
A050,13/07/2019,17,34.1,34.7,33.5,,,,,,,976.9,978.0,976.9,3.9,118,9.4,2849.,0.0
A050,13/07/2019,07,16.8,19.4,16.8,89,89,73,14.9,15.0,14.3,977.1,977.1,977.0,0.9,162,2.5,-3.59,0.0
A050,13/07/2019,02,19.2,21.5,19.2,84,87,75,16.5,17.5,16.4,978.2,978.2,978.1,0.6,157,1.9,-3.60,0.0
A050,13/07/2019,04,18.4,20.3,18.1,84,87,75,15.6,16.1,15.3,977.7,978.1,977.7,0.5,124,3.1,-3.59,0.0
A050,13/07/2019,10,17.8,18.0,16.5,82,85,74,14.6,14.6,13.3,978.9,978.9,978.0,1.3,110,2.1,69.29,0.0
A050,13/07/2019,05,18.6,19.4,17.6,79,88,76,14.8,15.7,14.8,977.3,977.7,977.3,1.6,101,3.0,-3.60,0.0
A050,13/07/2019,09,17.0,17.0,15.8,81,92,81,13.7,14.6,13.7,978.0,978.0,977.4,1.2,112,1.9,-3.60,0.0
A050,13/07/2019,20,32.7,33.9,32.7,33,34,30,14.1,14.6,13.2,975.9,975.9,975.7,2.7,67,7.6,1018.,0.0
A050,13/07/2019,06,18.7,19.9,17.2,77,85,72,14.6,14.9,14.3,977.0,977.3,977.0,1.7,58,2.5,-3.45,0.0
A050,13/07/2019,22,23.0,28.2,23.0,66,66,46,16.3,16.5,15.2,976.2,976.2,976.1,1.6,24,2.5,-3.17,0.0
A050,13/07/2019,14,31.5,31.6,30.0,38,44,38,15.6,16.6,15.2,979.7,980.1,979.7,4.7,107,9.7,2711.,0.0
A050,14/07/2019,05,16.7,18.4,16.7,92,92,82,15.4,15.7,15.1,976.5,976.9,976.5,0.2,88,1.4,-3.60,0.0
A050,14/07/2019,17,34.2,34.3,31.8,31,36,31,14.9,16.5,14.2,976.0,976.9,976.0,1.9,111,7.5,2347.,0.0
A050,14/07/2019,23,21.0,24.8,21.0,72,72,53,15.8,15.8,14.6,976.3,976.3,975.7,1.9,16,2.4,-3.60,0.0
A050,14/07/2019,13,30.6,30.8,27.8,46,54,44,17.6,17.9,16.9,978.9,978.9,978.8,3.2,57,6.4,2169.,0.0
A050,14/07/2019,14,32.1,32.8,30.7,38,46,37,15.9,17.7,15.7,978.8,979.0,978.8,3.4,72,8.3,2703.,0.0
A050,14/07/2019,10,17.9,17.9,15.7,88,100,85,15.8,16.1,15.2,977.6,977.6,977.2,1.0,108,1.8,66.85,0.0
A050,14/07/2019,16,33.5,33.5,32.6,36,38,35,16.4,16.7,15.5,976.9,978.0,976.9,3.2,60,7.2,3027.,0.0
A050,14/07/2019,04,17.8,18.1,17.3,86,90,85,15.4,15.7,15.4,976.9,977.3,976.9,0.9,42,1.5,-3.60,0.0
A050,14/07/2019,11,23.2,23.4,17.9,62,93,61,15.6,17.3,15.1,978.4,978.4,977.6,0.6,166,1.8,653.6,0.0
A050,14/07/2019,09,15.9,16.1,15.5,99,100,98,15.8,16.0,15.3,977.2,977.2,976.8,0.5,104,1.0,-3.59,0.0
A050,14/07/2019,06,16.6,16.8,16.3,95,96,91,15.9,16.1,15.3,976.1,976.5,976.1,0.4,175,2.1,-3.49,0.0
A050,14/07/2019,00,20.1,21.6,20.1,82,82,72,16.9,17.2,16.4,976.8,976.9,976.7,0.7,22,2.4,-3.60,0.0
A050,14/07/2019,21,25.6,33.0,25.5,55,58,32,15.8,16.7,13.9,975.4,975.4,975.1,1.4,43,4.3,220.7,0.0
A050,14/07/2019,22,24.1,26.4,23.2,56,67,50,14.9,16.7,14.8,975.7,975.7,975.4,1.8,19,2.8,-2.88,0.0
A050,14/07/2019,19,33.5,35.0,32.9,30,31,27,13.6,15.0,12.7,974.9,975.3,974.9,2.8,110,5.8,1679.,0.0
A050,14/07/2019,18,34.2,35.0,33.9,28,33,28,13.2,15.6,13.1,975.3,976.0,975.3,2.7,101,7.0,2474.,0.0
A050,14/07/2019,08,15.7,16.1,15.7,99,99,97,15.5,15.8,15.4,976.8,976.8,976.3,0.5,134,1.5,-3.59,0.0
A050,14/07/2019,07,15.9,16.6,15.9,98,98,96,15.7,16.1,15.5,976.3,976.3,976.1,0.6,45,1.3,-3.59,0.0
A050,14/07/2019,01,19.4,20.1,19.0,85,89,79,16.9,17.1,16.3,977.5,977.6,976.8,1.7,162,5.1,-3.60,0.0
A050,14/07/2019,12,27.8,27.8,23.2,53,64,52,17.4,17.5,15.9,978.8,978.8,978.4,2.4,112,4.6,1454.,0.0
