codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A051,30/06/2019,00,19.9,20.8,19.8,91,91,87,18.3,18.7,18.1,991.8,991.8,991.0,0.4,64,1.4,-3.60,0.0
A051,30/06/2019,01,19.2,20.2,19.2,92,93,91,17.9,18.7,17.9,992.3,992.3,991.8,0.5,36,1.3,-3.60,0.0
A051,30/06/2019,02,18.5,19.2,18.4,95,95,92,17.7,18.3,17.3,992.3,992.4,992.2,0.5,31,1.6,-3.59,0.0
A051,30/06/2019,03,18.4,18.7,17.9,96,96,95,17.7,18.0,17.1,992.3,992.3,992.3,0.4,69,1.0,-3.59,0.0
A051,30/06/2019,04,19.2,20.0,18.1,90,97,90,17.5,18.9,17.4,992.3,992.5,992.2,1.1,49,5.5,-3.59,0.0
A051,30/06/2019,05,17.6,19.2,17.6,95,95,90,16.9,17.4,16.7,991.8,992.3,991.8,0.5,81,2.9,-3.58,0.0
A051,30/06/2019,06,16.8,17.6,16.8,96,97,95,16.2,16.9,16.2,991.3,991.8,991.3,0.3,85,1.4,-3.40,0.0
A051,30/06/2019,07,17.1,17.6,16.8,97,98,96,16.7,17.2,16.2,991.3,991.3,991.1,0.4,81,0.9,-3.54,0.0
A051,30/06/2019,08,17.1,17.5,16.5,97,98,97,16.6,17.1,16.1,991.6,991.6,991.3,0.8,78,1.8,-3.23,0.0
A051,30/06/2019,09,17.9,19.2,17.0,91,98,90,16.5,17.9,16.5,992.2,992.2,991.6,0.9,85,2.8,-2.81,0.0
A051,30/06/2019,10,17.7,17.9,17.5,96,96,91,17.0,17.1,16.4,992.8,992.8,992.2,0.4,63,1.6,24.26,0.0
A051,30/06/2019,11,22.1,22.1,17.6,84,97,84,19.2,19.5,17.0,993.4,993.4,992.8,1.8,117,2.9,515.0,0.0
A051,30/06/2019,12,27.0,27.0,22.2,64,84,64,19.5,20.1,19.2,994.1,994.1,993.4,2.0,85,4.3,1297.,0.0
A051,30/06/2019,13,30.3,30.3,27.0,51,64,50,19.1,20.2,18.4,994.2,994.2,994.1,2.9,88,6.4,1989.,0.0
A051,30/06/2019,14,31.4,31.9,30.2,44,52,44,17.8,19.4,17.8,993.9,994.2,993.9,3.6,68,7.6,2502.,0.0
A051,30/06/2019,15,32.3,32.9,31.2,42,46,41,17.8,19.6,17.7,993.2,993.9,993.2,3.1,80,7.2,2852.,0.0
A051,30/06/2019,16,33.9,33.9,32.3,38,43,37,17.7,18.9,16.6,992.3,993.2,992.3,2.4,67,7.2,2958.,0.0
A051,30/06/2019,17,34.0,34.4,33.2,37,39,33,17.2,17.6,15.3,991.2,992.3,991.2,2.5,92,7.5,2826.,0.0
A051,30/06/2019,18,33.7,34.3,33.1,34,38,34,15.7,17.6,15.7,990.3,991.2,990.3,2.2,85,6.3,2437.,0.0
A051,30/06/2019,19,33.5,34.3,33.4,36,38,34,16.4,17.4,15.9,989.8,990.3,989.8,1.5,79,4.3,1821.,0.0
