codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A052,30/06/2019,00,21.9,23.6,21.9,69,70,60,15.9,16.4,15.5,979.1,979.1,978.8,2.4,150,3.4,-3.60,0.0
A052,30/06/2019,01,20.8,22.4,20.7,72,72,65,15.5,15.8,15.2,979.6,979.6,979.1,2.3,145,3.1,-3.60,0.0
A052,30/06/2019,02,20.1,21.1,19.8,79,80,72,16.3,16.4,15.5,979.6,979.6,979.6,1.8,125,2.7,-3.60,0.0
A052,30/06/2019,03,20.5,21.0,19.8,73,79,72,15.5,16.3,15.5,979.4,979.7,979.4,2.8,149,4.5,-3.60,0.0
A052,30/06/2019,04,20.3,20.8,19.9,73,74,72,15.2,15.6,15.1,979.3,979.5,979.3,2.5,160,3.8,-3.60,0.0
A052,30/06/2019,05,17.7,20.3,17.4,84,86,73,15.0,15.6,14.6,979.3,979.4,979.3,2.5,31,3.8,-3.60,0.0
A052,30/06/2019,06,18.3,19.3,17.7,81,84,79,15.0,15.7,15.0,979.1,979.3,979.1,1.8,41,3.6,-3.60,0.0
A052,30/06/2019,07,17.4,19.1,17.4,86,87,79,15.1,15.7,14.6,979.0,979.1,979.0,2.1,119,2.6,-3.59,0.0
A052,30/06/2019,08,17.5,17.5,17.3,85,87,85,15.0,15.2,14.9,979.3,979.3,979.0,1.9,115,2.7,-3.60,0.0
A052,30/06/2019,09,18.1,18.1,17.1,85,88,85,15.5,15.5,14.8,980.0,980.0,979.3,1.7,120,3.5,-3.59,0.0
A052,30/06/2019,10,18.4,18.5,17.6,84,85,80,15.6,15.6,14.6,980.7,980.7,980.0,2.1,126,3.0,43.85,0.0
A052,30/06/2019,11,22.2,22.2,18.4,66,84,66,15.6,16.4,15.5,981.7,981.7,980.7,3.5,141,5.0,593.1,0.0
A052,30/06/2019,12,26.1,26.2,22.2,53,67,52,15.8,16.2,15.5,982.3,982.3,981.7,3.0,137,5.1,1368.,0.0
A052,30/06/2019,13,28.8,29.0,26.0,44,53,44,15.4,16.1,15.0,982.2,982.4,982.2,3.8,99,7.7,2056.,0.0
A052,30/06/2019,14,30.0,30.2,28.4,41,45,40,15.3,15.9,14.8,981.8,982.3,981.8,4.0,112,7.0,2558.,0.0
A052,30/06/2019,15,31.6,32.3,30.0,35,41,34,14.2,15.3,13.6,980.9,981.8,980.9,4.0,100,7.5,2844.,0.0
A052,30/06/2019,16,32.6,33.1,30.9,32,36,31,13.8,14.4,12.9,979.8,980.9,979.8,4.0,114,12.1,2963.,0.0
A052,30/06/2019,17,33.1,33.5,31.8,30,32,29,13.0,14.3,12.5,978.7,979.9,978.7,4.6,143,8.4,2851.,0.0
A052,30/06/2019,18,32.0,33.3,32.0,29,30,28,12.0,13.0,11.9,978.0,978.7,978.0,4.2,130,8.2,2353.,0.0
A052,30/06/2019,19,32.2,33.3,31.6,31,31,28,12.7,13.4,12.2,977.7,978.0,977.6,3.6,136,7.2,1677.,0.0
A052,30/06/2019,20,30.0,32.8,30.0,39,39,30,14.5,14.5,12.4,977.8,977.8,977.6,2.6,161,6.5,1039.,0.0
A052,30/06/2019,21,27.3,30.3,27.3,48,48,38,15.2,15.3,14.4,978.1,978.1,977.8,2.0,167,4.6,236.0,0.0
A052,30/06/2019,22,25.4,27.3,25.4,53,53,48,15.0,15.3,14.9,978.5,978.5,978.1,2.3,174,3.2,-3.44,0.0
A052,30/06/2019,23,23.6,25.4,23.6,59,59,53,15.2,15.2,15.0,978.9,978.9,978.5,2.4,184,3.5,-3.60,0.0
A052,01/07/2019,23,21.6,25.0,21.6,66,69,50,15.1,16.0,13.7,977.9,977.9,977.5,1.5,142,3.4,-3.60,0.0
A052,01/07/2019,21,27.6,31.4,27.6,43,43,32,13.8,13.8,12.9,977.2,977.2,977.0,2.7,165,5.0,243.6,0.0
A052,01/07/2019,17,33.5,33.9,32.6,27,29,27,12.1,12.7,11.5,978.2,979.3,978.2,3.7,172,7.5,2736.,0.0
A052,01/07/2019,09,17.4,18.4,16.9,83,85,80,14.5,14.9,14.0,979.6,979.6,978.9,0.7,279,3.3,-3.60,0.0
A052,01/07/2019,08,18.0,19.3,17.8,82,83,76,14.9,15.1,14.6,978.9,979.0,978.8,2.1,163,3.1,-3.29,0.0
A052,01/07/2019,16,33.1,33.3,32.0,29,32,28,12.7,13.2,11.9,979.3,980.6,979.3,3.3,129,7.6,2898.,0.0
A052,01/07/2019,07,18.0,18.4,17.0,83,87,81,15.1,15.4,14.7,978.8,978.8,978.7,1.9,122,2.3,-3.60,0.0
A052,01/07/2019,06,17.5,19.7,16.9,86,88,74,15.1,15.6,14.3,978.7,978.9,978.7,1.2,81,2.0,-3.60,0.0
A052,01/07/2019,20,31.4,32.9,31.4,33,33,28,13.0,13.2,11.6,977.0,977.1,976.9,3.4,160,6.5,1012.,0.0
A052,01/07/2019,15,32.3,32.5,30.3,32,36,31,13.5,13.9,12.7,980.6,981.3,980.6,3.2,138,6.5,2835.,0.0
