codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A053,30/06/2019,00,21.0,21.7,21.0,75,76,71,16.5,17.0,16.1,956.4,956.4,955.9,0.7,32,1.5,-3.59,0.0
A053,30/06/2019,01,21.4,21.6,21.0,70,75,69,15.6,16.7,15.4,956.7,956.7,956.4,1.0,17,1.5,-3.22,0.0
A053,30/06/2019,02,20.2,21.7,20.2,75,76,68,15.7,15.9,15.4,956.6,956.7,956.5,0.5,291,1.5,-3.60,0.0
A053,30/06/2019,03,19.6,20.3,19.3,78,80,75,15.7,15.9,15.6,956.4,956.6,956.4,0.3,310,1.4,-3.60,0.0
A053,30/06/2019,04,18.8,19.6,18.7,85,85,77,16.2,16.2,15.4,956.4,956.5,956.3,0.5,199,1.3,-3.60,0.0
A053,30/06/2019,05,19.5,19.6,18.5,80,86,78,16.0,16.3,15.6,956.4,956.6,956.4,0.8,8,1.8,-2.98,0.0
A053,30/06/2019,06,19.9,20.7,19.5,80,81,75,16.3,16.7,15.6,956.0,956.4,956.0,0.9,39,2.1,-3.11,0.0
A053,30/06/2019,07,19.7,20.4,19.5,84,85,78,16.9,17.2,16.4,955.9,956.0,955.9,0.9,66,2.4,-3.57,0.0
A053,30/06/2019,08,20.5,20.9,19.6,74,84,71,15.8,16.9,15.4,956.3,956.3,955.9,1.1,55,3.6,-3.59,0.0
A053,30/06/2019,09,20.8,21.2,19.9,70,80,70,15.2,16.4,15.2,957.0,957.0,956.3,1.6,72,3.7,-3.60,0.0
A053,30/06/2019,10,21.2,21.2,19.5,70,81,70,15.4,16.4,15.1,957.8,957.8,957.0,2.2,32,3.5,29.66,0.0
A053,30/06/2019,11,23.1,23.1,21.2,64,70,64,15.8,16.0,15.3,958.5,958.5,957.8,2.8,65,6.4,464.6,0.0
A053,30/06/2019,12,25.0,25.0,23.0,60,64,59,16.6,16.9,15.8,959.0,959.0,958.5,3.1,84,6.9,1435.,0.0
A053,30/06/2019,13,27.3,27.3,25.0,53,60,52,16.8,16.8,15.9,959.0,959.1,958.9,2.6,73,8.5,2130.,0.0
A053,30/06/2019,14,28.6,28.6,26.9,48,53,47,16.6,17.1,15.3,958.7,959.0,958.7,3.0,84,7.2,2629.,0.0
A053,30/06/2019,15,29.6,29.6,28.2,45,49,44,16.4,16.6,15.7,957.8,958.7,957.8,2.8,95,8.0,2900.,0.0
A053,30/06/2019,16,30.1,30.3,29.0,40,45,40,14.9,16.9,14.7,956.8,957.8,956.8,2.5,113,6.7,2965.,0.0
A053,30/06/2019,17,31.1,31.3,29.7,39,42,37,15.3,16.1,13.9,955.5,956.8,955.5,1.9,99,7.4,2767.,0.0
A053,30/06/2019,18,31.0,31.5,30.3,36,40,34,14.2,15.7,13.3,954.7,955.5,954.7,1.8,111,7.3,2337.,0.0
A053,30/06/2019,19,31.1,31.5,30.4,35,37,33,13.9,14.6,12.4,954.2,954.7,954.2,1.7,110,5.9,1723.,0.0
A053,30/06/2019,20,29.7,31.1,29.7,41,41,34,15.1,15.2,13.1,954.3,954.3,954.2,1.3,153,7.0,622.1,0.0
A053,30/06/2019,21,24.7,29.7,24.7,58,58,39,15.8,16.1,14.1,954.7,954.7,954.3,0.3,296,2.9,55.93,0.0
A053,30/06/2019,22,22.1,24.7,22.1,68,68,57,16.0,16.0,15.2,955.3,955.3,954.7,0.5,345,1.1,-3.60,0.0
A053,30/06/2019,23,21.0,22.1,21.0,72,79,68,15.8,17.9,15.4,956.0,956.1,955.3,0.4,346,1.4,-3.60,0.0
A053,01/07/2019,23,21.2,22.7,21.2,69,69,61,15.2,15.2,14.6,954.8,954.8,954.2,0.7,275,1.7,-3.60,0.0
A053,01/07/2019,22,22.6,24.7,22.6,61,61,57,14.8,16.0,14.7,954.2,954.2,953.8,1.2,266,1.8,-3.60,0.0
A053,01/07/2019,09,17.1,17.4,16.9,90,93,88,15.4,16.2,15.0,956.7,956.7,956.0,0.2,107,1.6,-3.57,0.0
A053,01/07/2019,18,31.5,32.3,30.8,34,37,33,13.7,15.1,13.2,954.3,955.1,954.3,1.7,130,5.3,2342.,0.0
A053,01/07/2019,10,17.3,17.3,16.9,88,96,88,15.3,16.5,15.1,957.5,957.5,956.7,0.4,214,2.4,32.77,0.0
A053,01/07/2019,17,31.0,31.9,30.7,36,37,32,14.0,14.7,12.9,955.1,956.2,955.1,2.6,93,5.4,2766.,0.0
A053,01/07/2019,08,17.0,17.7,16.7,89,89,83,15.1,15.3,14.6,956.0,956.0,955.5,0.9,30,2.0,-3.60,0.0
A053,01/07/2019,07,17.1,17.5,16.9,87,88,83,14.8,15.1,14.5,955.5,955.6,955.4,0.4,259,1.5,-3.60,0.0
A053,01/07/2019,21,24.7,29.9,24.7,58,58,39,16.0,16.7,14.6,953.8,953.9,953.8,0.3,277,2.7,55.35,0.0
A053,01/07/2019,16,31.3,31.5,30.1,35,41,35,14.2,16.3,13.4,956.2,957.4,956.2,2.3,108,7.4,2950.,0.0
A053,01/07/2019,06,17.3,19.1,17.3,86,86,78,15.0,15.2,14.6,955.5,955.9,955.5,0.4,315,0.9,-3.60,0.0
A053,01/07/2019,05,18.9,19.8,18.7,79,79,74,15.3,15.5,14.6,955.9,956.3,955.9,0.3,231,1.7,-3.60,0.0
A053,01/07/2019,15,30.4,30.9,29.1,39,46,38,14.7,16.8,14.5,957.4,958.0,957.4,2.5,125,6.9,2895.,0.0
A053,01/07/2019,04,19.8,20.0,18.4,75,83,75,15.2,16.1,14.5,956.3,956.7,956.3,0.4,147,1.9,-3.60,0.0
A053,01/07/2019,03,18.6,19.1,18.5,77,81,75,14.5,15.4,14.2,956.7,956.8,956.7,0.6,10,1.7,-3.60,0.0
A053,01/07/2019,20,29.9,31.2,29.9,40,40,36,14.7,15.4,14.2,953.8,953.9,953.7,1.5,202,4.0,623.5,0.0
A053,01/07/2019,14,29.4,29.5,26.8,46,51,45,16.4,17.1,15.6,958.0,958.7,958.0,2.1,96,5.1,2625.,0.0
A053,01/07/2019,02,18.9,19.4,18.6,81,86,77,15.4,16.4,14.9,956.8,956.8,956.6,0.5,328,1.2,-3.60,0.0
A053,01/07/2019,01,19.4,20.2,19.3,78,81,75,15.5,16.5,15.4,956.7,956.7,956.3,0.5,9,2.0,-3.60,0.0
A053,01/07/2019,13,26.8,27.0,25.0,50,55,50,15.6,16.2,14.7,958.6,958.8,958.6,1.6,103,3.8,2140.,0.0
A053,01/07/2019,00,20.1,21.0,20.0,75,76,71,15.5,15.9,15.2,956.4,956.4,956.0,0.4,254,1.4,-3.60,0.0
A053,01/07/2019,19,31.0,31.7,31.0,36,39,33,14.1,15.9,13.0,953.9,954.3,953.8,1.8,145,4.8,1727.,0.0
A053,01/07/2019,12,25.1,25.1,22.7,54,61,53,15.2,15.2,14.1,958.7,958.7,958.1,1.8,82,3.6,1443.,0.0
A053,01/07/2019,11,22.9,22.9,17.2,58,88,58,14.3,17.1,14.3,958.1,958.1,957.5,0.7,42,1.5,455.8,0.0
A053,02/07/2019,18,32.2,32.2,31.1,32,35,30,13.4,14.1,12.4,951.5,952.4,951.5,1.2,33,6.5,2303.,0.0
A053,02/07/2019,17,31.3,32.1,30.7,34,38,31,13.8,15.1,12.7,952.4,953.6,952.4,1.9,89,4.3,2713.,0.0
A053,02/07/2019,16,30.7,31.7,30.1,36,39,34,13.8,14.9,13.1,953.6,954.7,953.6,1.9,95,6.3,2799.,0.0
A053,02/07/2019,15,30.5,30.8,29.3,38,41,37,14.6,15.3,13.7,954.7,955.3,954.7,2.3,37,6.3,2919.,0.0
A053,02/07/2019,14,29.4,29.6,28.2,41,46,39,14.9,15.6,14.2,955.2,955.6,955.2,3.0,61,8.0,2640.,0.0
A053,02/07/2019,13,28.2,28.3,25.6,45,51,45,15.1,16.0,14.0,955.6,955.9,955.6,2.4,78,5.5,2133.,0.0
A053,02/07/2019,12,25.5,25.7,22.4,49,63,47,14.2,15.1,13.5,955.9,955.9,955.4,1.9,87,4.0,1439.,0.0
A053,02/07/2019,11,22.4,22.4,17.2,63,85,62,15.1,17.0,13.9,955.4,955.4,954.6,0.8,103,2.2,439.0,0.0
