codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A054,02/07/2019,23,21.5,25.2,21.5,71,71,53,16.0,16.3,14.9,983.7,983.7,983.1,1.1,342,2.4,-3.54,0.0
A054,02/07/2019,22,25.1,29.4,25.0,53,55,36,14.7,15.8,12.7,983.1,983.2,982.7,1.3,42,2.9,-2.74,0.0
A054,02/07/2019,18,34.1,34.7,33.8,21,25,21,8.9,11.3,8.6,982.4,983.1,982.4,2.6,47,7.4,2455.,0.0
A054,02/07/2019,17,34.4,34.9,33.1,23,27,22,10.6,11.5,9.2,983.1,984.3,983.1,3.6,47,7.1,2841.,0.0
A054,02/07/2019,21,29.4,32.9,29.4,36,36,26,12.7,12.7,10.6,982.7,982.7,982.2,2.1,17,5.6,322.3,0.0
A054,02/07/2019,16,33.4,34.3,32.6,26,28,25,11.1,12.7,10.5,984.3,985.6,984.3,3.3,73,8.3,2982.,0.0
A054,02/07/2019,15,32.9,33.9,32.3,26,30,26,11.1,13.3,11.1,985.6,986.4,985.6,3.7,35,8.3,2869.,0.0
A054,02/07/2019,20,32.8,34.2,32.8,26,26,23,11.0,11.1,9.9,982.2,982.2,982.0,4.0,37,6.5,1124.,0.0
A054,02/07/2019,14,32.5,32.6,29.6,31,39,30,13.0,14.6,12.0,986.4,987.0,986.4,2.6,93,4.9,2526.,0.0
A054,02/07/2019,19,34.2,34.8,33.6,24,25,21,10.8,11.1,9.0,982.0,982.4,982.0,3.7,42,7.0,1863.,0.0
A054,03/07/2019,20,33.3,34.3,32.7,26,26,22,10.9,11.2,9.7,983.2,983.2,982.8,3.1,24,5.3,869.7,0.0
A054,03/07/2019,04,16.8,17.1,16.8,91,93,91,15.3,16.0,15.2,984.5,984.7,984.5,1.0,213,1.5,-3.54,0.0
A054,03/07/2019,03,17.1,18.5,16.9,93,93,87,15.9,16.6,15.6,984.7,984.9,984.7,0.5,192,1.4,-3.54,0.0
A054,03/07/2019,19,34.2,35.1,33.8,22,24,21,9.5,10.7,9.2,982.8,983.0,982.8,2.6,334,9.4,1847.,0.0
A054,03/07/2019,02,18.3,19.3,18.0,90,91,82,16.6,16.7,16.0,984.9,985.0,984.8,0.4,212,1.2,-3.54,0.0
A054,03/07/2019,01,19.3,20.4,19.3,82,83,77,16.2,16.7,16.1,984.8,984.8,984.3,0.6,27,2.2,-3.54,0.0
A054,03/07/2019,18,34.2,35.0,33.6,22,24,19,9.6,10.3,7.9,982.9,983.7,982.9,2.6,25,7.0,2444.,0.0
A054,03/07/2019,00,20.3,21.8,20.0,77,81,69,16.1,17.1,15.7,984.3,984.3,983.7,0.9,211,2.3,-3.54,0.0
A054,03/07/2019,17,34.2,34.9,33.4,22,27,21,9.7,12.1,8.7,983.7,984.9,983.7,2.6,332,6.9,2798.,0.0
A054,03/07/2019,16,33.4,34.6,32.7,27,30,25,11.6,12.9,11.0,984.9,986.2,984.9,2.0,65,5.8,2947.,0.0
A054,03/07/2019,15,33.0,33.4,30.4,30,37,29,12.8,14.8,12.6,986.2,987.1,986.2,1.1,183,4.1,2851.,0.0
A054,03/07/2019,14,31.0,31.1,28.5,34,44,34,13.5,15.6,13.4,987.1,987.4,987.1,1.5,137,3.4,2507.,0.0
A054,03/07/2019,13,28.7,28.7,23.6,44,64,44,15.4,16.5,15.1,987.3,987.4,987.0,1.7,40,3.6,1974.,0.0
A054,03/07/2019,12,23.6,23.6,18.3,64,85,64,16.3,17.1,15.4,987.0,987.0,986.3,2.1,137,3.3,1257.,0.0
A054,03/07/2019,11,18.3,18.3,14.8,85,95,83,15.7,15.8,14.0,986.3,986.3,985.4,0.7,230,2.1,481.9,0.0
A054,03/07/2019,23,23.2,27.5,23.2,78,78,43,19.1,19.1,13.9,985.5,985.5,984.7,0.2,15,3.2,-3.54,0.0
A054,03/07/2019,10,14.8,15.0,14.5,95,96,95,14.0,14.2,13.6,985.4,985.4,984.8,0.8,203,2.7,13.72,0.0
