codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A055,03/07/2019,23,22.9,24.1,22.9,86,86,82,20.4,21.1,20.4,990.2,990.2,989.5,0.4,200,0.5,-3.60,0.0
A055,03/07/2019,22,24.0,26.7,24.0,84,84,68,21.1,21.1,20.1,989.5,989.5,989.0,0.2,232,0.5,-1.11,0.0
A055,03/07/2019,15,32.5,,,46,,,19.4,,,991.1,,,1.6,2,,1604.,0.0
A055,03/07/2019,14,32.4,,,44,,,18.4,,,991.7,,,1.8,357,,669.9,0.0
A055,03/07/2019,21,26.7,33.5,26.7,69,69,39,20.5,20.8,17.1,989.0,989.0,988.6,0.4,265,2.1,252.1,0.0
A055,03/07/2019,20,33.2,33.5,32.7,40,43,37,17.8,18.9,16.6,988.6,988.6,988.4,1.0,319,3.4,1086.,0.0
A055,03/07/2019,19,33.1,,,38,,,17.0,,,988.4,,,1.5,21,,592.5,0.0
A055,04/07/2019,17,34.7,34.7,33.7,39,42,38,18.9,19.5,17.9,989.9,990.6,989.9,2.1,351,4.9,2788.,0.0
A055,04/07/2019,01,21.5,22.1,21.5,93,93,89,20.2,20.4,20.0,991.0,991.0,990.7,0.2,279,0.8,-3.60,0.0
A055,04/07/2019,00,22.0,22.9,22.0,89,90,85,20.1,20.6,20.1,990.7,990.7,990.2,0.2,193,0.5,-3.60,0.0
A055,04/07/2019,16,33.9,34.6,33.3,41,44,39,18.7,19.7,18.0,990.6,991.4,990.6,2.3,7,6.3,2936.,0.0
A055,04/07/2019,15,33.5,33.8,32.3,42,48,41,18.9,19.9,18.3,991.4,991.9,991.4,1.8,40,5.0,2836.,0.0
A055,04/07/2019,14,32.3,32.5,31.0,48,55,47,20.0,21.5,19.6,991.9,992.1,991.9,2.3,64,4.8,2511.,0.0
A055,04/07/2019,23,24.2,25.8,24.2,86,87,82,21.7,22.8,21.6,990.3,990.3,989.8,0.2,145,0.6,-3.60,0.0
A055,04/07/2019,13,31.1,31.2,28.6,53,63,51,20.4,21.6,19.5,992.1,992.3,992.1,1.7,54,2.9,1944.,0.0
A055,04/07/2019,12,28.6,28.6,23.3,62,81,61,20.6,20.7,19.5,992.3,992.3,991.6,0.7,66,1.6,1188.,0.2
A055,04/07/2019,22,25.8,28.4,25.8,82,83,69,22.5,22.7,22.1,989.8,989.8,989.5,0.1,208,0.7,-1.20,0.0
A055,04/07/2019,11,23.3,23.3,18.2,81,98,81,19.8,20.0,17.8,991.6,991.6,991.1,0.3,46,1.2,385.1,0.0
A055,04/07/2019,10,18.2,18.3,18.0,98,98,97,17.8,18.0,17.5,991.1,991.1,990.7,0.4,16,1.0,13.53,0.0
A055,04/07/2019,21,28.4,34.1,28.4,69,69,42,22.2,22.2,19.3,989.5,989.5,989.3,0.3,288,2.3,266.5,0.0
A055,04/07/2019,09,18.2,19.1,18.2,97,97,94,17.8,18.4,17.7,990.7,990.7,990.5,0.5,32,0.8,-3.39,0.0
A055,04/07/2019,08,19.1,19.8,18.9,96,96,91,18.4,18.6,18.1,990.5,990.5,990.3,0.5,319,2.1,-3.35,0.0
A055,04/07/2019,20,33.7,34.8,33.7,43,44,38,19.5,19.8,18.0,989.3,989.3,989.2,1.3,330,3.5,1073.,0.0
A055,04/07/2019,07,19.3,19.8,19.2,95,95,93,18.6,18.9,18.3,990.3,990.4,990.2,0.5,118,2.1,-3.26,0.0
A055,04/07/2019,06,19.8,20.0,19.6,95,96,94,18.9,19.1,18.7,990.4,990.7,990.4,0.7,191,2.1,-3.20,0.0
A055,04/07/2019,19,34.2,35.0,34.1,39,42,38,18.5,19.5,18.1,989.2,989.5,989.2,1.4,21,4.8,1813.,0.0
A055,04/07/2019,05,20.0,20.2,19.9,94,96,94,19.1,19.4,19.0,990.7,991.0,990.7,0.4,209,0.6,-3.26,0.0
A055,04/07/2019,04,20.2,21.0,20.2,94,96,92,19.2,19.7,19.2,991.0,991.2,991.0,0.2,156,2.8,-3.48,0.0
A055,04/07/2019,18,34.4,35.3,34.0,39,41,37,18.5,19.6,17.7,989.4,989.9,989.4,1.5,30,4.2,2403.,0.0
A055,04/07/2019,03,20.4,20.8,20.3,95,95,94,19.6,19.9,19.3,991.2,991.2,991.0,0.9,90,2.8,-2.88,0.0
A055,04/07/2019,02,20.8,21.5,20.8,94,94,91,19.7,20.2,19.6,991.0,991.1,991.0,0.1,253,0.5,-3.60,0.0
A055,05/07/2019,23,23.5,25.4,23.5,93,93,85,22.3,22.8,22.1,992.3,992.3,992.1,0.3,117,0.4,-3.60,0.0
A055,05/07/2019,22,25.4,28.2,25.4,85,85,70,22.8,23.0,22.3,992.1,992.2,992.0,0.2,205,0.7,-0.96,0.0
A055,05/07/2019,21,28.2,34.2,28.2,70,72,42,22.2,22.8,19.3,992.1,992.1,991.8,0.2,179,2.6,267.6,0.0
A055,05/07/2019,20,34.1,35.1,34.0,42,43,40,19.3,20.1,19.0,991.8,992.0,991.7,1.4,201,3.9,1066.,0.0
A055,05/07/2019,19,34.6,35.6,33.9,42,43,39,19.9,20.4,18.8,991.9,992.1,991.9,1.8,189,4.1,1803.,0.0
A055,05/07/2019,18,33.9,35.6,33.8,42,44,34,19.2,20.9,16.9,992.1,992.7,992.1,2.0,185,4.5,2312.,0.0
A055,05/07/2019,17,34.7,35.1,33.7,43,43,37,20.4,20.4,17.7,992.7,993.6,992.7,2.1,199,4.1,2797.,0.0
A055,05/07/2019,16,34.0,34.4,31.6,41,59,36,18.9,22.5,16.9,993.6,994.3,993.6,1.7,242,3.1,1844.,0.0
A055,05/07/2019,15,32.9,33.3,31.3,46,56,46,19.9,22.4,19.9,994.3,995.1,994.3,1.4,283,3.4,2065.,0.0
A055,05/07/2019,14,31.7,31.9,29.3,55,61,55,21.7,22.7,19.7,995.1,995.5,995.1,1.0,341,3.1,2491.,0.0
A055,05/07/2019,13,29.6,29.7,26.3,57,77,57,20.3,22.1,20.3,995.5,995.5,995.3,0.9,226,2.5,1785.,0.0
A055,05/07/2019,12,26.3,26.5,23.7,76,84,73,21.6,21.9,20.6,995.3,995.3,994.6,0.9,52,1.5,833.5,0.0
A055,05/07/2019,11,23.7,23.7,19.0,83,98,81,20.6,20.6,18.5,994.6,994.6,993.5,0.1,339,0.8,361.0,0.0
A055,05/07/2019,10,19.1,19.1,18.7,97,98,97,18.6,18.6,18.2,993.5,993.5,992.8,0.4,253,1.7,14.16,0.0
A055,05/07/2019,09,18.9,19.3,18.9,97,97,96,18.4,18.7,18.4,992.8,992.8,992.2,0.2,208,0.7,-3.20,0.0
A055,05/07/2019,08,19.2,19.7,19.2,97,98,97,18.8,19.4,18.8,992.2,992.2,992.0,0.2,167,0.5,-3.55,0.0
A055,05/07/2019,07,19.7,20.2,19.6,98,98,96,19.4,19.6,19.2,992.1,992.2,992.1,0.3,303,0.7,-3.47,0.0
A055,05/07/2019,06,20.2,20.3,19.8,96,97,95,19.6,19.7,19.1,992.1,992.2,992.0,0.5,308,1.7,-3.36,0.0
A055,05/07/2019,05,20.2,20.8,20.2,95,97,95,19.4,20.1,19.4,992.0,992.2,992.0,0.5,177,1.6,-3.39,0.0
A055,05/07/2019,04,20.8,21.3,20.6,96,97,95,20.1,20.5,19.9,992.2,992.2,992.0,0.5,337,1.2,-3.54,0.0
A055,05/07/2019,03,21.3,22.1,21.3,95,95,91,20.5,20.7,20.4,992.0,992.0,991.8,0.2,86,0.6,-3.59,0.0
A055,05/07/2019,02,22.1,22.5,22.0,92,94,92,20.7,21.4,20.7,991.8,991.8,991.2,0.3,223,0.8,-3.60,0.0
A055,05/07/2019,01,22.4,23.3,22.4,94,94,88,21.4,21.5,21.2,991.2,991.2,990.9,0.4,302,0.6,-3.60,0.0
A055,05/07/2019,00,23.3,24.2,23.3,89,89,86,21.3,21.8,21.3,990.9,990.9,990.3,0.2,185,0.6,-3.60,0.0
A055,06/07/2019,17,33.0,33.5,32.0,46,49,45,19.8,20.4,19.3,993.1,994.2,993.1,3.2,198,7.3,2786.,0.0
A055,06/07/2019,16,32.7,32.7,31.1,47,50,47,20.0,20.4,19.1,994.2,994.7,994.2,3.5,202,7.5,2926.,0.0
A055,06/07/2019,15,31.8,32.4,29.4,49,56,48,19.6,20.5,19.3,994.7,995.3,994.7,3.6,181,7.5,2817.,0.0
A055,06/07/2019,14,29.4,30.1,27.2,56,64,55,19.6,20.3,19.4,995.3,995.3,995.2,3.3,186,7.1,2481.,0.0
A055,06/07/2019,13,27.6,27.9,24.7,62,75,62,19.6,20.6,19.6,995.3,995.4,995.0,2.7,191,6.7,1928.,0.0
A055,06/07/2019,12,24.7,24.7,22.1,75,84,74,19.9,20.1,19.2,995.0,995.0,994.6,3.4,210,5.7,1183.,0.0
A055,06/07/2019,11,22.1,22.1,19.6,84,93,84,19.3,19.5,18.3,994.6,994.6,993.9,1.4,213,3.1,372.6,0.0
A055,06/07/2019,10,19.6,20.0,19.5,92,93,91,18.3,18.5,18.0,993.9,994.0,993.4,1.1,216,2.4,13.94,0.0
A055,06/07/2019,09,20.0,20.1,19.5,91,94,90,18.4,18.8,18.1,993.4,993.4,993.0,1.1,230,2.4,-3.54,0.0
A055,06/07/2019,08,19.5,19.5,18.3,94,97,93,18.5,18.5,17.5,993.0,993.0,992.8,1.4,220,3.3,-3.44,0.0
A055,06/07/2019,07,18.6,18.9,18.6,97,98,96,18.1,18.4,18.1,992.8,992.8,992.7,0.5,277,0.8,-3.50,0.0
A055,06/07/2019,06,18.9,19.2,18.8,97,98,95,18.4,18.7,18.3,992.8,992.9,992.6,0.3,20,2.3,-3.49,0.0
A055,06/07/2019,05,19.1,19.7,19.1,97,98,97,18.7,19.3,18.7,992.6,992.9,992.6,0.4,65,0.9,-3.55,0.0
A055,06/07/2019,04,19.7,20.3,19.6,97,97,95,19.2,19.8,19.0,992.9,993.2,992.9,0.1,42,0.4,-3.59,0.0
A055,06/07/2019,03,20.2,20.8,20.2,96,96,93,19.6,20.0,19.4,993.2,993.5,993.2,0.2,59,0.9,-3.56,0.0
A055,06/07/2019,02,20.8,21.6,20.7,95,97,94,20.0,20.8,19.8,993.5,993.5,993.3,0.2,218,0.5,-3.60,0.0
A055,06/07/2019,01,21.6,22.6,21.6,95,96,91,20.8,21.4,20.8,993.3,993.3,992.9,0.2,200,0.6,-3.60,0.0
A055,06/07/2019,00,22.6,23.5,22.6,91,95,91,21.1,22.3,21.1,992.9,992.9,992.3,0.3,201,0.5,-3.60,0.0
A055,06/07/2019,23,24.6,25.4,24.4,82,83,79,21.2,21.7,21.1,992.9,992.9,992.4,0.8,225,1.8,-3.60,0.0
A055,06/07/2019,22,25.4,29.7,25.4,80,80,60,21.7,22.0,20.9,992.4,992.4,992.2,0.5,246,2.7,0.205,0.0
A055,06/07/2019,21,29.7,32.4,29.7,60,60,47,21.1,21.4,19.8,992.2,992.2,992.0,1.5,232,4.1,272.4,0.0
A055,06/07/2019,20,32.4,33.6,32.4,47,49,45,19.8,20.4,19.6,992.0,992.0,991.7,2.1,207,5.7,1078.,0.0
A055,06/07/2019,19,33.3,33.9,33.0,46,47,40,20.1,20.5,17.9,991.7,992.0,991.7,2.4,206,6.9,1824.,0.0
A055,06/07/2019,18,33.4,34.0,32.6,43,46,42,19.2,20.1,18.9,992.0,993.1,992.0,3.4,170,6.9,2413.,0.0
A055,07/07/2019,23,24.4,26.5,24.4,81,81,73,20.8,21.3,20.8,993.1,993.1,992.3,0.7,230,2.1,-3.60,0.0
A055,07/07/2019,22,26.5,29.6,26.5,73,73,60,21.1,21.5,20.9,992.3,992.4,992.1,1.1,223,2.2,-0.08,0.0
A055,07/07/2019,21,29.6,32.2,29.6,60,60,48,21.0,21.0,19.6,992.1,992.1,991.7,1.0,240,3.5,279.4,0.0
A055,07/07/2019,20,32.1,32.8,32.0,48,48,45,19.8,19.9,18.7,991.7,991.7,991.6,2.0,224,5.1,1085.,0.0
A055,07/07/2019,19,32.5,33.3,32.3,45,47,43,19.0,19.6,18.6,991.6,992.0,991.6,2.8,221,4.6,1820.,0.0
A055,07/07/2019,18,32.7,33.4,31.7,43,46,43,18.6,19.5,18.1,992.0,992.7,992.0,2.1,180,5.2,2408.,0.0
A055,07/07/2019,17,32.0,32.3,30.6,44,47,43,18.3,18.7,17.8,992.7,993.8,992.7,2.0,189,5.1,2790.,0.0
A055,07/07/2019,16,30.6,31.0,29.2,47,50,46,18.0,18.2,17.2,993.8,994.5,993.8,2.4,158,5.9,2930.,0.0
A055,07/07/2019,15,29.3,29.3,26.8,49,53,48,17.6,17.6,16.1,994.5,995.1,994.5,2.6,161,5.9,2823.,0.0
A055,07/07/2019,14,27.4,27.4,24.4,52,57,51,16.5,16.7,14.9,995.1,995.4,995.1,2.5,168,5.4,2485.,0.0
A055,07/07/2019,13,24.5,24.7,21.7,56,62,56,15.0,15.5,13.9,995.3,995.4,995.1,2.6,179,5.4,1930.,0.0
A055,07/07/2019,12,22.0,22.2,19.7,61,71,61,14.0,14.6,13.8,995.1,995.1,994.6,2.3,199,5.5,1190.,0.0
A055,07/07/2019,11,19.8,19.8,16.2,70,91,70,14.3,14.8,13.8,994.6,994.6,994.0,1.8,182,4.0,371.2,0.0
A055,07/07/2019,10,16.3,17.7,16.3,90,90,79,14.6,14.6,14.0,994.0,994.0,993.5,0.4,80,2.1,11.37,0.0
A055,07/07/2019,09,17.5,19.1,17.5,82,83,73,14.4,14.6,14.0,993.6,993.6,993.3,0.9,208,2.5,-3.60,0.0
A055,07/07/2019,08,19.1,19.6,19.1,73,73,71,14.1,14.4,14.0,993.3,993.3,993.2,1.4,204,3.9,-3.60,0.0
A055,07/07/2019,07,19.6,20.3,19.4,72,74,71,14.4,15.0,14.4,993.3,993.6,993.3,1.7,210,3.4,-3.60,0.0
A055,07/07/2019,06,20.3,21.1,20.3,71,72,70,15.0,15.6,14.9,993.6,994.0,993.6,1.3,209,3.3,-3.60,0.0
A055,07/07/2019,05,21.1,22.3,21.1,71,71,69,15.6,16.7,15.5,994.0,994.4,994.0,1.4,205,4.1,-3.60,0.0
A055,07/07/2019,04,22.3,23.5,22.3,71,73,70,16.7,18.3,16.7,994.4,994.4,994.3,1.9,193,5.2,-3.60,0.0
A055,07/07/2019,03,23.5,24.4,23.4,73,75,72,18.3,19.8,18.2,994.3,994.3,994.2,2.0,212,6.5,-3.60,0.0
A055,07/07/2019,02,24.4,24.6,24.3,75,78,75,19.8,20.6,19.8,994.3,994.3,994.1,2.3,216,6.5,-3.60,0.0
A055,07/07/2019,01,24.6,24.8,23.7,78,84,78,20.6,21.0,20.6,994.1,994.1,993.5,1.7,222,3.6,-3.60,0.0
A055,07/07/2019,00,23.9,24.5,23.9,84,84,81,21.0,21.3,20.8,993.5,993.5,992.9,1.1,230,2.1,-3.60,0.0
A055,08/07/2019,01,23.1,23.5,22.9,83,84,83,20.0,20.5,20.0,994.7,994.7,993.9,1.3,224,2.2,-3.60,0.0
A055,08/07/2019,00,23.4,24.4,23.4,83,84,81,20.4,20.8,20.4,993.9,993.9,993.1,0.8,225,1.8,-3.60,0.0
A055,08/07/2019,23,24.6,26.2,24.6,88,88,81,22.4,22.9,22.4,993.9,993.9,993.6,0.4,35,0.9,-3.60,0.0
A055,08/07/2019,22,26.2,29.7,26.2,81,81,64,22.7,22.8,22.1,993.6,993.6,993.1,0.2,41,1.8,2.532,0.0
