codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A205,30/06/2019,00,26.8,28.2,26.8,52,52,45,16.1,16.5,15.3,991.2,991.2,990.5,0.0,145,2.1,-3.54,0.0
A205,30/06/2019,01,26.2,26.8,26.2,55,56,52,16.4,16.7,16.1,991.6,991.6,991.2,0.0,106,0.0,-3.54,0.0
A205,30/06/2019,02,25.6,26.3,25.3,59,60,55,17.0,17.0,16.3,991.9,991.9,991.5,1.4,111,2.9,-3.53,0.0
A205,30/06/2019,03,24.7,25.6,24.7,63,63,59,17.1,17.3,17.0,992.2,992.2,991.9,0.8,82,2.9,-3.54,0.0
A205,30/06/2019,04,24.8,24.9,24.7,62,63,61,16.9,17.1,16.8,991.9,992.2,991.9,0.0,45,2.2,-3.54,0.0
A205,30/06/2019,05,24.7,25.0,24.7,61,62,60,16.6,17.0,16.5,991.4,991.9,991.4,0.5,106,1.7,-3.54,0.0
A205,30/06/2019,06,23.5,24.7,23.5,67,67,61,17.0,17.0,16.5,990.8,991.4,990.8,0.9,114,2.4,-3.54,0.0
A205,30/06/2019,07,22.5,23.5,22.5,72,72,67,17.2,17.3,17.0,990.7,990.8,990.6,1.6,136,2.7,-3.54,0.0
A205,30/06/2019,08,22.4,22.5,22.2,71,73,71,17.0,17.2,17.0,991.2,991.2,990.7,1.1,168,2.9,-3.54,0.0
A205,30/06/2019,09,21.8,22.4,21.8,74,74,71,17.0,17.0,16.9,991.9,991.9,991.2,0.7,182,2.0,-3.54,0.0
A205,30/06/2019,10,23.0,23.0,21.5,70,76,70,17.2,17.3,17.0,992.5,992.5,991.8,0.0,63,1.6,64.59,0.0
A205,30/06/2019,11,24.7,24.7,22.9,63,70,63,17.2,17.5,16.4,993.2,993.2,992.5,1.5,120,3.0,666.1,0.0
A205,30/06/2019,12,28.1,28.1,24.5,52,64,52,17.3,17.7,17.0,993.5,993.5,993.2,2.7,118,5.4,1446.,0.0
A205,30/06/2019,13,30.4,30.4,28.1,44,52,44,16.7,17.5,16.3,993.3,993.5,993.3,4.3,116,10.4,2115.,0.0
A205,30/06/2019,14,31.6,32.3,30.4,38,44,36,15.6,16.7,15.0,992.8,993.3,992.8,4.0,112,9.4,2603.,0.0
A205,30/06/2019,15,33.0,33.3,31.7,33,38,33,14.7,16.2,14.7,992.0,992.8,992.0,4.3,108,8.7,2905.,0.0
A205,30/06/2019,16,33.9,34.3,32.7,32,34,31,14.7,15.8,14.4,991.1,992.0,991.1,3.7,127,9.0,3010.,0.0
A205,30/06/2019,17,34.6,35.1,33.3,30,33,29,14.6,15.3,14.1,990.0,991.1,990.0,3.2,104,9.0,2904.,0.0
A205,30/06/2019,18,34.5,35.2,33.2,31,32,30,15.0,15.4,14.2,989.4,990.0,989.4,2.7,108,7.4,2226.,0.0
A205,30/06/2019,19,33.9,35.2,33.1,32,34,30,15.0,15.3,14.5,988.9,989.4,988.9,2.1,112,6.4,1558.,0.0
A205,30/06/2019,20,33.6,34.5,33.2,33,33,31,15.0,15.3,14.6,989.3,989.3,988.9,1.9,126,6.7,1100.,0.0
A205,30/06/2019,21,31.7,33.6,31.7,38,38,32,15.5,15.5,14.5,989.5,989.5,989.2,1.1,120,4.8,319.1,0.0
A205,30/06/2019,22,29.8,31.7,29.8,44,44,38,16.1,16.1,15.5,989.9,989.9,989.5,1.0,133,2.3,-2.93,0.0
A205,30/06/2019,23,28.3,29.8,28.3,49,49,44,16.7,16.7,16.1,990.6,990.6,990.0,0.6,94,2.0,-3.54,0.0
A205,01/07/2019,09,22.3,22.4,22.2,75,76,75,17.8,17.8,17.7,991.5,991.5,991.0,0.1,71,1.9,-3.50,0.0
A205,01/07/2019,23,29.0,30.4,29.0,45,45,41,15.9,16.2,15.6,989.9,990.0,989.4,1.0,122,1.5,-3.54,0.0
A205,01/07/2019,10,21.8,22.4,21.6,80,80,75,18.1,18.2,17.8,992.2,992.2,991.5,0.1,166,2.0,52.45,0.0
A205,01/07/2019,22,30.4,32.2,30.4,41,41,35,15.7,15.7,14.8,989.4,989.4,989.0,0.3,113,1.7,-3.27,0.0
A205,01/07/2019,18,33.7,35.2,33.5,32,32,30,14.6,15.3,14.1,989.0,989.7,989.0,3.0,121,8.6,2046.,0.0
A205,01/07/2019,17,34.1,34.9,33.5,30,32,30,14.3,15.5,14.1,989.7,990.9,989.7,3.3,134,8.4,2438.,0.0
A205,01/07/2019,08,22.4,23.0,22.1,75,79,73,17.8,18.3,17.8,991.0,991.0,990.8,1.2,60,2.6,-3.50,0.0
A205,01/07/2019,07,22.1,23.4,21.7,79,82,72,18.3,18.6,18.0,990.9,991.0,990.5,1.3,78,2.7,-3.54,0.0
A205,01/07/2019,21,32.2,34.0,32.2,35,35,30,14.8,14.9,14.1,989.0,989.0,988.6,0.1,121,5.6,311.7,0.0
A205,01/07/2019,16,33.9,34.5,33.5,32,35,31,14.9,16.1,14.4,990.9,991.9,990.9,4.2,103,8.4,3036.,0.0
A205,01/07/2019,06,22.7,24.1,22.7,77,79,70,18.6,19.1,18.2,990.6,990.7,990.6,1.3,129,2.9,-3.54,0.0
A205,01/07/2019,05,24.0,25.0,24.0,71,71,63,18.4,18.4,17.5,990.7,991.4,990.7,1.5,213,2.9,-3.54,0.0
A205,01/07/2019,15,33.5,33.5,32.2,35,39,35,15.9,17.1,15.6,991.9,992.9,991.9,4.0,94,9.5,2903.,0.0
A205,01/07/2019,04,25.0,25.5,25.0,63,66,63,17.5,18.4,17.5,991.4,992.0,991.4,0.7,85,2.4,-3.54,0.0
A205,01/07/2019,03,25.2,25.7,25.2,64,66,63,17.9,18.7,17.8,992.0,992.1,992.0,0.0,73,1.8,-3.54,0.0
A205,01/07/2019,20,34.0,34.7,33.9,30,31,29,14.2,14.6,13.7,988.6,988.6,988.4,2.5,119,5.9,1124.,0.0
A205,01/07/2019,14,32.2,32.5,30.7,39,43,39,16.6,17.1,16.4,992.9,993.6,992.9,4.0,107,9.6,2599.,0.0
A205,01/07/2019,02,25.7,26.6,25.3,63,67,58,18.2,18.6,17.6,992.0,992.0,991.8,0.0,68,1.6,-3.54,0.0
A205,01/07/2019,01,26.6,27.0,26.6,58,58,55,17.6,17.6,17.2,991.8,991.8,991.3,0.1,117,2.3,-3.54,0.0
A205,01/07/2019,13,30.7,31.2,29.3,42,48,41,16.4,17.5,16.3,993.6,993.7,993.5,4.5,119,9.1,2112.,0.0
A205,01/07/2019,00,26.9,28.3,26.9,56,56,49,17.4,17.4,16.7,991.3,991.3,990.6,1.0,48,1.9,-3.54,0.0
