codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A224,30/06/2019,00,20.5,22.3,20.5,80,80,77,17.0,18.2,16.9,991.3,991.3,990.6,0.6,152,1.7,-3.54,0.0
A224,30/06/2019,01,20.1,20.9,20.1,83,85,79,17.0,17.8,16.8,991.6,991.6,991.3,0.0,148,2.1,-3.48,0.0
A224,30/06/2019,02,20.0,20.2,19.8,85,86,82,17.5,17.6,16.9,991.8,991.8,991.6,0.0,143,0.0,-3.52,0.0
A224,30/06/2019,03,20.3,20.4,20.0,85,85,84,17.7,17.7,17.2,992.4,992.4,991.8,0.0,231,0.0,-3.06,0.0
A224,30/06/2019,04,19.5,20.3,19.1,87,87,85,17.2,17.7,16.8,992.0,992.4,992.0,0.0,180,0.0,-3.54,0.0
A224,30/06/2019,05,18.5,19.6,18.5,87,87,85,16.2,17.3,16.2,991.4,992.0,991.3,0.0,322,1.3,-3.54,0.0
A224,30/06/2019,06,18.0,18.6,18.0,89,89,87,16.1,16.7,16.0,990.8,991.4,990.8,0.0,135,0.0,-3.54,0.0
A224,30/06/2019,07,17.4,18.0,17.3,89,89,88,15.5,16.2,15.4,990.7,990.8,990.7,0.0,115,0.0,-3.54,0.0
A224,30/06/2019,08,16.5,17.7,16.5,89,90,88,14.6,16.0,14.6,991.1,991.1,990.7,0.0,135,0.0,-3.54,0.0
A224,30/06/2019,09,16.6,17.1,16.4,90,91,89,15.0,15.6,14.6,991.6,991.6,991.1,0.0,145,0.0,-3.53,0.0
A224,30/06/2019,10,18.2,18.2,16.4,89,91,89,16.3,16.3,14.8,992.5,992.5,991.6,0.0,93,0.6,79.61,0.0
A224,30/06/2019,11,22.9,22.9,18.2,83,89,83,19.9,19.9,16.3,993.0,993.0,992.5,0.1,350,1.2,599.7,0.0
A224,30/06/2019,12,26.9,26.9,22.8,64,83,64,19.5,20.4,19.1,993.3,993.3,993.0,1.4,87,3.2,1446.,0.0
A224,30/06/2019,13,30.2,30.4,26.9,48,64,48,18.1,20.0,18.1,993.1,993.3,993.1,6.6,114,10.1,2118.,0.0
A224,30/06/2019,14,31.6,31.8,30.2,44,48,43,17.7,18.4,17.2,992.7,993.1,992.7,5.3,94,10.8,2642.,0.0
A224,30/06/2019,15,33.1,33.1,31.5,40,44,39,17.7,18.0,16.8,991.9,992.7,991.9,3.7,112,8.9,2921.,0.0
A224,30/06/2019,16,33.7,34.1,32.8,36,40,35,16.7,17.2,15.8,991.0,991.9,991.0,4.6,123,8.5,2819.,0.0
A224,30/06/2019,17,33.8,34.7,32.0,36,39,34,16.5,17.5,15.6,990.0,991.0,990.0,3.8,103,8.6,2668.,0.0
