codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A225,30/06/2019,00,25.8,27.4,25.7,58,58,50,16.7,16.7,16.0,998.8,998.8,998.0,0.6,67,2.1,-3.54,0.0
A225,30/06/2019,01,24.2,25.8,24.0,62,62,58,16.5,16.9,15.8,999.1,999.1,998.8,0.0,215,2.1,-3.54,0.0
A225,30/06/2019,02,23.3,24.2,23.3,67,67,62,16.8,16.9,16.2,999.4,999.4,999.1,0.0,129,0.0,-3.54,0.0
A225,30/06/2019,03,22.7,23.3,22.5,71,71,67,17.1,17.1,16.4,999.7,999.7,999.4,0.0,220,0.0,-3.54,0.0
A225,30/06/2019,04,22.0,22.7,21.9,73,73,71,17.0,17.1,16.6,999.1,999.7,999.1,0.0,76,0.0,-3.54,0.0
A225,30/06/2019,05,20.8,22.1,20.6,75,75,73,16.3,17.2,15.9,998.5,999.1,998.5,0.1,175,1.3,-3.54,0.0
A225,30/06/2019,06,21.5,21.5,20.7,78,78,75,17.6,17.6,16.4,998.2,998.5,998.1,0.0,150,1.3,-3.54,0.0
A225,30/06/2019,07,21.2,21.6,21.2,80,80,78,17.6,17.9,17.5,998.0,998.2,998.0,0.0,147,0.6,-3.50,0.0
A225,30/06/2019,08,21.1,21.4,21.0,81,81,80,17.7,18.0,17.5,998.4,998.4,998.0,0.0,172,1.4,-3.54,0.0
A225,30/06/2019,09,20.7,21.2,20.7,82,82,81,17.6,17.9,17.5,999.0,999.0,998.4,0.0,143,1.9,-3.54,0.0
A225,30/06/2019,10,21.4,21.4,20.5,83,83,82,18.3,18.3,17.4,999.6,999.6,999.0,0.0,151,0.9,43.48,0.0
A225,30/06/2019,11,23.5,23.5,21.4,81,83,81,20.1,20.1,18.3,1000.3,1000.3,999.6,0.8,183,2.2,126.9,0.0
A225,30/06/2019,12,27.6,27.6,23.5,73,81,73,22.4,22.4,20.2,1000.4,1000.5,1000.3,0.0,177,1.9,1278.,0.0
A225,30/06/2019,13,31.7,31.7,27.6,60,73,60,22.9,23.6,22.1,1000.2,1000.5,1000.2,3.0,117,8.6,2080.,0.0
A225,30/06/2019,14,32.0,32.7,31.3,47,60,47,19.4,22.7,19.4,999.9,1000.2,999.9,4.9,92,10.7,2546.,0.0
A225,30/06/2019,15,32.8,32.9,31.6,43,48,43,18.6,20.0,18.2,999.3,999.9,999.2,4.8,89,10.4,2752.,0.0
A225,30/06/2019,16,33.5,33.8,32.0,40,43,40,18.1,18.8,17.3,998.1,999.3,998.1,4.2,67,9.5,2858.,0.0
A225,30/06/2019,17,33.2,34.2,32.1,39,40,38,17.6,18.3,16.2,997.3,998.1,997.3,2.3,113,7.5,2406.,0.0
A225,30/06/2019,18,33.3,34.3,32.4,37,39,37,16.7,17.9,15.9,996.7,997.3,996.7,2.6,83,6.2,1625.,0.0
A225,30/06/2019,19,32.2,34.4,32.2,37,37,35,15.8,17.6,15.7,996.5,996.7,996.4,2.5,104,6.0,1570.,0.0
A225,30/06/2019,20,32.7,33.4,32.2,38,38,36,16.5,16.9,15.8,996.8,996.8,996.5,1.3,75,6.5,837.0,0.0
A225,30/06/2019,21,30.9,32.9,30.9,42,42,38,16.4,16.8,16.2,997.2,997.2,996.7,1.7,72,5.0,289.2,0.0
A225,30/06/2019,22,28.4,30.9,28.4,50,50,42,16.9,16.9,16.4,997.5,997.5,997.2,0.1,53,3.2,-3.06,0.0
A225,30/06/2019,23,27.3,28.4,27.3,55,55,50,17.6,17.6,16.9,998.3,998.3,997.5,0.9,65,2.3,-3.54,0.0
A225,01/07/2019,09,20.7,21.0,20.2,84,84,82,17.8,17.9,17.2,998.6,998.6,998.2,0.0,151,1.8,-3.54,0.0
A225,01/07/2019,08,21.0,21.4,20.4,82,82,81,17.9,18.2,17.0,998.3,998.3,997.9,0.1,157,1.1,-3.53,0.0
A225,01/07/2019,17,35.6,35.6,33.8,33,38,33,16.7,18.3,16.0,996.6,997.8,996.6,2.2,123,7.1,2752.,0.0
A225,01/07/2019,23,28.1,29.2,28.1,50,50,45,16.8,16.8,15.7,997.4,997.4,996.8,0.0,50,1.8,-3.54,0.0
A225,01/07/2019,21,31.9,34.0,31.9,35,35,32,14.5,15.2,14.4,996.2,996.2,996.0,0.5,114,4.7,231.1,0.0
A225,01/07/2019,16,34.4,34.6,33.2,38,46,38,18.1,20.2,18.0,997.8,999.0,997.8,2.6,113,6.6,2813.,0.0
A225,01/07/2019,07,20.8,21.2,20.6,81,81,79,17.4,17.6,16.8,997.9,997.9,997.8,0.0,218,0.0,-3.54,0.0
A225,01/07/2019,06,21.2,21.9,21.0,79,79,77,17.3,17.8,17.0,997.8,998.3,997.8,0.0,45,0.0,-3.54,0.0
A225,01/07/2019,20,33.9,35.2,33.0,32,33,31,15.1,15.6,13.9,996.0,996.0,995.8,0.8,133,6.2,927.5,0.0
A225,01/07/2019,15,33.4,33.5,31.9,46,55,46,20.0,22.4,19.6,999.0,999.9,999.0,2.6,111,6.7,2750.,0.0
A225,01/07/2019,05,21.8,22.7,21.7,77,77,76,17.6,18.3,17.4,998.3,999.1,998.3,0.0,49,0.0,-3.54,0.0
A225,01/07/2019,04,22.5,22.8,22.3,76,76,74,18.0,18.1,17.4,999.1,999.6,999.1,0.0,33,0.0,-3.54,0.0
A225,01/07/2019,14,32.4,32.5,30.2,55,69,55,22.3,23.9,22.0,999.9,1000.4,999.9,2.5,116,5.7,2515.,0.0
A225,01/07/2019,03,22.8,23.4,22.4,74,74,70,17.8,17.9,17.2,999.6,999.7,999.6,0.0,42,1.0,-3.54,0.0
A225,01/07/2019,02,23.2,24.1,23.1,70,70,66,17.5,17.9,16.4,999.7,999.7,999.3,0.0,278,0.2,-3.54,0.0
