codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A233,30/06/2019,00,23.6,25.2,23.6,71,72,67,18.1,18.7,18.1,992.4,992.4,991.7,0.5,147,1.3,-3.54,0.0
A233,30/06/2019,01,23.2,23.9,22.0,74,77,70,18.3,18.5,17.6,993.1,993.1,992.4,1.0,103,1.6,-3.54,0.0
A233,30/06/2019,02,22.2,23.5,22.2,76,76,72,17.7,18.3,17.6,993.2,993.2,993.1,0.0,155,1.6,-3.54,0.0
A233,30/06/2019,03,21.0,22.2,20.6,81,84,75,17.6,18.1,16.9,993.1,993.2,993.0,0.0,213,1.7,-3.54,0.0
A233,30/06/2019,04,21.0,21.3,20.8,80,82,79,17.5,17.8,17.4,993.0,993.1,992.7,0.3,301,1.3,-3.54,0.0
A233,30/06/2019,05,19.5,21.1,19.5,81,83,79,16.1,17.7,16.1,992.5,993.0,992.5,0.1,266,1.6,-3.54,0.0
A233,30/06/2019,06,18.8,19.5,18.3,88,89,81,16.8,16.9,15.9,992.1,992.5,992.1,1.7,243,2.5,-3.54,0.0
A233,30/06/2019,07,19.7,20.1,18.8,83,89,83,16.8,17.4,16.8,992.3,992.3,992.0,0.8,327,2.5,-3.54,0.0
A233,30/06/2019,08,18.1,19.7,17.9,88,89,83,16.0,16.8,16.0,992.5,992.7,992.2,0.4,273,3.4,-3.54,0.0
A233,30/06/2019,09,18.4,18.4,18.1,89,90,87,16.6,16.6,16.0,992.8,992.8,992.4,0.3,266,1.3,-3.54,0.0
A233,30/06/2019,10,18.7,18.7,18.2,89,89,89,16.9,16.9,16.4,993.6,993.6,992.7,0.1,340,1.2,11.27,0.0
A233,30/06/2019,11,21.8,21.8,18.7,79,89,78,17.9,18.0,16.9,994.3,994.3,993.6,0.6,359,2.0,504.8,0.0
A233,30/06/2019,12,25.3,25.3,21.8,63,79,63,17.7,18.9,17.3,994.6,994.7,994.3,0.3,168,1.9,1046.,0.0
A233,30/06/2019,13,28.2,28.2,25.3,51,63,51,17.1,18.3,16.9,994.7,994.8,994.6,1.6,119,3.2,1951.,0.0
A233,30/06/2019,14,31.0,31.2,28.2,40,51,40,15.8,17.5,15.8,994.4,994.7,994.4,4.1,105,7.4,2415.,0.0
A233,30/06/2019,15,32.1,33.3,30.7,35,40,33,14.6,16.4,14.3,993.8,994.4,993.8,3.4,102,7.3,2587.,0.0
A233,30/06/2019,16,34.3,34.4,32.1,29,36,29,13.8,15.7,13.5,992.6,993.7,992.6,3.7,102,9.3,2684.,0.0
A233,30/06/2019,17,34.1,35.2,33.2,28,31,28,13.2,14.3,12.2,991.5,992.6,991.5,2.9,126,9.7,2582.,0.0
A233,30/06/2019,18,34.2,35.0,33.4,29,30,28,13.6,14.0,13.0,990.6,991.5,990.6,3.1,102,8.1,2050.,0.0
A233,30/06/2019,19,34.1,35.1,33.6,27,29,26,12.7,13.8,11.8,990.2,990.6,990.2,2.9,99,8.2,1837.,0.0
A233,30/06/2019,20,33.2,34.5,33.2,29,29,26,12.6,12.7,11.8,990.5,990.5,990.2,3.3,111,6.4,1175.,0.0
A233,30/06/2019,21,31.5,33.3,31.5,36,36,28,14.6,14.6,12.2,990.8,990.8,990.5,1.4,106,5.6,345.7,0.0
A233,30/06/2019,22,27.4,31.5,27.4,51,53,35,16.4,17.0,14.1,991.2,991.2,990.8,1.1,151,3.0,-0.06,0.0
A233,30/06/2019,23,26.0,27.8,26.0,56,57,50,16.7,17.6,16.4,991.9,991.9,991.2,0.0,177,1.6,-3.54,0.0
A233,01/07/2019,18,34.3,35.0,33.9,30,30,28,14.1,14.3,13.4,990.2,991.4,990.2,3.5,112,7.9,2241.,0.0
A233,01/07/2019,10,18.7,18.7,18.2,88,90,88,16.6,16.8,16.4,993.3,993.3,992.8,1.0,255,2.4,18.26,0.0
A233,01/07/2019,09,18.7,19.0,18.7,89,89,88,16.9,17.1,16.9,992.8,992.8,992.3,1.0,260,1.6,-3.54,0.0
A233,01/07/2019,22,27.8,30.3,27.8,54,54,45,17.5,17.6,17.1,990.6,990.6,976.0,1.0,173,2.6,0.792,0.0
A233,01/07/2019,23,26.4,27.8,26.4,58,59,54,17.6,17.9,17.4,991.0,991.0,990.5,0.1,173,1.6,-3.54,0.0
A233,01/07/2019,17,34.1,34.9,33.5,29,32,28,13.6,15.0,13.1,991.3,992.5,991.3,3.9,100,7.8,2655.,0.0
A233,01/07/2019,08,18.9,19.2,18.9,88,88,86,16.9,17.0,16.7,992.3,992.4,992.3,0.5,246,1.5,-3.54,0.0
A233,01/07/2019,07,19.2,19.7,19.2,86,86,84,16.7,17.1,16.7,992.3,992.3,992.0,0.7,250,2.3,-3.54,0.0
A233,01/07/2019,21,30.3,33.4,30.3,45,45,32,17.1,17.1,14.3,989.9,990.3,989.9,1.2,167,3.6,345.6,0.0
A233,01/07/2019,16,34.0,34.4,32.8,32,33,30,14.9,15.1,13.8,992.5,993.6,992.5,3.9,127,7.5,2656.,0.0
A233,01/07/2019,06,19.7,20.9,19.6,85,85,78,17.1,17.2,16.8,992.1,992.6,992.1,0.8,227,1.7,-3.54,0.0
A233,01/07/2019,05,20.9,22.6,20.9,78,79,71,16.9,17.3,16.7,992.6,993.0,992.6,0.1,288,1.2,-3.54,0.0
A233,01/07/2019,15,33.5,33.7,31.4,32,40,31,14.4,16.7,13.8,993.6,994.4,993.6,4.3,110,7.5,2551.,0.0
A233,01/07/2019,04,22.6,22.6,21.7,71,77,71,17.1,17.7,17.1,993.0,993.2,993.0,0.1,329,2.5,-3.54,0.0
A233,01/07/2019,03,21.7,22.8,21.5,75,75,71,17.1,17.5,16.9,993.2,993.4,993.2,0.0,277,0.9,-3.54,0.0
A233,01/07/2019,20,33.4,34.3,33.3,32,32,30,14.2,14.6,14.0,989.9,989.9,989.8,2.2,122,4.8,1170.,0.0
A233,01/07/2019,14,31.7,31.8,28.8,38,46,38,15.7,17.0,15.5,994.4,994.9,994.4,3.2,125,6.5,2380.,0.0
A233,01/07/2019,02,22.8,23.8,22.8,70,72,67,17.2,17.6,16.9,993.3,993.3,992.9,0.0,144,1.1,-3.54,0.0
A233,01/07/2019,01,23.4,24.5,23.4,67,68,63,16.9,17.6,16.6,992.9,992.9,992.6,0.6,138,1.2,-3.54,0.0
A233,01/07/2019,13,28.8,29.5,25.2,46,64,45,15.9,18.3,15.9,994.9,995.0,994.8,3.2,139,5.4,1945.,0.0
A233,01/07/2019,00,24.4,26.0,24.4,65,65,56,17.3,17.6,16.5,992.6,992.6,991.9,0.0,104,0.3,-3.54,0.0
A233,01/07/2019,19,34.0,34.5,33.6,30,31,29,14.1,14.6,13.5,989.8,990.3,989.8,2.5,132,7.9,1802.,0.0
A233,01/07/2019,12,25.4,25.4,21.7,63,77,63,17.9,18.3,17.5,994.8,994.8,994.2,1.4,194,2.9,1283.,0.0
A233,01/07/2019,11,21.7,21.7,18.7,77,88,77,17.5,17.5,16.6,994.2,994.2,993.3,1.2,283,2.0,549.2,0.0
A233,02/07/2019,18,34.6,35.6,34.1,26,28,25,12.5,13.4,12.0,988.3,989.1,986.0,2.9,118,7.1,2275.,0.0
A233,02/07/2019,17,35.0,35.1,33.8,26,28,26,12.7,13.5,12.1,989.1,990.0,989.1,2.9,112,8.0,2615.,0.0
A233,02/07/2019,16,34.3,35.3,33.3,27,31,26,12.4,14.4,11.9,990.0,991.0,983.2,3.8,93,7.8,2647.,0.0
A233,02/07/2019,15,33.8,33.9,32.3,31,34,30,14.2,14.7,13.7,991.0,991.8,991.0,2.0,132,5.4,2512.,0.0
A233,02/07/2019,14,32.3,32.7,28.7,34,51,33,14.4,18.1,14.1,991.8,992.2,990.0,2.6,134,4.8,2320.,0.0
A233,02/07/2019,13,28.7,28.7,24.9,51,66,50,17.7,18.4,16.4,992.1,992.4,991.1,0.5,166,2.4,1859.,0.0
A233,02/07/2019,12,24.9,25.0,21.2,65,81,65,18.0,18.6,17.7,992.4,992.4,990.7,1.1,227,2.2,1217.,0.0
A233,02/07/2019,11,21.4,21.5,19.3,80,87,78,17.7,17.8,17.1,991.6,991.6,991.2,0.8,252,1.6,452.9,0.0
A233,02/07/2019,10,19.3,19.4,19.0,87,88,86,17.1,17.2,16.8,991.2,991.2,990.9,0.6,331,1.3,12.24,0.0
A233,02/07/2019,09,19.2,19.8,19.2,86,86,85,16.9,17.3,16.8,990.9,990.9,990.4,0.0,354,2.0,-3.54,0.0
A233,02/07/2019,08,19.8,19.8,19.3,86,89,86,17.3,17.6,17.3,990.5,990.5,990.2,0.9,306,2.0,-3.54,0.0
A233,02/07/2019,07,19.3,20.1,19.0,89,89,83,17.5,17.5,17.0,990.2,990.4,990.2,0.5,244,1.8,-3.54,0.0
A233,02/07/2019,06,20.2,22.0,20.2,83,83,78,17.2,18.0,17.0,990.4,991.0,990.4,1.0,274,1.4,-3.54,0.0
A233,02/07/2019,05,22.0,22.4,21.8,78,80,77,18.0,18.4,18.0,991.0,991.4,991.0,0.2,309,1.0,-3.54,0.0
A233,02/07/2019,04,22.1,22.1,21.3,79,83,79,18.2,18.4,18.1,991.5,991.8,991.5,0.0,313,1.2,-3.54,0.0
A233,02/07/2019,03,21.7,22.5,21.6,81,81,76,18.2,18.3,17.9,991.7,992.0,990.5,0.5,234,1.2,-3.54,0.0
A233,02/07/2019,02,22.5,24.6,22.5,76,76,68,18.1,18.7,17.9,992.0,992.0,991.9,0.1,171,0.7,-3.54,0.0
A233,02/07/2019,01,24.4,24.8,24.3,68,69,67,18.2,18.6,18.0,991.9,992.0,991.5,0.1,50,0.9,-3.54,0.0
A233,02/07/2019,00,24.5,26.4,24.5,67,67,58,17.9,18.0,17.3,991.5,991.5,991.0,0.0,130,0.9,-3.54,0.0
A233,02/07/2019,23,26.8,28.1,26.8,58,58,52,17.9,18.0,17.2,989.0,989.0,988.5,0.2,24,1.4,-3.54,0.0
A233,02/07/2019,22,28.0,31.0,28.0,55,55,43,18.2,18.4,16.8,988.5,988.5,988.3,0.5,123,1.8,0.392,0.0
A233,02/07/2019,21,31.0,33.3,31.0,43,43,33,16.8,16.8,14.8,988.3,988.3,988.1,1.0,127,3.6,336.2,0.0
A233,02/07/2019,20,33.2,34.1,33.0,33,34,31,14.9,15.3,14.1,988.1,988.1,988.0,2.2,132,4.9,789.7,0.0
A233,02/07/2019,19,34.1,35.5,34.0,31,31,26,14.7,14.7,12.4,988.0,988.3,988.0,3.1,140,6.1,1828.,0.0
A233,03/07/2019,10,18.4,18.5,18.2,89,90,89,16.5,16.7,16.4,990.3,990.3,990.0,1.0,270,2.1,15.36,0.0
A233,03/07/2019,09,18.2,19.1,18.2,89,89,87,16.4,16.9,16.4,990.0,990.0,989.7,1.0,242,1.5,-3.54,0.0
A233,03/07/2019,08,19.0,19.5,18.9,87,88,86,16.8,17.2,16.8,989.7,989.7,989.3,0.8,272,1.6,-3.54,0.0
A233,03/07/2019,07,19.4,19.4,18.6,87,89,85,17.2,17.2,16.5,989.3,989.3,989.2,0.8,270,1.5,-3.54,0.0
A233,03/07/2019,06,19.3,20.9,19.2,85,86,80,16.8,17.5,16.4,989.3,989.6,989.3,0.0,283,1.0,-3.54,0.0
A233,03/07/2019,05,20.3,20.8,19.7,83,84,79,17.2,17.4,16.7,989.6,990.1,989.6,0.3,322,1.2,-3.54,0.0
A233,03/07/2019,04,20.8,21.4,20.8,79,82,79,17.1,18.0,17.1,990.1,990.3,990.1,0.0,304,0.9,-3.54,0.0
A233,03/07/2019,03,21.4,22.7,20.9,80,82,76,17.8,18.9,17.5,990.2,990.3,990.2,0.0,275,2.4,-3.54,0.0
A233,03/07/2019,02,22.1,22.8,22.0,80,82,75,18.4,18.7,18.1,990.2,990.3,989.9,0.0,355,0.8,-3.54,0.0
