codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A241,30/06/2019,19,33.6,33.9,33.5,32,33,31,14.7,15.2,14.1,990.5,991.0,990.5,2.2,122,5.5,1843.,0.0
A241,11/07/2019,23,25.3,27.0,25.3,70,70,63,19.5,20.0,19.3,992.3,992.3,991.8,0.9,283,1.6,-3.54,0.0
A241,11/07/2019,22,27.0,31.4,27.0,63,63,44,19.3,20.0,18.2,991.8,991.8,991.2,0.5,315,1.4,0.385,0.0
A241,11/07/2019,18,34.4,34.4,33.3,32,37,32,15.5,16.6,15.3,991.2,991.9,991.2,1.9,67,6.4,2497.,0.0
A241,11/07/2019,17,33.3,33.7,33.1,36,37,34,16.0,16.9,15.5,991.9,992.9,991.9,3.1,124,6.6,2848.,0.0
A241,11/07/2019,21,31.4,33.2,31.4,44,46,35,17.7,18.6,15.6,991.2,991.2,990.8,0.6,83,3.5,379.8,0.0
A241,11/07/2019,16,33.2,33.3,32.4,36,39,35,16.2,16.8,15.7,992.9,993.8,992.9,2.7,97,7.9,2963.,0.0
A241,11/07/2019,19,33.9,34.4,33.5,35,37,33,16.2,16.8,15.3,990.8,991.2,990.8,1.6,91,5.2,1786.,0.0
A241,11/07/2019,20,33.0,34.0,33.0,35,38,33,15.6,17.1,15.4,990.8,990.8,990.7,1.3,88,3.9,1102.,0.0
A241,12/07/2019,18,34.4,34.6,33.6,32,34,32,15.3,16.1,15.0,991.3,991.8,991.3,2.1,91,6.1,2413.,0.0
A241,12/07/2019,02,22.6,23.5,22.5,82,82,78,19.3,19.5,19.2,992.9,993.1,992.9,0.7,293,1.0,-3.54,0.0
A241,12/07/2019,01,23.5,24.1,23.5,78,79,76,19.6,19.8,19.4,993.1,993.1,992.8,0.7,310,1.3,-3.52,0.0
A241,12/07/2019,17,34.2,34.2,33.3,34,37,32,16.2,16.6,14.9,991.8,992.5,991.8,1.9,104,6.8,2777.,0.0
A241,12/07/2019,00,24.1,25.2,24.1,77,77,70,19.8,20.2,19.5,992.8,992.9,992.3,0.7,293,1.4,-3.54,0.0
A241,12/07/2019,16,33.4,34.0,32.3,37,41,35,16.8,17.2,16.0,992.5,993.5,992.5,2.4,104,6.4,2919.,0.0
A241,12/07/2019,15,32.8,32.8,30.9,39,46,39,17.0,17.8,16.8,993.5,994.4,993.5,2.7,120,5.8,2742.,0.0
A241,12/07/2019,14,31.0,31.0,28.6,44,51,44,17.4,18.0,17.2,994.4,994.7,994.4,2.2,113,4.6,2469.,0.0
A241,12/07/2019,13,28.6,28.6,26.2,51,58,51,17.6,17.7,16.3,994.7,994.8,994.7,1.3,82,3.4,1971.,0.0
A241,12/07/2019,23,26.2,28.1,26.2,68,68,58,20.0,20.1,18.9,992.7,992.7,992.1,0.8,318,1.5,-3.54,0.0
A241,12/07/2019,12,26.2,26.2,23.1,56,72,55,16.8,17.9,16.1,994.8,994.8,994.2,1.4,86,3.4,1268.,0.0
A241,12/07/2019,11,23.1,23.1,19.0,72,90,72,17.8,18.4,17.3,994.2,994.2,993.0,1.4,27,3.2,449.4,0.0
A241,12/07/2019,22,28.1,32.4,28.1,58,59,42,18.9,19.4,17.5,992.1,992.1,991.7,0.8,310,1.7,0.818,0.0
A241,12/07/2019,10,19.0,19.0,18.9,90,91,90,17.3,17.5,17.3,993.0,993.0,992.2,1.1,354,1.4,17.59,0.0
A241,12/07/2019,09,19.0,19.4,18.9,91,92,89,17.4,17.9,17.1,992.2,992.2,991.8,0.5,300,0.9,-3.53,0.0
A241,12/07/2019,21,32.4,33.8,32.4,43,43,34,18.2,18.2,15.7,991.7,991.7,991.3,0.5,83,3.0,480.9,0.0
A241,12/07/2019,08,19.2,19.9,19.2,89,91,88,17.3,18.0,17.3,991.8,991.8,991.6,0.5,340,1.5,-3.54,0.0
A241,12/07/2019,07,19.7,20.2,19.7,89,89,88,17.9,18.4,17.9,991.7,991.9,991.7,0.8,331,1.1,-3.54,0.0
A241,12/07/2019,20,33.6,34.6,33.6,35,35,32,15.8,16.3,15.1,991.3,991.3,991.2,1.4,109,3.8,1195.,0.0
A241,12/07/2019,06,20.2,21.0,20.2,89,89,86,18.3,18.7,18.2,991.9,992.4,991.9,0.7,314,1.2,-3.54,0.0
A241,12/07/2019,05,21.0,21.6,21.0,86,87,84,18.7,18.8,18.5,992.4,992.9,992.4,0.5,325,1.4,-3.54,0.0
A241,12/07/2019,19,34.3,34.7,34.2,34,34,32,16.1,16.1,15.2,991.2,991.3,991.1,1.7,95,5.2,1890.,0.0
A241,12/07/2019,04,21.6,22.1,21.6,84,84,82,18.7,19.0,18.6,992.9,993.1,992.9,0.7,291,2.1,-3.54,0.0
A241,12/07/2019,03,22.1,22.6,22.0,82,83,82,19.0,19.3,19.0,993.1,993.3,992.9,1.2,301,3.0,-3.45,0.0
A241,13/07/2019,23,24.7,27.2,24.7,71,71,58,19.1,19.2,18.2,992.1,992.1,991.6,1.1,285,1.5,-3.54,0.0
A241,13/07/2019,22,27.2,31.7,27.2,58,58,39,18.3,18.6,15.8,991.6,991.6,991.3,0.9,292,2.5,1.212,0.0
A241,13/07/2019,21,31.7,33.6,31.7,39,39,31,16.2,16.2,14.2,991.4,991.4,991.1,1.3,157,5.0,416.6,0.0
A241,13/07/2019,20,33.5,34.2,33.5,31,33,28,14.2,15.0,12.9,991.1,991.1,990.9,2.5,164,5.8,1210.,0.0
A241,13/07/2019,19,34.0,34.7,34.0,30,32,29,14.1,15.2,13.7,991.0,991.6,991.0,2.9,130,6.0,1910.,0.0
A241,13/07/2019,18,34.5,34.5,33.3,31,38,30,15.0,17.0,14.3,991.6,992.4,991.6,2.5,112,6.0,2468.,0.0
A241,13/07/2019,17,33.5,33.7,31.9,37,44,35,16.6,17.8,16.1,992.4,993.7,992.4,2.3,107,6.6,2723.,0.0
A241,13/07/2019,16,31.9,33.1,31.7,44,45,37,18.0,18.3,16.4,993.7,994.3,993.7,1.7,97,8.2,1781.,0.0
A241,13/07/2019,15,32.6,32.8,31.2,40,45,38,17.3,18.0,16.0,994.3,994.9,994.3,2.8,105,7.0,2755.,0.0
A241,13/07/2019,14,31.2,31.2,28.5,45,50,44,17.9,18.1,17.1,994.9,995.3,994.9,1.9,94,5.0,2452.,0.0
A241,13/07/2019,13,28.5,28.5,26.0,50,61,48,17.0,18.8,15.9,995.3,995.5,995.2,1.5,105,4.0,1807.,0.0
A241,13/07/2019,12,26.0,26.0,22.4,58,78,55,17.0,18.3,16.4,995.2,995.2,994.5,1.4,101,3.0,1208.,0.0
A241,13/07/2019,11,22.4,22.4,19.8,78,91,77,18.4,19.1,18.1,994.5,994.5,993.7,0.5,305,1.6,431.3,0.0
A241,13/07/2019,10,19.8,20.3,19.8,91,91,89,18.3,18.6,18.0,993.7,993.7,993.1,1.3,304,3.4,16.21,0.0
A241,13/07/2019,09,19.9,19.9,19.2,89,90,89,18.1,18.1,17.3,993.1,993.1,992.5,1.5,212,3.4,-3.49,0.0
A241,13/07/2019,08,19.5,19.7,19.4,89,89,87,17.5,17.6,17.4,992.5,992.5,992.2,0.6,281,1.7,-3.54,0.0
A241,13/07/2019,07,19.7,20.0,19.7,88,89,88,17.7,18.1,17.7,992.2,992.5,992.2,0.7,277,1.6,-3.54,0.0
A241,13/07/2019,06,20.0,20.6,20.0,88,88,86,18.0,18.3,17.9,992.5,992.7,992.4,0.8,296,1.6,-3.54,0.0
