codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A921,30/06/2019,14,30.7,31.0,28.5,,,,,,,992.6,993.0,992.6,2.6,201,6.7,2318.,0.0
A921,30/06/2019,13,28.5,28.9,26.3,,,,,,,993.0,993.0,992.9,3.5,205,7.6,1833.,0.0
A921,30/06/2019,12,26.3,26.3,22.7,,,,,,,992.9,992.9,992.2,3.4,213,7.3,1175.,0.0
A921,30/06/2019,11,22.7,22.7,19.6,,,,,,,992.2,992.2,991.5,1.3,253,4.1,390.5,0.0
A921,30/06/2019,10,19.6,19.6,18.0,,////,////,,////,////,991.5,991.5,990.6,0.9,267,2.6,7.163,0.0
A921,30/06/2019,09,19.2,20.5,19.2,,,,,,,990.6,990.6,990.0,0.1,214,1.8,-3.54,0.0
A921,30/06/2019,08,20.5,20.5,19.8,,,,,,,990.0,990.0,989.7,1.3,273,1.8,-3.54,0.0
A921,30/06/2019,07,19.9,20.4,19.9,,,,,,,989.7,989.8,989.7,0.9,263,1.6,-3.54,0.0
A921,30/06/2019,06,20.4,20.5,18.8,,,,,,,989.8,990.3,989.8,0.8,290,1.5,-3.54,0.0
A921,30/06/2019,05,19.3,19.6,19.1,,,,,,,990.3,990.8,990.3,0.2,290,1.0,-3.54,0.0
A921,30/06/2019,04,19.2,21.5,19.2,,,,,,,990.8,991.2,990.8,0.1,297,2.0,-3.54,0.0
A921,30/06/2019,03,21.5,21.7,20.3,,,,,,,991.1,991.3,991.0,0.9,287,2.8,-3.54,0.0
A921,30/06/2019,02,20.5,21.6,20.5,,,,,,,991.0,991.1,990.9,0.2,265,1.2,-3.54,0.0
A921,30/06/2019,01,21.6,22.2,21.1,,,,,,,990.9,990.9,990.4,0.5,280,1.4,-3.54,0.0
A921,30/06/2019,00,21.9,23.1,21.7,,,,,,,990.4,990.4,989.8,0.1,256,1.3,-3.54,0.0
A921,30/06/2019,16,32.0,32.4,31.4,,,,,,,991.3,992.1,991.3,3.3,202,7.5,2712.,0.0
A921,30/06/2019,17,32.4,33.1,31.1,,,,,,,990.3,991.3,990.3,3.1,194,6.3,2260.,0.0
A921,30/06/2019,18,30.8,33.2,30.5,,,,,,,989.3,990.3,989.3,1.3,230,7.0,1634.,0.0
A921,30/06/2019,19,30.3,32.9,30.3,,,,,,,988.9,989.3,988.9,1.7,227,5.5,1273.,0.0
A921,30/06/2019,20,31.5,32.3,30.2,,,,,,,989.0,989.0,988.9,1.2,239,4.9,1023.,0.0
A921,30/06/2019,21,29.0,31.5,29.0,,,,,,,989.4,989.4,989.0,0.5,246,3.7,341.0,0.0
A921,30/06/2019,22,26.2,29.0,26.2,,,,,,,989.9,989.9,989.4,0.3,255,2.1,-0.48,0.0
A921,30/06/2019,23,23.3,26.2,23.3,,,,,,,990.3,990.3,989.9,0.4,262,1.3,-3.54,0.0
A921,30/06/2019,15,32.0,32.2,30.5,,,,,,,992.1,992.6,992.1,3.5,182,7.0,2666.,0.0
A921,01/07/2019,01,21.5,22.3,21.5,,,,,,,991.1,991.1,990.8,0.2,279,0.9,-3.54,0.0
A921,01/07/2019,22,24.4,29.7,24.4,,,,,,,988.8,988.8,988.5,0.0,269,1.1,-0.96,0.0
A921,01/07/2019,21,29.7,32.3,29.7,,,,,,,988.5,988.5,988.4,0.9,259,2.4,358.3,0.0
A921,01/07/2019,20,32.2,32.9,32.2,,,,,,,988.5,988.6,988.4,1.0,226,4.3,1099.,0.0
A921,01/07/2019,19,32.7,33.4,32.4,,,,,,,988.6,988.9,988.6,2.0,231,5.9,1764.,0.0
A921,01/07/2019,18,32.9,33.7,32.5,,,,,,,988.9,989.9,988.9,2.8,211,6.8,2283.,0.0
A921,01/07/2019,17,32.6,33.5,32.2,,,,,,,989.9,991.1,989.9,2.6,242,6.8,2477.,0.0
A921,01/07/2019,16,33.0,33.2,31.8,,,,,,,991.1,992.1,991.1,2.2,204,6.6,2728.,0.0
A921,01/07/2019,15,32.1,32.6,30.6,,,,,,,992.1,992.9,992.1,3.2,211,6.4,2664.,0.0
A921,01/07/2019,14,30.8,30.9,28.6,,,,,,,992.9,993.5,992.9,2.8,222,6.5,2344.,0.0
A921,01/07/2019,13,28.9,29.0,25.4,,,,,,,993.5,993.5,993.3,1.7,228,5.1,1842.,0.0
A921,01/07/2019,12,25.5,25.6,21.6,,,,,,,993.3,993.3,992.5,1.2,263,3.5,1159.,0.0
A921,01/07/2019,11,21.6,21.6,19.0,,,,,,,992.5,992.6,991.4,0.9,273,2.1,385.1,0.0
A921,01/07/2019,10,19.0,19.1,18.8,////,////,////,////,////,////,991.4,991.4,990.8,1.3,293,2.1,7.082,0.0
A921,01/07/2019,09,19.0,19.2,17.5,////,8,////,////,////,////,990.8,990.8,990.3,0.8,308,2.1,-3.48,0.0
A921,01/07/2019,08,17.7,18.1,17.3,////,////,////,////,////,////,990.3,990.3,990.0,0.5,310,1.6,-3.54,0.0
A921,01/07/2019,07,18.1,19.5,18.1,////,////,////,////,,,990.0,990.0,989.7,0.0,253,1.8,-3.54,0.0
