Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82765;09/10/2019;0000;;32.4;;6.1;3.4;28.64;76.5;;
82765;09/10/2019;1200;1.8;;25;;;;;;
82765;10/10/2019;0000;;35.6;;7.1;3;29.72;72;;
82765;10/10/2019;1200;0;;25.2;;;;;;
82765;11/10/2019;0000;;36.8;;8.9;4.4;30.28;64;;
82765;11/10/2019;1200;0;;24.6;;;;;;
82765;12/10/2019;0000;;37.2;;10.2;5.6;31;63;;
82765;12/10/2019;1200;0;;24.6;;;;;;
82765;13/10/2019;0000;;36.8;;9.1;6.6;31;64.75;;
82765;13/10/2019;1200;0;;24.8;;;;;;
82765;14/10/2019;0000;;35;;5.3;4.9;29.86;73.25;;
82765;14/10/2019;1200;0;;26.1;;;;;;
82765;15/10/2019;0000;;35;;5;3.4;28.08;78.75;;
82765;15/10/2019;1200;0.4;;25;;;;;;
82765;16/10/2019;0000;;29.9;;2.1;3.1;25.36;87.75;;
82765;16/10/2019;1200;16.2;;21.3;;;;;;
82765;17/10/2019;0000;;30.7;;2;1.6;26.32;86;;
82765;17/10/2019;1200;7.2;;21.5;;;;;;
82765;18/10/2019;0000;;32.1;;3.1;1.2;26.52;87.75;;
82765;18/10/2019;1200;31.2;;22.7;;;;;;
82765;19/10/2019;0000;;33.4;;8.9;1.5;28.18;82;;
82765;19/10/2019;1200;13.4;;22.7;;;;;;
82765;20/10/2019;0000;;33.6;;3.5;2.5;28.32;72.75;;
82765;20/10/2019;1200;0;;25.2;;;;;;
82765;21/10/2019;0000;;34.6;;7.3;4.1;28.18;75.5;;
82765;21/10/2019;1200;0;;24.1;;;;;;
82765;22/10/2019;0000;;31.7;;0.1;2.3;27.06;81.25;;
82765;22/10/2019;1200;0.3;;24.6;;;;;;
82765;23/10/2019;0000;;33.4;;8.5;3.5;27.46;83.5;;
82765;23/10/2019;1200;0;;22.3;;;;;;
82765;24/10/2019;0000;;35.4;;9.5;1.6;28.42;81.25;;
82765;24/10/2019;1200;3.8;;24.1;;;;;;
82765;25/10/2019;0000;;34.6;;9.1;2.5;29.32;80.75;;
82765;25/10/2019;1200;1.9;;24.6;;;;;;
82765;26/10/2019;0000;;32.3;;1.4;4.9;28;88.5;;
82765;26/10/2019;1200;0.2;;24.7;;;;;;
82765;27/10/2019;0000;;33.8;;7.2;0.2;28.38;78.25;;
82765;27/10/2019;1200;9.6;;23.7;;;;;;
82765;28/10/2019;0000;;35.4;;9.5;2.4;29.62;71;;
82765;28/10/2019;1200;0;;23.3;;;;;;
82765;29/10/2019;0000;;32.6;;0.2;3.3;28.12;86.25;;
82765;29/10/2019;1200;0;;25;;;;;;
82765;30/10/2019;0000;;33.9;;8.7;2.2;28.42;76.25;;
82765;30/10/2019;1200;0.2;;23.6;;;;;;
82765;31/10/2019;0000;;34;;6.5;3.3;28.98;76.5;;
82765;31/10/2019;1200;0;;23.9;;;;;;
82765;01/11/2019;0000;;33.8;;4.8;;28.96;78.75;;
82765;01/11/2019;1200;0;;24.6;;;;;;
82765;02/11/2019;0000;;35.6;;9.4;;29.84;73;;
82765;02/11/2019;1200;0;;24.8;;;;;;
82765;03/11/2019;0000;;32.6;;0.7;;;80;;
82765;04/11/2019;0000;;35;;8.1;;28.54;78.75;;
82765;04/11/2019;1200;0;;23.3;;;;;;
82765;05/11/2019;0000;;35;;9;;30;73.25;;
82765;05/11/2019;1200;0;;25.4;;;;;;
82765;06/11/2019;0000;;32.6;;1.3;;28.26;83.5;;
82765;06/11/2019;1200;0;;26.1;;;;;;
82765;07/11/2019;0000;;33;;7.1;;28.28;76;;
82765;07/11/2019;1200;20.9;;22.4;;;;;;
82765;08/11/2019;0000;;32.1;;2.4;;26.78;88.75;;
82765;08/11/2019;1200;0;;24.6;;;;;;
82765;09/11/2019;0000;;32.1;;7.9;;26.76;81;;
82765;09/11/2019;1200;31.1;;21.1;;;;;;
82765;10/11/2019;0000;;32.8;;2.8;;27.1;82;;
82765;10/11/2019;1200;0;;20.9;;;;;;
82765;11/11/2019;0000;;33.6;;6;;28.96;88;;
82765;11/11/2019;1200;0;;24.8;;;;;;
82765;12/11/2019;0000;;33.4;;4.6;;28.7;81;;
82765;12/11/2019;1200;20.8;;24.5;;;;;;
82765;13/11/2019;0000;;32.1;;0.3;;27.76;88.25;;
82765;13/11/2019;1200;0;;23.9;;;;;;
82765;14/11/2019;0000;;32.6;;3.3;;28.12;85.5;;
82765;14/11/2019;1200;3;;24;;;;;;
82765;15/11/2019;0000;;34.2;;6.7;;28.94;79.75;;
82765;15/11/2019;1200;0;;23.5;;;;;;
82765;16/11/2019;0000;;35.2;;6.1;;29.2;73.25;;
82765;16/11/2019;1200;0;;24.6;;;;;;
82765;17/11/2019;0000;;31.3;;0;;28.22;80;;
82765;17/11/2019;1200;0;;25.4;;;;;;
82765;18/11/2019;0000;;33;;3.4;;27.8;86.5;;
82765;18/11/2019;1200;0;;24.6;;;;;;
82765;19/11/2019;0000;;32.5;;5.6;;28.08;85.75;;
82765;19/11/2019;1200;4.4;;24.1;;;;;;
82765;20/11/2019;0000;;32.4;;5.9;;27.32;82.25;;
82765;20/11/2019;1200;60.6;;22.8;;;;;;
