Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82564;05/08/2019;0000;;34.3;;7.3;;28.02;77.25;;
82564;05/08/2019;1200;0;;21.3;;;;;;
82564;06/08/2019;0000;;34.9;;7;;27.88;74.75;;
82564;06/08/2019;1200;0;;21.4;;;;;;
82564;07/08/2019;0000;;33.9;;8.7;;28.4;71;;
82564;07/08/2019;1200;0;;22.1;;;;;;
82564;08/08/2019;0000;;35.9;;6.7;;28.64;71.5;;
82564;08/08/2019;1200;0;;21;;;;;;
82564;09/08/2019;0000;;35.6;;6.5;;28.02;71.5;;
82564;09/08/2019;1200;0;;21.2;;;;;;
82564;10/08/2019;1200;0;;;;;;;;
82564;11/08/2019;1200;0;;;;;;;;
82564;12/08/2019;0000;;37;;8.2;;29.04;71.25;;
82564;12/08/2019;1200;0;;20.5;;;;;;
82564;13/08/2019;0000;;37;;6.9;;30.16;71.75;;
82564;13/08/2019;1200;0;;22.7;;;;;;
82564;14/08/2019;0000;;37.5;;7.2;;29.94;69.5;;
82564;14/08/2019;1200;0;;22.9;;;;;;
82564;15/08/2019;0000;;36.1;;7.6;;29.74;75;;
82564;15/08/2019;1200;0;;23.3;;;;;;
82564;16/08/2019;0000;;36.3;;7;;28.98;72.75;;
82564;16/08/2019;1200;0;;22.9;;;;;;
82564;17/08/2019;1200;0;;;;;;;;
82564;18/08/2019;1200;0;;;;;;;;
82564;19/08/2019;0000;;37.1;;8.3;;28.9;70.5;;
82564;19/08/2019;1200;0;;21.1;;;;;;
82564;20/08/2019;0000;;35.6;;5.7;;28.92;74.75;;
82564;20/08/2019;1200;0;;22.3;;;;;;
82564;21/08/2019;0000;;35.1;;4.7;;28.14;75.5;;
82564;21/08/2019;1200;0;;24.6;;;;;;
82564;22/08/2019;0000;;34.8;;7.5;;29.12;72.75;;
82564;22/08/2019;1200;0;;23.9;;;;;;
82564;23/08/2019;0000;;36.7;;6.6;;28.76;74.75;;
82564;23/08/2019;1200;0;;22.2;;;;;;
82564;24/08/2019;1200;0;;;;;;;;
82564;25/08/2019;1200;0;;;;;;;;
82564;26/08/2019;0000;;36.5;;7.8;;28.7;75;;
82564;26/08/2019;1200;0;;21.9;;;;;;
82564;27/08/2019;0000;;36.5;;7.8;;29.14;72.5;;
82564;27/08/2019;1200;0;;21.9;;;;;;
82564;28/08/2019;0000;;36.6;;8;;29.46;70.5;;
82564;28/08/2019;1200;0;;21.6;;;;;;
