Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82861;09/10/2019;0000;;32.2;;3.7;3.8;25.86;82.75;2.666667;
82861;09/10/2019;1200;7.2;;22.6;;;;;;
82861;10/10/2019;0000;;35.3;;8.5;1.6;28.62;68.25;2;
82861;10/10/2019;1200;0;;22.5;;;;;;
82861;11/10/2019;0000;;36.9;;9.7;3.1;29.54;62.75;3.333333;
82861;11/10/2019;1200;0;;22.9;;;;;;
82861;12/10/2019;1200;2.3;;;;;;;;
82861;13/10/2019;1200;0;;;;;;;;
82861;14/10/2019;0000;;36;;6.7;;26.8;87.75;3.333333;
82861;14/10/2019;1200;0;;22.2;;;;;;
82861;15/10/2019;0000;;35.2;;5.9;1.1;25.86;83.25;3;
82861;15/10/2019;1200;20.3;;21.8;;;;;;
82861;16/10/2019;0000;;29.9;;3.4;1.2;24.44;92.75;2;
82861;16/10/2019;1200;15.6;;21.2;;;;;;
82861;17/10/2019;0000;;33.4;;7.2;0.6;25.62;82;2.333333;
82861;17/10/2019;1200;23.7;;21.6;;;;;;
82861;18/10/2019;0000;;33.3;;3.9;1.4;25.52;91.75;2;
82861;18/10/2019;1200;0.1;;22.1;;;;;;
82861;19/10/2019;1200;20.1;;;;;;;;
82861;20/10/2019;1200;0;;;;;;;;
82861;21/10/2019;0000;;34.4;;5.5;;27.82;77.5;3.666667;
82861;21/10/2019;1200;0;;23.1;;;;;;
82861;22/10/2019;0000;;34.9;;5.5;1.9;25.84;83.25;3.666667;
82861;22/10/2019;1200;0;;22.1;;;;;;
82861;23/10/2019;0000;;33.6;;7.5;1.6;27.5;76;1.666667;
82861;23/10/2019;1200;58.8;;22.1;;;;;;
82861;24/10/2019;0000;;36;;9;2.1;29.2;69.75;2.333333;
82861;24/10/2019;1200;0;;22.6;;;;;;
82861;25/10/2019;0000;;36.4;;9.1;2.8;29.26;67.75;1.333333;
82861;25/10/2019;1200;0;;23.6;;;;;;
82861;26/10/2019;1200;0;;;;;;;;
82861;27/10/2019;1200;3.9;;;;;;;;
82861;28/10/2019;0000;;36.5;;7.4;;28.56;74;2;
82861;28/10/2019;1200;0;;23.1;;;;;;
82861;29/10/2019;0000;;31.3;;3.1;2.7;25.78;88.25;2.333333;
82861;29/10/2019;1200;0;;21.6;;;;;;
82861;30/10/2019;0000;;35.1;;9.3;0.9;27.58;73;3;
82861;30/10/2019;1200;19.7;;22.3;;;;;;
82861;31/10/2019;0000;;35.4;;8.6;2.8;28.78;75.25;3;
82861;31/10/2019;1200;0;;23.2;;;;;;
82861;01/11/2019;0000;;35.5;;7.3;3;27.56;87.25;3.333333;
82861;01/11/2019;1200;0;;22.9;;;;;;
82861;02/11/2019;1200;16.7;;;;;;;;
82861;03/11/2019;1200;0;;;;;;;;
82861;04/11/2019;0000;;34.3;;7.8;;26.9;78.75;2;
82861;04/11/2019;1200;41.1;;22.2;;;;;;
