Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82562;09/10/2019;0000;;35.3;;5.3;3.6;28.44;69.75;;
82562;09/10/2019;1200;0;;23.4;;;;;;
82562;10/10/2019;0000;;36;;6.5;3.3;29.76;67.5;;
82562;10/10/2019;1200;0;;22.3;;;;;;
82562;11/10/2019;0000;;35;;6.7;4.2;28.94;71;;
82562;11/10/2019;1200;0;;23.8;;;;;;
82562;12/10/2019;1200;0;;;;;;;;
82562;13/10/2019;1200;0;;;;;;;;
82562;14/10/2019;0000;;35.5;;4.8;;28.9;72;;
82562;14/10/2019;1200;0;;22.8;;;;;;
82562;15/10/2019;0000;;35.9;;7.8;3.3;29.36;71.25;;
82562;15/10/2019;1200;0;;23;;;;;;
82562;16/10/2019;0000;;35.1;;6;4;28.92;72.5;;
82562;16/10/2019;1200;1.4;;22;;;;;;
82562;17/10/2019;0000;;35.7;;6.2;3.5;29.32;70.75;;
82562;17/10/2019;1200;0;;22.5;;;;;;
82562;18/10/2019;0000;;35.7;;6;3.9;28.92;70.25;;
82562;18/10/2019;1200;0.2;;24;;;;;;
82562;19/10/2019;1200;0;;;;;;;;
82562;20/10/2019;1200;0;;;;;;;;
82562;21/10/2019;0000;;37.9;;9.3;;30.44;64.5;;
82562;21/10/2019;1200;0;;24.4;;;;;;
82562;22/10/2019;0000;;30.5;;0.9;5.2;25.02;86.75;;
82562;22/10/2019;1200;38.2;;20.7;;;;;;
82562;23/10/2019;0000;;36.5;;8.8;1.1;27.98;77;;
82562;23/10/2019;1200;0;;21;;;;;;
82562;24/10/2019;0000;;35.9;;7.2;3.4;29.44;74.75;;
82562;24/10/2019;1200;1.6;;23.6;;;;;;
82562;25/10/2019;0000;;35.7;;7.6;3.3;28.78;71.75;;
82562;25/10/2019;1200;0;;24.3;;;;;;
82562;26/10/2019;1200;0;;;;;;;;
82562;27/10/2019;1200;0;;;;;;;;
82562;28/10/2019;0000;;35.7;;8.4;;29.34;70.75;;
82562;28/10/2019;1200;0;;22.1;;;;;;
82562;29/10/2019;0000;;33.9;;5.2;3.8;29.12;72.25;;
82562;29/10/2019;1200;0;;24.4;;;;;;
82562;30/10/2019;0000;;36.2;;7.1;3.5;29.72;65;;
82562;30/10/2019;1200;0;;23.7;;;;;;
82562;31/10/2019;0000;;33.7;;3;3.8;28.26;76.25;;
82562;31/10/2019;1200;0;;22.6;;;;;;
82562;01/11/2019;0000;;35.5;;8.6;;29.04;74.5;;
82562;01/11/2019;1200;0;;23;;;;;;
82562;02/11/2019;1200;0;;;;;;;;
82562;03/11/2019;1200;0;;;;;;;;
82562;04/11/2019;0000;;35.9;;7.8;;28.8;72.5;;
82562;04/11/2019;1200;0;;23;;;;;;
82562;05/11/2019;0000;;36.1;;9;;29.92;67;;
82562;05/11/2019;1200;1;;23;;;;;;
82562;06/11/2019;0000;;33.9;;5.9;;28.76;75.75;;
82562;06/11/2019;1200;0;;24.2;;;;;;
82562;07/11/2019;0000;;35.1;;4.1;;29;74.25;;
82562;07/11/2019;1200;0;;22.6;;;;;;
82562;08/11/2019;0000;;33.3;;0.9;;26.56;86.25;;
82562;08/11/2019;1200;0;;24.3;;;;;;
