Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82659;09/10/2019;0000;;31.7;;4.8;;26.22;77.75;0.68592;
82659;09/10/2019;1200;0;;22.2;;;;;;
82659;10/10/2019;0000;;34.1;;8.3;;26.2;75.5;0.68592;
82659;10/10/2019;1200;9.6;;21.2;;;;;;
82659;11/10/2019;0000;;35.6;;9.1;;26.64;66.5;1.02888;
82659;11/10/2019;1200;0;;21.2;;;;;;
82659;12/10/2019;0000;;34.7;;10;;27.74;70.75;0.68592;
82659;12/10/2019;1200;10.5;;22;;;;;;
82659;13/10/2019;0000;;32;;4.2;;27.22;78.25;0.68592;
82659;13/10/2019;1200;0;;24.3;;;;;;
82659;14/10/2019;0000;;30.4;;4.4;;25.7;88.75;1.02888;
82659;14/10/2019;1200;0;;22.2;;;;;;
82659;15/10/2019;0000;;33.3;;6;;25.64;77.75;1.02888;
82659;15/10/2019;1200;16.9;;21.3;;;;;;
82659;16/10/2019;0000;;28.1;;1.3;;24.52;82.75;1.02888;
82659;16/10/2019;1200;0;;21.7;;;;;;
82659;17/10/2019;0000;;31.5;;5.9;;25.4;88.5;1.02888;
82659;17/10/2019;1200;3.2;;21.1;;;;;;
82659;18/10/2019;0000;;32.2;;5.1;;25.14;85.25;1.02888;
82659;18/10/2019;1200;0.7;;21;;;;;;
82659;19/10/2019;0000;;33.9;;8.2;;26.36;77.25;0.68592;
82659;19/10/2019;1200;0.9;;21.1;;;;;;
82659;20/10/2019;0000;;33.2;;6.5;;27.32;72;0.68592;
82659;20/10/2019;1200;0;;22.2;;;;;;
82659;21/10/2019;0000;;34.8;;9.3;;27.1;68.5;1.02888;
82659;21/10/2019;1200;0;;21.5;;;;;;
82659;22/10/2019;0000;;31;;1.9;;24.92;84;1.02888;
82659;22/10/2019;1200;19.7;;21.7;;;;;;
82659;23/10/2019;0000;;33.2;;8.1;;25.82;79;1.02888;
82659;23/10/2019;1200;0.6;;20.7;;;;;;
82659;24/10/2019;0000;;34.9;;10.2;;27.2;72.5;1.02888;
82659;24/10/2019;1200;0;;22.9;;;;;;
82659;25/10/2019;0000;;33.6;;9.8;;27.22;75.75;1.02888;
82659;25/10/2019;1200;0;;22.2;;;;;;
82659;26/10/2019;0000;;30.5;;2.8;;25.8;88;1.02888;
82659;26/10/2019;1200;1.7;;22.5;;;;;;
82659;27/10/2019;0000;;33.5;;7.6;;26.52;75;1.02888;
82659;27/10/2019;1200;0.5;;21.3;;;;;;
82659;28/10/2019;0000;;34.1;;7.9;;27.06;73.75;0.68592;
82659;28/10/2019;1200;0;;21.2;;;;;;
82659;29/10/2019;0000;;30.1;;0.9;;25.46;87.25;1.02888;
82659;29/10/2019;1200;14.8;;22.5;;;;;;
82659;30/10/2019;0000;;31;;5.5;;26.04;82.5;1.02888;
82659;30/10/2019;1200;0;;22;;;;;;
82659;31/10/2019;0000;;32.1;;5;;26.58;78.25;1.20036;
82659;31/10/2019;1200;0;;22;;;;;;
82659;01/11/2019;0000;;33.1;;4.5;;26.5;76.5;0.68592;
82659;01/11/2019;1200;0;;21.8;;;;;;
82659;02/11/2019;0000;;36.1;;3.6;;28.62;62.25;1.02888;
