Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83033;02/08/2019;0000;;39.1;;10;;28.98;39.25;1.7148;
83033;02/08/2019;1200;0;;20.4;;;;;;
83033;03/08/2019;0000;;39.3;;8.9;;29.92;37.75;2.40072;
83033;03/08/2019;1200;0;;22.4;;;;;;
83033;04/08/2019;0000;;39.6;;9.9;;28.66;38.5;2.22924;
83033;04/08/2019;1200;0;;20.8;;;;;;
83033;05/08/2019;0000;;36.3;;4.3;;28.64;42.75;2.40072;
83033;05/08/2019;1200;0;;20.9;;;;;;
83033;06/08/2019;0000;;35;;9.9;;27.56;45.5;5.1444;
83033;06/08/2019;1200;0;;24.8;;;;;;
83033;07/08/2019;0000;;36.3;;9.9;;27.5;39.75;4.287;
83033;07/08/2019;1200;0;;21.9;;;;;;
83033;08/08/2019;0000;;36.6;;9.9;;29.02;29.75;3.77256;
83033;08/08/2019;1200;0;;24;;;;;;
83033;09/08/2019;0000;;36.6;;9.9;;29.36;30.25;0.8574;
83033;09/08/2019;1200;0;;21.9;;;;;;
83033;10/08/2019;0000;;36.2;;9.8;;28.3;36;1.20036;
83033;10/08/2019;1200;0;;19.2;;;;;;
83033;11/08/2019;0000;;37.2;;10;;28.7;41;0.8574;
83033;11/08/2019;1200;0;;18.7;;;;;;
83033;12/08/2019;0000;;38.4;;9.7;;30;40;1.20036;
83033;12/08/2019;1200;0;;21.3;;;;;;
83033;13/08/2019;0000;;38;;9.8;;30;36.5;1.37184;
83033;13/08/2019;1200;0;;21.1;;;;;;
83033;14/08/2019;0000;;38;;9.8;;30.12;37.75;1.37184;
83033;14/08/2019;1200;0;;23.1;;;;;;
83033;15/08/2019;0000;;37;;9.8;;30.16;38.25;2.40072;
83033;15/08/2019;1200;0;;24.5;;;;;;
83033;16/08/2019;0000;;36.6;;9.8;;32.28;32.25;2.22924;
83033;16/08/2019;1200;0;;24.9;;;;;;
83033;17/08/2019;0000;;37.6;;9.7;;29.08;42.75;1.37184;
83033;17/08/2019;1200;0;;24.2;;;;;;
83033;18/08/2019;0000;;38;;9.9;;28.92;42.75;1.37184;
83033;18/08/2019;1200;0;;20.3;;;;;;
83033;19/08/2019;0000;;39.8;;10;;28.8;44.25;0.34296;
83033;19/08/2019;1200;0;;19.9;;;;;;
83033;20/08/2019;0000;;41;;9.3;;29.48;40.5;0.34296;
83033;20/08/2019;1200;0;;21.5;;;;;;
83033;21/08/2019;0000;;40.2;;9.8;;29.2;44;0.51444;
83033;21/08/2019;1200;0;;20.3;;;;;;
83033;22/08/2019;0000;;37.4;;8.5;;28.84;48;0.34296;
83033;22/08/2019;1200;0;;21.7;;;;;;
83033;23/08/2019;0000;;38.6;;9.8;;30.18;40.5;0.51444;
83033;23/08/2019;1200;0;;23.4;;;;;;
83033;24/08/2019;0000;;38.9;;8.3;;29.76;40;1.20036;
83033;24/08/2019;1200;0;;23.2;;;;;;
83033;25/08/2019;0000;;39.4;;8.7;;31.36;32.75;2.05776;
83033;25/08/2019;1200;0;;25.1;;;;;;
83033;26/08/2019;0000;;38.6;;9.9;;31.02;30.75;2.5722;
83033;26/08/2019;1200;0;;26.7;;;;;;
83033;27/08/2019;0000;;38.4;;9.9;;30.32;37;2.5722;
83033;27/08/2019;1200;0;;25.4;;;;;;
83033;28/08/2019;0000;;38.4;;10;;29.96;38.5;2.5722;
83033;28/08/2019;1200;0;;25.3;;;;;;
83033;29/08/2019;0000;;39.7;;10;;30.2;36.25;1.7148;
83033;29/08/2019;1200;0;;22.7;;;;;;
83033;30/08/2019;0000;;39.2;;10;;30.72;35.5;1.88628;
83033;30/08/2019;1200;0;;25.3;;;;;;
83033;31/08/2019;0000;;39.7;;9.9;;30.48;36.25;2.5722;
83033;31/08/2019;1200;0;;22;;;;;;
83033;01/09/2019;0000;;40.3;;9.1;;30.8;36.25;1.7148;
83033;01/09/2019;1200;0;;23;;;;;;
83033;02/09/2019;0000;;41.6;;9.8;;30.86;33.25;0.51444;
83033;02/09/2019;1200;0;;21;;;;;;
83033;03/09/2019;0000;;41.7;;9.8;;31;36.25;2.05776;
83033;03/09/2019;1200;0;;21.8;;;;;;
83033;04/09/2019;0000;;41.2;;9.5;;31.3;36.5;1.7148;
83033;04/09/2019;1200;0;;21.9;;;;;;
83033;05/09/2019;0000;;40.4;;9.6;;30.9;37;1.20036;
83033;05/09/2019;1200;0;;22.2;;;;;;
83033;06/09/2019;0000;;40.1;;9.7;;30.78;32;2.91516;
83033;06/09/2019;1200;0;;23.8;;;;;;
83033;07/09/2019;0000;;39.3;;9.8;;30.74;31.25;3.4296;
83033;07/09/2019;1200;0;;26.8;;;;;;
83033;08/09/2019;0000;;39.8;;9.9;;30.62;35.75;3.94404;
83033;08/09/2019;1200;0;;26.6;;;;;;
83033;09/09/2019;0000;;39.8;;9.4;;30.52;41.25;3.08664;
83033;09/09/2019;1200;0;;22.6;;;;;;
83033;10/09/2019;0000;;41;;9.7;;31.76;36.5;3.25812;
83033;10/09/2019;1200;0;;24.8;;;;;;
83033;11/09/2019;0000;;40.8;;9.5;;31.84;38.25;3.60108;
83033;11/09/2019;1200;0;;23.8;;;;;;
83033;12/09/2019;0000;;40.8;;9.6;;32.64;33.25;6.0018;
83033;12/09/2019;1200;0;;28.8;;;;;;
83033;13/09/2019;0000;;42.4;;10;;33.26;31.5;2.5722;
83033;13/09/2019;1200;0;;24.9;;;;;;
83033;14/09/2019;0000;;39.4;;9;;32.56;38.75;1.02888;
83033;14/09/2019;1200;0;;25.5;;;;;;
83033;15/09/2019;0000;;41.4;;10;;33;33;1.54332;
83033;15/09/2019;1200;0;;26.3;;;;;;
83033;16/09/2019;0000;;39.7;;9.4;;31.56;37.25;1.7148;
83033;16/09/2019;1200;0;;23.8;;;;;;
83033;17/09/2019;0000;;40.6;;8.8;;31.5;37;1.20036;
83033;17/09/2019;1200;0;;23.4;;;;;;
83033;18/09/2019;0000;;41.2;;9.9;;31.74;36;0.34296;
83033;18/09/2019;1200;0;;23.4;;;;;;
83033;19/09/2019;0000;;41.2;;9.2;;31.96;38;0.34296;
83033;19/09/2019;1200;0;;23.8;;;;;;
83033;20/09/2019;0000;;40.5;;8;;31.98;39.5;0.51444;
83033;20/09/2019;1200;0;;24.1;;;;;;
83033;21/09/2019;0000;;38.6;;5.6;;31.6;46.75;0.8574;
83033;21/09/2019;1200;0;;24.9;;;;;;
83033;22/09/2019;0000;;37.4;;7.1;;31.82;46.75;0.34296;
83033;22/09/2019;1200;0;;24.6;;;;;;
83033;23/09/2019;0000;;39;;9.6;;31.64;42.5;0.34296;
83033;23/09/2019;1200;0;;25.1;;;;;;
83033;24/09/2019;0000;;40.6;;9.5;;31.64;34;0.8574;
83033;24/09/2019;1200;0;;23.7;;;;;;
83033;25/09/2019;0000;;39.7;;9.2;;31.74;37.75;0.68592;
83033;25/09/2019;1200;0;;24.5;;;;;;
83033;26/09/2019;0000;;37.6;;6.8;;29.64;56.5;0.51444;
83033;26/09/2019;1200;0;;24.9;;;;;;
83033;27/09/2019;0000;;38.4;;7.4;;30.76;48.25;0.51444;
83033;27/09/2019;1200;0;;23.9;;;;;;
83033;28/09/2019;0000;;39.2;;6.8;;30.64;53.75;0.68592;
83033;28/09/2019;1200;0;;24.9;;;;;;
83033;29/09/2019;0000;;29.2;;0.6;;25.2;89.75;0.8574;
83033;29/09/2019;1200;0.4;;24.9;;;;;;
83033;30/09/2019;0000;;37.2;;6.7;;27.08;65.5;0.68592;
83033;30/09/2019;1200;6.7;;21.3;;;;;;
83033;01/10/2019;0000;;33.4;;5.1;;26.8;76.25;2.40072;
83033;01/10/2019;1200;2.7;;23.7;;;;;;
83033;02/10/2019;0000;;36;;6.8;;27.1;72.75;2.91516;
83033;02/10/2019;1200;0;;23.5;;;;;;
83033;03/10/2019;0000;;35.2;;7.4;;29.18;59.25;1.20036;
83033;03/10/2019;1200;0;;22.8;;;;;;
83033;04/10/2019;0000;;33.8;;3.5;;26.94;78.5;1.20036;
83033;04/10/2019;1200;0;;21.9;;;;;;
83033;05/10/2019;0000;;30.4;;2.2;;25.82;83;1.37184;
83033;05/10/2019;1200;9.8;;23.3;;;;;;
83033;06/10/2019;0000;;33.4;;3.1;;26.66;74.75;0.34296;
83033;06/10/2019;1200;1.9;;22.3;;;;;;
83033;07/10/2019;0000;;37.2;;6.3;;29.46;60.75;1.20036;
83033;07/10/2019;1200;0;;21.8;;;;;;
83033;08/10/2019;0000;;34.4;;3.9;;27.78;79.5;0.34296;
83033;08/10/2019;1200;0;;24.6;;;;;;
