Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82863;09/10/2019;0000;;34.2;;6.2;;26.92;76;2.40072;
82863;09/10/2019;1200;8.3;;22.4;;;;;;
82863;10/10/2019;0000;;36.1;;9.2;;29.14;67.5;2.74368;
82863;10/10/2019;1200;0.1;;23.5;;;;;;
82863;11/10/2019;0000;;37.6;;10.6;;28.76;61.5;3.08664;
82863;11/10/2019;1200;0;;23.6;;;;;;
82863;12/10/2019;0000;;36.9;;10.9;;29.66;58.5;2.05776;
82863;12/10/2019;1200;3.4;;23.4;;;;;;
82863;13/10/2019;0000;;37.2;;8.6;;29.76;61.75;1.02888;
82863;13/10/2019;1200;1.3;;24.7;;;;;;
82863;14/10/2019;0000;;37.5;;8.8;;29.22;63.5;2.74368;
82863;14/10/2019;1200;0;;24.4;;;;;;
82863;15/10/2019;0000;;36.1;;6.5;;28.66;77;0.51444;
82863;15/10/2019;1200;0;;25.3;;;;;;
82863;16/10/2019;0000;;30.5;;2.7;;26.38;80.75;3.08664;
82863;16/10/2019;1200;1.4;;23;;;;;;
82863;17/10/2019;0000;;31.9;;1.4;;25.92;93;0.68592;
82863;17/10/2019;1200;18.2;;23.5;;;;;;
82863;18/10/2019;0000;;34.4;;5.1;;26.84;77;1.7148;
82863;18/10/2019;1200;17.6;;22.3;;;;;;
82863;19/10/2019;0000;;35.8;;7.5;;28.3;69.5;1.37184;
82863;19/10/2019;1200;0;;23.4;;;;;;
82863;20/10/2019;0000;;33;;3.5;;27.56;81.25;2.74368;
82863;20/10/2019;1200;0;;24.5;;;;;;
82863;21/10/2019;0000;;34.4;;4.1;;27.18;81.75;4.80144;
82863;21/10/2019;1200;0;;24.1;;;;;;
82863;22/10/2019;0000;;31.4;;1.1;;25.2;85.5;2.74368;
82863;22/10/2019;1200;26.2;;22.1;;;;;;
82863;23/10/2019;0000;;33;;6.8;;26.6;78;1.37184;
82863;23/10/2019;1200;7.1;;21.6;;;;;;
82863;24/10/2019;0000;;34.7;;9.2;;28.66;68;1.7148;
82863;24/10/2019;1200;0;;23.9;;;;;;
82863;25/10/2019;0000;;36;;7.9;;28.82;68.25;2.74368;
82863;25/10/2019;1200;0;;24;;;;;;
82863;26/10/2019;0000;;36.1;;6.8;;28.56;70.25;1.02888;
82863;26/10/2019;1200;0;;24.5;;;;;;
82863;27/10/2019;0000;;35.6;;10.4;;28.68;68.5;1.37184;
82863;27/10/2019;1200;0;;22.3;;;;;;
82863;28/10/2019;0000;;32.6;;2.1;;28.24;79;1.7148;
82863;28/10/2019;1200;0;;25.6;;;;;;
82863;29/10/2019;0000;;33.6;;4.1;;26.7;88.75;1.37184;
82863;29/10/2019;1200;0;;23.8;;;;;;
82863;30/10/2019;0000;;34;;5.6;;27.48;72.25;3.08664;
82863;30/10/2019;1200;12;;22.3;;;;;;
82863;31/10/2019;0000;;32;;2;;27.46;82.25;0.68592;
82863;31/10/2019;1200;0;;23.5;;;;;;
82863;01/11/2019;0000;;33.6;;3.6;;27.52;82.75;1.7148;
82863;01/11/2019;1200;1.6;;24;;;;;;
82863;02/11/2019;0000;;34.5;;3.7;;27.72;78.25;1.7148;
82863;02/11/2019;1200;4;;23.8;;;;;;
82863;03/11/2019;0000;;30.9;;2.3;;26.26;84;4.11552;
82863;03/11/2019;1200;0;;23.9;;;;;;
82863;04/11/2019;0000;;34.7;;9.3;;27.96;72;1.02888;
82863;04/11/2019;1200;6.7;;22.3;;;;;;
82863;05/11/2019;0000;;34.9;;6.7;;27.6;65.5;3.08664;
82863;05/11/2019;1200;0;;24.1;;;;;;
82863;06/11/2019;0000;;27.7;;1.9;;25.1;84;2.74368;
82863;06/11/2019;1200;0.1;;23.2;;;;;;
82863;07/11/2019;0000;;36.5;;8.7;;28.4;68.5;0.68592;
82863;07/11/2019;1200;2;;21;;;;;;
82863;08/11/2019;0000;;35.5;;5;;26.9;87.75;1.37184;
82863;08/11/2019;1200;0;;24.5;;;;;;
82863;09/11/2019;0000;;33.4;;7;;26.98;77;1.02888;
82863;09/11/2019;1200;42.7;;21.9;;;;;;
82863;10/11/2019;0000;;35.1;;9.2;;28.38;70.25;1.02888;
82863;10/11/2019;1200;0;;23.3;;;;;;
82863;11/11/2019;0000;;34.5;;5.4;;27.9;81.25;2.05776;
82863;11/11/2019;1200;0;;25;;;;;;
82863;12/11/2019;0000;;29;;0.6;;25.58;86.25;0.34296;
82863;12/11/2019;1200;4.8;;23.4;;;;;;
82863;13/11/2019;0000;;35.3;;9.5;;27.86;69.75;1.02888;
82863;13/11/2019;1200;0.6;;22.6;;;;;;
82863;14/11/2019;0000;;34.6;;6.7;;28.16;74.25;1.02888;
82863;14/11/2019;1200;0;;24;;;;;;
82863;15/11/2019;0000;;35.9;;6.4;;28.9;79.25;1.37184;
82863;15/11/2019;1200;0;;24;;;;;;
82863;16/11/2019;0000;;34.4;;3.1;;28.44;81;0;
82863;16/11/2019;1200;0.2;;24.6;;;;;;
82863;17/11/2019;0000;;26.8;;0;;24.26;88.25;1.7148;
82863;17/11/2019;1200;3;;23.9;;;;;;
82863;18/11/2019;0000;;33.5;;7.8;;27.82;70.75;2.91516;
82863;18/11/2019;1200;0;;22;;;;;;
82863;19/11/2019;0000;;35.7;;8.6;;28.9;78.25;1.02888;
82863;19/11/2019;1200;0;;23.5;;;;;;
82863;20/11/2019;0000;;33.3;;2.5;;27.74;85.75;1.7148;
82863;20/11/2019;1200;0.3;;24.4;;;;;;
82863;21/11/2019;0000;;35.4;;7.2;;27.3;81.5;4.62996;
82863;21/11/2019;1200;0.3;;24.5;;;;;;
82863;22/11/2019;0000;;33.5;;5.8;;27.44;73.75;1.37184;
82863;22/11/2019;1200;1.2;;22.7;;;;;;
82863;23/11/2019;0000;;31.6;;3;;27.52;75.5;2.05776;
82863;23/11/2019;1200;0;;24.6;;;;;;
82863;24/11/2019;0000;;37.1;;9.9;;29.22;64.75;3.4296;
82863;24/11/2019;1200;0;;23.5;;;;;;
82863;25/11/2019;0000;;37.2;;6.4;;29.06;68.5;2.05776;
82863;25/11/2019;1200;0;;24.7;;;;;;
82863;26/11/2019;0000;;30.6;;0.6;;26.62;83.75;2.40072;
82863;26/11/2019;1200;1.2;;24.7;;;;;;
82863;27/11/2019;0000;;35.6;;7.3;;28.08;66.75;3.08664;
82863;27/11/2019;1200;0;;24.8;;;;;;
82863;28/11/2019;0000;;35.6;;7;;27.88;74.25;4.45848;
82863;28/11/2019;1200;0.4;;23.9;;;;;;
82863;29/11/2019;0000;;34.8;;6.4;;27.76;68.75;2.74368;
82863;29/11/2019;1200;0;;23.9;;;;;;
82863;30/11/2019;0000;;37.1;;9.3;;29.92;64;1.37184;
82863;30/11/2019;1200;3;;24;;;;;;
82863;01/12/2019;0000;;33.9;;3.6;;28.3;84.5;0;
82863;01/12/2019;1200;0;;25.9;;;;;;
82863;02/12/2019;0000;;36.8;;7.1;;28.32;76;1.02888;
82863;02/12/2019;1200;6;;23.7;;;;;;
82863;03/12/2019;0000;;36.7;;8.1;;28.38;77.5;2.05776;
82863;03/12/2019;1200;0;;24.4;;;;;;
82863;04/12/2019;0000;;27.2;;0;;24.1;93.25;0.68592;
82863;04/12/2019;1200;62.3;;22.1;;;;;;
82863;05/12/2019;0000;;31.3;;4.4;;26.02;81.75;1.02888;
82863;05/12/2019;1200;9.9;;22.4;;;;;;
82863;06/12/2019;0000;;35.3;;10.7;;27.04;71;1.37184;
82863;06/12/2019;1200;0;;23.1;;;;;;
82863;07/12/2019;0000;;35.9;;9.7;;28.82;71;2.40072;
82863;07/12/2019;1200;0;;24;;;;;;
82863;08/12/2019;0000;;33.5;;4.4;;26.58;82;0;
82863;08/12/2019;1200;0;;24.3;;;;;;
82863;09/12/2019;0000;;33.2;;5;;26.12;91;2.05776;
82863;09/12/2019;1200;6.5;;23;;;;;;
82863;10/12/2019;0000;;33.6;;7.4;;27.42;75;1.37184;
82863;10/12/2019;1200;9.1;;22.8;;;;;;
82863;11/12/2019;0000;;35.1;;11.2;;29.52;65.75;1.37184;
82863;11/12/2019;1200;0.3;;24.3;;;;;;
82863;12/12/2019;0000;;33.7;;8.3;;28.36;72.25;2.40072;
82863;12/12/2019;1200;0;;24.4;;;;;;
82863;13/12/2019;0000;;35.1;;7.6;;27.78;85.5;3.08664;
82863;13/12/2019;1200;1;;23.8;;;;;;
82863;14/12/2019;0000;;35.9;;8.7;;27.86;78.25;2.74368;
82863;14/12/2019;1200;5.8;;23.8;;;;;;
82863;15/12/2019;0000;;35.8;;10.2;;29.24;74.25;1.37184;
82863;15/12/2019;1200;5.4;;23.6;;;;;;
82863;16/12/2019;0000;;33.9;;7.6;;28;75.25;2.05776;
82863;16/12/2019;1200;0;;24.4;;;;;;
82863;17/12/2019;0000;;35.4;;8.3;;27.52;77;2.74368;
82863;17/12/2019;1200;0;;23.3;;;;;;
82863;18/12/2019;0000;;32.6;;4.6;;26.94;81.25;0.34296;
82863;18/12/2019;1200;8.8;;22.7;;;;;;
82863;19/12/2019;0000;;33.8;;3.8;;27.28;83.5;1.37184;
82863;19/12/2019;1200;7.5;;23.7;;;;;;
82863;20/12/2019;0000;;35.1;;7.3;;28.38;73.5;2.40072;
82863;20/12/2019;1200;0;;23.6;;;;;;
82863;21/12/2019;0000;;35.3;;6.4;;28.92;73.75;1.37184;
82863;21/12/2019;1200;0.1;;24.9;;;;;;
82863;22/12/2019;0000;;34.8;;4.6;;29.02;77;0.68592;
82863;22/12/2019;1200;0;;25.3;;;;;;
82863;23/12/2019;0000;;37.4;;10.8;;30.06;67;2.05776;
82863;23/12/2019;1200;0;;24;;;;;;
82863;24/12/2019;0000;;36.8;;7.1;;29.6;66.75;2.05776;
82863;24/12/2019;1200;0;;25;;;;;;
82863;25/12/2019;0000;;31.5;;1.7;;26.5;79.75;0.68592;
82863;25/12/2019;1200;0;;24;;;;;;
82863;26/12/2019;0000;;35.4;;5.3;;29.06;66.5;3.77256;
82863;26/12/2019;1200;0;;23.9;;;;;;
82863;27/12/2019;0000;;36.9;;8.9;;29.6;71.25;4.11552;
82863;27/12/2019;1200;0;;25.8;;;;;;
82863;28/12/2019;0000;;31.1;;1.1;;25.8;84;0;
82863;28/12/2019;1200;5.8;;22.5;;;;;;
82863;29/12/2019;0000;;32.6;;0.6;;25.74;84;1.7148;
82863;29/12/2019;1200;0;;23.4;;;;;;
82863;30/12/2019;0000;;32;;0.9;;26.44;78;1.02888;
82863;30/12/2019;1200;0.7;;22.3;;;;;;
82863;31/12/2019;0000;;31.6;;2;;26.2;84.25;2.05776;
82863;31/12/2019;1200;0;;23;;;;;;
