Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83228;09/10/2019;0000;;34.2;;7.7;;27.62;67.25;1.54332;
83228;09/10/2019;1200;10.6;;22.5;;;;;;
83228;10/10/2019;0000;;37.1;;9.2;;28.98;59.5;1.02888;
83228;10/10/2019;1200;0;;23.1;;;;;;
83228;11/10/2019;0000;;37.4;;9.4;;29.68;50;1.37184;
83228;11/10/2019;1200;0;;23.8;;;;;;
83228;12/10/2019;0000;;37.4;;9.8;;30.14;48.5;2.05776;
83228;12/10/2019;1200;0;;23.7;;;;;;
83228;13/10/2019;0000;;37.2;;9.8;;30.78;44.75;2.22924;
83228;13/10/2019;1200;0;;24.9;;;;;;
83228;14/10/2019;0000;;38.8;;9.3;;30.18;51;1.20036;
83228;14/10/2019;1200;0;;23.2;;;;;;
83228;15/10/2019;0000;;38.1;;7.6;;29.44;56.25;1.54332;
83228;15/10/2019;1200;0;;23.2;;;;;;
83228;16/10/2019;0000;;37.4;;9;;28.14;57.75;3.25812;
83228;16/10/2019;1200;0;;22.5;;;;;;
83228;17/10/2019;0000;;35.5;;6;;27.78;66.75;0.8574;
83228;17/10/2019;1200;0;;22.9;;;;;;
83228;18/10/2019;0000;;37.4;;9.8;;30.1;51;1.02888;
83228;18/10/2019;1200;0.9;;23;;;;;;
83228;19/10/2019;0000;;37.8;;10.1;;29.24;64;2.22924;
83228;19/10/2019;1200;7.2;;23.3;;;;;;
83228;20/10/2019;0000;;37.6;;10.5;;29.82;53.75;3.25812;
83228;20/10/2019;1200;0;;23.4;;;;;;
83228;21/10/2019;0000;;33;;1.3;;26.3;84.5;1.88628;
83228;21/10/2019;1200;0.6;;24.3;;;;;;
83228;22/10/2019;0000;;33.2;;3.6;;26.94;69.5;1.37184;
83228;22/10/2019;1200;1.2;;22.9;;;;;;
83228;23/10/2019;0000;;34;;4.6;;26.78;77;1.02888;
83228;23/10/2019;1200;0;;23.4;;;;;;
83228;24/10/2019;0000;;32.9;;3.2;;26.68;84.5;1.88628;
83228;24/10/2019;1200;20.4;;23.7;;;;;;
83228;25/10/2019;0000;;36.3;;9.1;;28.12;66.25;3.25812;
83228;25/10/2019;1200;0.1;;22.6;;;;;;
83228;26/10/2019;0000;;35.6;;5.1;;28.34;63.5;2.74368;
83228;26/10/2019;1200;10;;23.9;;;;;;
83228;27/10/2019;0000;;37.1;;8.2;;28.54;57.75;1.88628;
83228;27/10/2019;1200;0;;22.6;;;;;;
83228;28/10/2019;0000;;37;;5.6;;27.32;65;0.34296;
83228;28/10/2019;1200;0;;22.8;;;;;;
83228;29/10/2019;0000;;32.9;;3.8;;27.62;68.75;1.54332;
83228;29/10/2019;1200;1.6;;23.1;;;;;;
83228;30/10/2019;0000;;37.7;;6.8;;29.56;57;1.37184;
83228;30/10/2019;1200;0;;23.8;;;;;;
83228;31/10/2019;0000;;37.2;;7.3;;28.64;63.5;2.22924;
83228;31/10/2019;1200;0;;23.4;;;;;;
83228;01/11/2019;0000;;36.8;;10;;29.5;58;1.7148;
83228;01/11/2019;1200;0;;23.1;;;;;;
83228;02/11/2019;0000;;37.8;;6.5;;29.3;60;2.74368;
83228;02/11/2019;1200;0;;23.9;;;;;;
83228;03/11/2019;0000;;34.2;;5.1;;27.1;68.75;1.54332;
83228;03/11/2019;1200;1.6;;23.1;;;;;;
83228;04/11/2019;0000;;37.8;;9;;27.72;70.5;1.37184;
83228;04/11/2019;1200;0;;22.1;;;;;;
83228;05/11/2019;0000;;37.1;;6.5;;27.28;81;1.88628;
83228;05/11/2019;1200;6;;23.7;;;;;;
83228;06/11/2019;0000;;28.7;;0.3;;25.7;87;2.40072;
83228;06/11/2019;1200;2.9;;22.6;;;;;;
83228;07/11/2019;0000;;36.1;;4.8;;27.64;80.75;2.05776;
83228;07/11/2019;1200;3.8;;22.9;;;;;;
83228;08/11/2019;0000;;37.2;;7.4;;28.5;70.75;1.88628;
83228;08/11/2019;1200;0.5;;23.5;;;;;;
83228;09/11/2019;0000;;31.8;;6;;25.88;75.25;1.37184;
83228;09/11/2019;1200;5;;22.1;;;;;;
83228;10/11/2019;0000;;36.4;;6.9;;27.34;84.5;1.20036;
83228;10/11/2019;1200;0;;23.4;;;;;;
83228;11/11/2019;0000;;37.1;;9.5;;28.7;66;0.34296;
83228;11/11/2019;1200;18;;22.5;;;;;;
83228;12/11/2019;0000;;36.7;;7.2;;28.18;67.75;0.51444;
83228;12/11/2019;1200;0;;23.3;;;;;;
83228;13/11/2019;0000;;34.6;;7.4;;27.26;70;0.8574;
83228;13/11/2019;1200;0;;22.5;;;;;;
83228;14/11/2019;0000;;36.5;;8.1;;28.24;65.5;2.22924;
83228;14/11/2019;1200;0;;23.3;;;;;;
83228;15/11/2019;0000;;37;;8.8;;29.22;62.25;2.22924;
83228;15/11/2019;1200;0;;23.4;;;;;;
83228;16/11/2019;0000;;37.2;;8.6;;28.04;72;1.7148;
83228;16/11/2019;1200;0;;23.8;;;;;;
83228;17/11/2019;0000;;30;;1.9;;24.38;87.75;2.40072;
83228;17/11/2019;1200;47.5;;23.1;;;;;;
83228;18/11/2019;0000;;32.4;;6.5;;25.82;79.25;1.88628;
83228;18/11/2019;1200;47.9;;21.5;;;;;;
83228;19/11/2019;0000;;31.8;;3.9;;26.76;77.75;0;
83228;19/11/2019;1200;0;;23.9;;;;;;
83228;20/11/2019;0000;;32.5;;5.8;;27.22;73.75;2.5722;
83228;20/11/2019;1200;0;;23.2;;;;;;
83228;21/11/2019;0000;;35.2;;4.9;;26.54;72.5;1.7148;
83228;21/11/2019;1200;0;;23.3;;;;;;
83228;22/11/2019;0000;;32.3;;2.7;;26.34;76.75;0.8574;
83228;22/11/2019;1200;5.6;;22;;;;;;
83228;23/11/2019;0000;;33.8;;4.5;;26.6;82.25;2.40072;
83228;23/11/2019;1200;0;;24.3;;;;;;
83228;24/11/2019;0000;;34.6;;9.7;;27.82;69.75;1.20036;
83228;24/11/2019;1200;0.6;;22.9;;;;;;
