Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83064;09/10/2019;0000;;32.7;;4.8;;27;78.25;1.7148;
83064;09/10/2019;1200;15.1;;22.7;;;;;;
83064;10/10/2019;0000;;35.3;;6.2;;28.08;71;0.8574;
83064;10/10/2019;1200;5.4;;23.3;;;;;;
83064;11/10/2019;0000;;37.1;;8.5;;30.44;54.75;0.8574;
83064;11/10/2019;1200;0;;22.9;;;;;;
83064;12/10/2019;0000;;36.9;;9.3;;30.62;55.25;0.34296;
83064;12/10/2019;1200;0;;25.1;;;;;;
83064;13/10/2019;0000;;36.1;;2;;29.34;60.5;1.02888;
83064;13/10/2019;1200;0;;24.1;;;;;;
83064;14/10/2019;0000;;33.6;;0.7;;28.52;71.25;0.51444;
83064;14/10/2019;1200;0;;24.5;;;;;;
83064;15/10/2019;0000;;38.6;;6.7;;29.9;59.5;1.37184;
83064;15/10/2019;1200;0;;23.9;;;;;;
83064;16/10/2019;0000;;32.2;;1.2;;27.32;73;1.37184;
83064;16/10/2019;1200;0;;25.3;;;;;;
83064;17/10/2019;0000;;32.1;;2.4;;27.2;76.5;0.8574;
83064;17/10/2019;1200;0.5;;24.1;;;;;;
83064;18/10/2019;0000;;36.1;;3.8;;28.54;70.5;1.20036;
83064;18/10/2019;1200;0;;24;;;;;;
83064;19/10/2019;0000;;35.5;;5.3;;28.42;74.75;0.51444;
83064;19/10/2019;1200;0;;24.5;;;;;;
83064;20/10/2019;0000;;36.5;;8.5;;28.86;64.75;1.20036;
83064;20/10/2019;1200;0.2;;23.2;;;;;;
83064;21/10/2019;0000;;33.7;;2;;26.9;88.75;0.51444;
83064;21/10/2019;1200;0;;23.5;;;;;;
83064;22/10/2019;0000;;30.3;;0.6;;26.28;82;1.02888;
83064;22/10/2019;1200;62;;22.7;;;;;;
83064;23/10/2019;0000;;35.2;;8.8;;28.64;69.5;1.02888;
83064;23/10/2019;1200;0;;22.9;;;;;;
83064;24/10/2019;0000;;30.8;;0.4;;26.9;78;1.02888;
83064;24/10/2019;1200;0;;24.9;;;;;;
83064;25/10/2019;0000;;36.7;;7;;29.46;64;1.02888;
83064;25/10/2019;1200;0;;23.1;;;;;;
83064;26/10/2019;0000;;37.4;;6.9;;29.82;58;1.20036;
83064;26/10/2019;1200;0;;24.5;;;;;;
83064;27/10/2019;0000;;36.6;;10.2;;29.86;64;1.37184;
83064;27/10/2019;1200;0;;25.3;;;;;;
83064;28/10/2019;0000;;31.1;;1;;25.7;86.5;0.34296;
83064;28/10/2019;1200;14.4;;22.8;;;;;;
83064;29/10/2019;0000;;35.8;;8.8;;29.12;63.25;0.8574;
83064;29/10/2019;1200;0.4;;23.1;;;;;;
83064;30/10/2019;0000;;36.5;;9;;29.58;58.5;1.02888;
83064;30/10/2019;1200;0;;23.4;;;;;;
83064;31/10/2019;0000;;36.1;;3.9;;29.18;63.25;1.37184;
83064;31/10/2019;1200;0;;25.1;;;;;;
83064;01/11/2019;0000;;35.5;;2.6;;29.2;70.25;0.68592;
83064;01/11/2019;1200;0;;23.7;;;;;;
83064;02/11/2019;0000;;37.7;;5;;29.68;71.5;1.02888;
83064;02/11/2019;1200;0;;25.5;;;;;;
83064;03/11/2019;0000;;32.4;;3;;27.9;73.25;1.37184;
