Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83235;02/08/2019;0000;;34.6;;9.8;;27.62;41;1.02888;
83235;02/08/2019;1200;0;;22.1;;;;;;
83235;03/08/2019;0000;;35.6;;8.2;;28.44;31.5;0.34296;
83235;03/08/2019;1200;0;;24;;;;;;
83235;04/08/2019;0000;;35.2;;10.1;;28.34;31.75;1.7148;
83235;04/08/2019;1200;0;;24.5;;;;;;
83235;05/08/2019;0000;;32.7;;9;;25.98;48;3.08664;
83235;05/08/2019;1200;0;;22.4;;;;;;
83235;06/08/2019;0000;;30.9;;8.1;;24.8;41;0.68592;
83235;06/08/2019;1200;0;;20.5;;;;;;
83235;07/08/2019;0000;;31.7;;10.1;;24.12;36;1.37184;
83235;07/08/2019;1200;0;;17.4;;;;;;
83235;08/08/2019;0000;;32.1;;10.1;;24.52;35;1.37184;
83235;08/08/2019;1200;0;;18.6;;;;;;
83235;09/08/2019;0000;;32.6;;10.1;;25.3;45;1.37184;
83235;09/08/2019;1200;0;;19.3;;;;;;
83235;10/08/2019;0000;;32.7;;9.1;;26;48.25;0.68592;
83235;10/08/2019;1200;0;;21;;;;;;
83235;11/08/2019;0000;;33.5;;10.2;;26.5;42.75;2.40072;
83235;11/08/2019;1200;0;;21.2;;;;;;
83235;12/08/2019;0000;;33.7;;10.3;;26.48;41;0.34296;
83235;12/08/2019;1200;0;;21.3;;;;;;
83235;13/08/2019;0000;;34.2;;9.8;;26.82;37.75;1.37184;
83235;13/08/2019;1200;0;;21.7;;;;;;
83235;14/08/2019;0000;;33.5;;10.4;;26.24;37.5;1.37184;
83235;14/08/2019;1200;0;;21.1;;;;;;
83235;15/08/2019;0000;;32;;10.4;;25.32;46.5;1.7148;
83235;15/08/2019;1200;0;;21.2;;;;;;
83235;16/08/2019;0000;;31.7;;10.4;;24.4;48.5;2.40072;
83235;16/08/2019;1200;0;;19.3;;;;;;
83235;17/08/2019;0000;;32.4;;10.3;;25.18;45;1.02888;
83235;17/08/2019;1200;0;;19.5;;;;;;
