TYPE;LOCATION;OMM-CODE;INMET-CODE;OPENING;LATITUDE (º);LONGITUDE (º);ALTITUDE (m);TARGET-STATION;NOTES;PRECIPTATION-NEIGHBOUR-STATIONS;MAX-TEMP-NEIGHBOUR-STATIONS;MIN-TEMP-NEIGHBOUR-STATIONS;INSOLATION-NEIGHBOUR-STATIONS;TAR-EVAP-NEIGHBOUR-STATIONS;AVG-TEMP-NEIGHBOUR-STATIONS;AVG-HUMIDITY-NEIGHBOUR-STATIONS;AVG-WIND-SPEED-NEIGHBOUR-STATIONS
AUTOMATIC;Almas/TO;86627;A053;01/04/16;-11.284098;-47.212125;503.0;0;;;;;;;;;
AUTOMATIC;Araguaçu/TO;86648;A054;19/08/15;-12.592213;-49.528738;231.85;0;;;;;;;;;
CONVENTIONAL;Araguaína/TO;82659;;21/08/84;-7.103778;-48.20133;231.85;1;;81900,81939,81901;81900,81901,82765,82861,82863,81898,81821,81863,81941,81822,81939,82564,81902,81940;81900,81939,81898,81863,81941,81822,82863,81901,81902,81821,81940,82765;82765,82863,82861,82564;82765,82863,82861,82564;81900,81939,82863,81941,81863,81898,81822,81901,81902;81900,81901,81939,81898,81863,81821,81941,82765,81902,81940,82863,81822,82564,82861;
AUTOMATIC;Araguaína/TO;81900;A021;26/01/07;-7.103954;-48.201231;231.85;0;;;;;;;;;
AUTOMATIC;Araguatins/TO;81821;A044;12/03/09;-5.643725;-48.111839;131.0;0;;;;;;;;;
AUTOMATIC;Campos Lindos/TO;81902;A043;29/10/12;-8.154665;-46.639323;427.0;0;;;;;;;;;
CONVENTIONAL;Carolina/MA;82765;;01/01/13;-7.337292;-47.459856;182.94;0;;;;;;;;;
AUTOMATIC;Carolina/MA;81901;A205;04/12/07;-7.337269;-47.459839;183.0;0;;;;;;;;;
AUTOMATIC;Colinas do Tocantins/TO;81939;A049;12/11/16;-8.092708;-48.478605;200.0;0;;;;;;;;;
CONVENTIONAL;Conceição do Araguaia/PA;82861;;19/03/20;-8.259237;-49.263816;179.02;0;;;;;;;;;
AUTOMATIC;Conceição do Araguaia/PA;81940;A241;04/09/08;-8.30361;-49.28277;176.0;0;;;;;;;;;
AUTOMATIC;Dianópolis/TO;86632;A038;30/08/08;-11.594448;-46.847209;728.0;0;;;;;;;;;
AUTOMATIC;Estreito/MA;81863;A224;27/02/08;-6.653272;-47.418241;183.0;0;;;;;;;;;
AUTOMATIC;Formoso do Araguaia/TO;86629;A039;27/04/08;-11.887377;-49.608215;215.0;0;;;;;;;;;
